player,team,plays,ladders
Ajay Mitchell,OKC,"[{'market': 'ast', 'side': 'OVER', 'line': 3.5, 'price': 145.0, 'edge': 0.120842425027804, 'ev': 0.2960639413181199, 'ev_pct': 29.606394131811992, 'book': 'betmgm'}, {'market': 'ast', 'side': 'OVER', 'line': 3.5, 'price': 135.0, 'edge': 0.1034737754403095, 'ev': 0.2431633722847274, 'ev_pct': 24.31633722847274, 'book': 'bovada'}, {'market': 'ast', 'side': 'OVER', 'line': 3.5, 'price': 134.0, 'edge': 0.1016552629834992, 'ev': 0.2378733153813881, 'ev_pct': 23.787331538138808, 'book': 'betonlineag'}, {'market': 'pa', 'side': 'OVER', 'line': 13.5, 'price': -105.0, 'edge': 0.0696918325313873, 'ev': 0.1360650063708038, 'ev_pct': 13.60650063708038, 'book': 'draftkings'}, {'market': 'pa', 'side': 'OVER', 'line': 13.5, 'price': -105.0, 'edge': 0.0696918325313873, 'ev': 0.1360650063708038, 'ev_pct': 13.60650063708038, 'book': 'bovada'}, {'market': 'pr', 'side': 'OVER', 'line': 13.5, 'price': -102.0, 'edge': 0.1667474524659979, 'ev': 0.3302253470405057, 'ev_pct': 33.02253470405057, 'book': 'fanduel'}, {'market': 'pr', 'side': 'OVER', 'line': 13.5, 'price': -105.0, 'edge': 0.1595028255642834, 'ev': 0.3114102784826486, 'ev_pct': 31.14102784826486, 'book': 'draftkings'}, {'market': 'pr', 'side': 'OVER', 'line': 13.5, 'price': -105.0, 'edge': 0.1595028255642834, 'ev': 0.3114102784826486, 'ev_pct': 31.14102784826486, 'book': 'bovada'}, {'market': 'pr', 'side': 'OVER', 'line': 12.5, 'price': -135.0, 'edge': 0.1406513918942409, 'ev': 0.2448376081121972, 'ev_pct': 24.48376081121972, 'book': 'bovada'}, {'market': 'pra', 'side': 'OVER', 'line': 17.5, 'price': 118.0, 'edge': 0.2085947738999629, 'ev': 0.4547366071019192, 'ev_pct': 45.47366071019192, 'book': 'betrivers'}, {'market': 'pra', 'side': 'OVER', 'line': 16.5, 'price': 100.0, 'edge': 0.2066448721405195, 'ev': 0.413289744281039, 'ev_pct': 41.3289744281039, 'book': 'betmgm'}, {'market': 'pra', 'side': 'OVER', 'line': 17.5, 'price': 115.0, 'edge': 0.2021940911604707, 'ev': 0.4347172959950121, 'ev_pct': 43.47172959950121, 'book': 'bovada'}, {'market': 'pra', 'side': 'OVER', 'line': 16.5, 'price': -106.0, 'edge': 0.192081765344403, 'ev': 0.3732909779334624, 'ev_pct': 37.329097793346236, 'book': 'fanduel'}, {'market': 'pra', 'side': 'OVER', 'line': 16.5, 'price': -108.0, 'edge': 0.1874141029097502, 'ev': 0.3609456796780376, 'ev_pct': 36.09456796780376, 'book': 'betrivers'}, {'market': 'pra', 'side': 'OVER', 'line': 16.5, 'price': -109.0, 'edge': 0.1851137716620506, 'ev': 0.3549429199758586, 'ev_pct': 35.49429199758586, 'book': 'betonlineag'}, {'market': 'pra', 'side': 'OVER', 'line': 16.5, 'price': -110.0, 'edge': 0.1828353483309956, 'ev': 0.3490493013591735, 'ev_pct': 34.90493013591735, 'book': 'bovada'}, {'market': 'pra', 'side': 'OVER', 'line': 16.5, 'price': -112.0, 'edge': 0.1783429853480667, 'ev': 0.3375777936945549, 'ev_pct': 33.757779369455484, 'book': 'draftkings'}, {'market': 'pra', 'side': 'OVER', 'line': 15.5, 'price': -135.0, 'edge': 0.1692080724297658, 'ev': 0.2945473853407035, 'ev_pct': 29.45473853407035, 'book': 'bovada'}, {'market': 'ra', 'side': 'OVER', 'line': 6.5, 'price': 115.0, 'edge': 0.2998531845820566, 'ev': 0.6446843468514216, 'ev_pct': 64.46843468514216, 'book': 'bovada'}, {'market': 'ra', 'side': 'OVER', 'line': 6.5, 'price': 114.0, 'edge': 0.2976797440256558, 'ev': 0.6370346522149034, 'ev_pct': 63.70346522149034, 'book': 'fanduel'}, {'market': 'ra', 'side': 'OVER', 'line': 6.5, 'price': 112.0, 'edge': 0.2932713504442769, 'ev': 0.6217352629418671, 'ev_pct': 62.17352629418671, 'book': 'draftkings'}, {'market': 'ra', 'side': 'OVER', 'line': 5.5, 'price': -150.0, 'edge': 0.2360749472034568, 'ev': 0.3934582453390945, 'ev_pct': 39.34582453390945, 'book': 'bovada'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 141.0, 'edge': 0.3471451587277195, 'ev': 0.8366198325338039, 'ev_pct': 83.66198325338038, 'book': 'betonlineag'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 132.0, 'edge': 0.3310484353051984, 'ev': 0.7680323699080605, 'ev_pct': 76.80323699080604, 'book': 'betrivers'}]",[]
Alex Caruso,OKC,"[{'market': 'pra', 'side': 'OVER', 'line': 9.5, 'price': -118.0, 'edge': 0.3234700468035671, 'ev': 0.5975972051116749, 'ev_pct': 59.759720511167494, 'book': 'betmgm'}, {'market': 'pts', 'side': 'OVER', 'line': 4.5, 'price': -135.0, 'edge': 0.2641579583015514, 'ev': 0.4598305200064043, 'ev_pct': 45.98305200064043, 'book': 'betmgm'}]",[]
Alex Sarr,WAS,"[{'market': 'ast', 'side': 'UNDER', 'line': 2.5, 'price': -105.0, 'edge': 0.0755810923366246, 'ev': 0.1475630850381719, 'ev_pct': 14.75630850381719, 'book': 'betonlineag'}, {'market': 'ast', 'side': 'UNDER', 'line': 2.5, 'price': -105.0, 'edge': 0.0755810923366246, 'ev': 0.1475630850381719, 'ev_pct': 14.75630850381719, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 9.5, 'price': 145.0, 'edge': 0.1700266794939129, 'ev': 0.4165653647600866, 'ev_pct': 41.65653647600866, 'book': 'bovada'}, {'market': 'ra', 'side': 'UNDER', 'line': 10.5, 'price': -102.0, 'edge': 0.1698971176704771, 'ev': 0.3364629193081997, 'ev_pct': 33.64629193081997, 'book': 'fanduel'}, {'market': 'ra', 'side': 'UNDER', 'line': 10.5, 'price': -104.0, 'edge': 0.1650436911513546, 'ev': 0.3237395480276571, 'ev_pct': 32.37395480276571, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 10.5, 'price': -105.0, 'edge': 0.1626524907687625, 'ev': 0.3175596248342506, 'ev_pct': 31.75596248342506, 'book': 'bovada'}, {'market': 'ra', 'side': 'UNDER', 'line': 11.5, 'price': -150.0, 'edge': 0.160965762108286, 'ev': 0.2682762701804767, 'ev_pct': 26.827627018047668, 'book': 'betmgm'}, {'market': 'reb', 'side': 'UNDER', 'line': 7.5, 'price': 135.0, 'edge': 0.1687568497334806, 'ev': 0.3965785968736796, 'ev_pct': 39.65785968736796, 'book': 'bovada'}]",[]
Andre Drummond,PHI,"[{'market': 'ast', 'side': 'OVER', 'line': 0.5, 'price': -145.0, 'edge': 0.0884732165490647, 'ev': 0.1494892279622128, 'ev_pct': 14.94892279622128, 'book': 'betmgm'}, {'market': 'pa', 'side': 'OVER', 'line': 8.5, 'price': -105.0, 'edge': 0.1313716768955104, 'ev': 0.2564875596531394, 'ev_pct': 25.648755965313942, 'book': 'betmgm'}, {'market': 'ra', 'side': 'UNDER', 'line': 11.5, 'price': -115.0, 'edge': 0.1176486660079402, 'ev': 0.2199518538409316, 'ev_pct': 21.995185384093162, 'book': 'betmgm'}, {'market': 'reb', 'side': 'UNDER', 'line': 10.5, 'price': 111.0, 'edge': 0.2946806731020053, 'ev': 0.6217762202452313, 'ev_pct': 62.177622024523124, 'book': 'williamhill_us'}, {'market': 'reb', 'side': 'UNDER', 'line': 11.5, 'price': -130.0, 'edge': 0.2919376246257201, 'ev': 0.5165050281839664, 'ev_pct': 51.65050281839664, 'book': 'fanduel'}, {'market': 'reb', 'side': 'UNDER', 'line': 11.5, 'price': -130.0, 'edge': 0.2919376246257201, 'ev': 0.5165050281839664, 'ev_pct': 51.65050281839664, 'book': 'draftkings'}, {'market': 'reb', 'side': 'UNDER', 'line': 10.5, 'price': 105.0, 'edge': 0.2808094443423243, 'ev': 0.575659360901765, 'ev_pct': 57.56593609017649, 'book': 'betmgm'}, {'market': 'reb', 'side': 'UNDER', 'line': 11.5, 'price': -139.0, 'edge': 0.2755650577710721, 'ev': 0.4738133007718433, 'ev_pct': 47.38133007718433, 'book': 'betrivers'}, {'market': 'reb', 'side': 'UNDER', 'line': 11.5, 'price': -143.0, 'edge': 0.2686776496749239, 'ev': 0.4565641179790665, 'ev_pct': 45.65641179790665, 'book': 'betonlineag'}, {'market': 'reb', 'side': 'UNDER', 'line': 9.5, 'price': 145.0, 'edge': 0.2476111169674676, 'ev': 0.6066472365702956, 'ev_pct': 60.66472365702956, 'book': 'bovada'}, {'market': 'reb', 'side': 'UNDER', 'line': 10.5, 'price': -110.0, 'edge': 0.244804798581581, 'ev': 0.4673546154739274, 'ev_pct': 46.735461547392745, 'book': 'bovada'}]",[]
Anfernee Simons,POR,"[{'market': 'ra', 'side': 'OVER', 'line': 4.5, 'price': 105.0, 'edge': 0.1474219888950348, 'ev': 0.3022150772348215, 'ev_pct': 30.221507723482148, 'book': 'draftkings'}, {'market': 'ra', 'side': 'OVER', 'line': 4.5, 'price': 105.0, 'edge': 0.1474219888950348, 'ev': 0.3022150772348215, 'ev_pct': 30.221507723482148, 'book': 'bovada'}, {'market': 'reb', 'side': 'OVER', 'line': 2.5, 'price': 148.0, 'edge': 0.2337310654121845, 'ev': 0.5796530422222177, 'ev_pct': 57.96530422222177, 'book': 'betrivers'}, {'market': 'reb', 'side': 'OVER', 'line': 2.5, 'price': 136.0, 'edge': 0.2132280583044754, 'ev': 0.5032182175985621, 'ev_pct': 50.32182175985621, 'book': 'draftkings'}, {'market': 'reb', 'side': 'OVER', 'line': 2.5, 'price': 132.0, 'edge': 0.2059223891051768, 'ev': 0.4777399427240101, 'ev_pct': 47.77399427240101, 'book': 'betonlineag'}, {'market': 'reb', 'side': 'OVER', 'line': 2.5, 'price': 130.0, 'edge': 0.2021742631681453, 'ev': 0.4650008052867341, 'ev_pct': 46.50008052867341, 'book': 'fanatics'}, {'market': 'reb', 'side': 'OVER', 'line': 2.5, 'price': 128.0, 'edge': 0.1983603806357273, 'ev': 0.4522616678494582, 'ev_pct': 45.22616678494582, 'book': 'williamhill_us'}, {'market': 'reb', 'side': 'OVER', 'line': 2.5, 'price': 120.0, 'edge': 0.1824114173183429, 'ev': 0.4013051181003544, 'ev_pct': 40.13051181003544, 'book': 'betmgm'}]",[]
Bilal Coulibaly,WAS,"[{'market': 'ra', 'side': 'OVER', 'line': 7.5, 'price': 130.0, 'edge': 0.0689059632236637, 'ev': 0.1584837154144266, 'ev_pct': 15.84837154144266, 'book': 'bovada'}]",[]
Brandin Podziemski,GSW,"[{'market': 'ast', 'side': 'OVER', 'line': 3.5, 'price': 130.0, 'edge': 0.2890534189510275, 'ev': 0.6648228635873632, 'ev_pct': 66.48228635873632, 'book': 'fanduel'}, {'market': 'ast', 'side': 'OVER', 'line': 3.5, 'price': 125.0, 'edge': 0.2793915832022352, 'ev': 0.6286310622050292, 'ev_pct': 62.86310622050292, 'book': 'betrivers'}, {'market': 'ast', 'side': 'OVER', 'line': 3.5, 'price': 124.0, 'edge': 0.2774074562181082, 'ev': 0.6213927019285624, 'ev_pct': 62.139270192856245, 'book': 'betonlineag'}, {'market': 'ast', 'side': 'OVER', 'line': 3.5, 'price': 122.0, 'edge': 0.2733855771962292, 'ev': 0.6069159813756287, 'ev_pct': 60.69159813756288, 'book': 'williamhill_us'}, {'market': 'ast', 'side': 'OVER', 'line': 3.5, 'price': 121.0, 'edge': 0.2713473398638742, 'ev': 0.599677621099162, 'ev_pct': 59.9677621099162, 'book': 'draftkings'}, {'market': 'ast', 'side': 'OVER', 'line': 3.5, 'price': 115.0, 'edge': 0.2587197485769122, 'ev': 0.5562474594403611, 'ev_pct': 55.624745944036114, 'book': 'betmgm'}, {'market': 'pa', 'side': 'OVER', 'line': 15.5, 'price': 115.0, 'edge': 0.132238180331373, 'ev': 0.2843120877124521, 'ev_pct': 28.43120877124521, 'book': 'bovada'}, {'market': 'pa', 'side': 'OVER', 'line': 14.5, 'price': -113.0, 'edge': 0.1149080188942937, 'ev': 0.2165965311901289, 'ev_pct': 21.65965311901289, 'book': 'draftkings'}, {'market': 'pa', 'side': 'OVER', 'line': 14.5, 'price': -115.0, 'edge': 0.1105407298889438, 'ev': 0.2066631037054166, 'ev_pct': 20.66631037054166, 'book': 'bovada'}, {'market': 'pa', 'side': 'OVER', 'line': 14.5, 'price': -118.0, 'edge': 0.1041400471494515, 'ev': 0.1923943243947494, 'ev_pct': 19.23943243947494, 'book': 'fanduel'}, {'market': 'pa', 'side': 'OVER', 'line': 13.5, 'price': -150.0, 'edge': 0.0912820187481998, 'ev': 0.1521366979136663, 'ev_pct': 15.21366979136663, 'book': 'bovada'}, {'market': 'ra', 'side': 'OVER', 'line': 8.5, 'price': 130.0, 'edge': 0.1548138154467405, 'ev': 0.3560717755275031, 'ev_pct': 35.60717755275031, 'book': 'bovada'}, {'market': 'ra', 'side': 'OVER', 'line': 7.5, 'price': -125.0, 'edge': 0.1297477063732768, 'ev': 0.2335458714718983, 'ev_pct': 23.35458714718983, 'book': 'fanduel'}, {'market': 'ra', 'side': 'OVER', 'line': 7.5, 'price': -125.0, 'edge': 0.1297477063732768, 'ev': 0.2335458714718983, 'ev_pct': 23.35458714718983, 'book': 'bovada'}, {'market': 'ra', 'side': 'OVER', 'line': 7.5, 'price': -126.0, 'edge': 0.1277811380350271, 'ev': 0.2291947396501279, 'ev_pct': 22.91947396501279, 'book': 'draftkings'}]",[]
Brandon Ingram,TOR,"[{'market': 'pa', 'side': 'UNDER', 'line': 26.5, 'price': -130.0, 'edge': 0.1635208850038619, 'ev': 0.2893061811606788, 'ev_pct': 28.93061811606788, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 24.5, 'price': 110.0, 'edge': 0.162896461667365, 'ev': 0.3420825695014666, 'ev_pct': 34.20825695014666, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 25.5, 'price': -110.0, 'edge': 0.1614687663277655, 'ev': 0.3082585538984614, 'ev_pct': 30.82585538984614, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 25.5, 'price': -112.0, 'edge': 0.1569764033448365, 'ev': 0.2971339063312977, 'ev_pct': 29.713390633129773, 'book': 'draftkings'}, {'market': 'pa', 'side': 'UNDER', 'line': 25.5, 'price': -120.0, 'edge': 0.1398237446827439, 'ev': 0.2563435319183639, 'ev_pct': 25.63435319183639, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 25.5, 'price': -125.0, 'edge': 0.1297227345817337, 'ev': 0.2335009222471208, 'ev_pct': 23.35009222471208, 'book': 'betmgm'}, {'market': 'pr', 'side': 'UNDER', 'line': 26.5, 'price': 110.0, 'edge': 0.2326901423993259, 'ev': 0.4886492990385844, 'ev_pct': 48.86492990385844, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 27.5, 'price': -110.0, 'edge': 0.2260076153920585, 'ev': 0.4314690839302935, 'ev_pct': 43.14690839302935, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 27.5, 'price': -110.0, 'edge': 0.2260076153920585, 'ev': 0.4314690839302935, 'ev_pct': 43.14690839302935, 'book': 'betmgm'}, {'market': 'pr', 'side': 'UNDER', 'line': 28.5, 'price': -130.0, 'edge': 0.222263590831624, 'ev': 0.3932355837790271, 'ev_pct': 39.323558377902714, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 27.5, 'price': -112.0, 'edge': 0.2215152524091295, 'ev': 0.4192967277744237, 'ev_pct': 41.92967277744237, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 27.5, 'price': -113.0, 'edge': 0.2193007072766997, 'ev': 0.4133721296454605, 'ev_pct': 41.33721296454605, 'book': 'fanduel'}]",[]
Brook Lopez,LAC,"[{'market': 'threes', 'side': 'OVER', 'line': 2.5, 'price': 146.0, 'edge': 0.3792371288611289, 'ev': 0.9329233369983772, 'ev_pct': 93.29233369983771, 'book': 'betonlineag'}, {'market': 'threes', 'side': 'OVER', 'line': 2.5, 'price': 145.0, 'edge': 0.3775779285956568, 'ev': 0.9250659250593594, 'ev_pct': 92.50659250593594, 'book': 'bovada'}]",[]
C.J. McCollum,WAS,"[{'market': 'ast', 'side': 'UNDER', 'line': 4.5, 'price': -135.0, 'edge': 0.0886470142657362, 'ev': 0.1543114692773928, 'ev_pct': 15.431146927739281, 'book': 'bovada'}, {'market': 'ast', 'side': 'UNDER', 'line': 4.5, 'price': -140.0, 'edge': 0.0797817660387859, 'ev': 0.1367687417807759, 'ev_pct': 13.676874178077588, 'book': 'betmgm'}, {'market': 'ast', 'side': 'UNDER', 'line': 3.5, 'price': 128.0, 'edge': 0.0697726410490952, 'ev': 0.1590816215919371, 'ev_pct': 15.90816215919371, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 23.5, 'price': 110.0, 'edge': 0.0697182189412353, 'ev': 0.1464082597765941, 'ev_pct': 14.64082597765941, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 25.5, 'price': -135.0, 'edge': 0.0692121384872161, 'ev': 0.1204803892184875, 'ev_pct': 12.04803892184875, 'book': 'bovada'}]",[]
