player,team,plays,ladders,model,_plays_list,top_play,top_play_explain,top_play_baseline,top_play_reasons,top_play_consensus,top_play_line_adv
Chris Boucher,BOS,[],[],"{'pts': 10.558140754699709, 'reb': 4.833250999450684, 'ast': 1.5356379747390747, 'threes': 0.9962440133094788, 'pra': 16.927029728889465}",[],,,,[],0.0,0.0
Chris Livingston,CLE,[],[],"{'pts': 11.71767807006836, 'reb': 4.40809965133667, 'ast': 2.1759276390075684, 'threes': 0.8350948691368103, 'pra': 18.3017053604126}",[],,,,[],0.0,0.0
Chris Youngblood,OKC,[],[],"{'pts': 9.179100036621094, 'reb': 2.9304141998291016, 'ast': 1.809137463569641, 'threes': 1.5544061660766602, 'pra': 13.918651700019836}",[],,,,[],0.0,0.0
Christian Braun,DEN,[],[],"{'pts': 14.767520904541016, 'reb': 3.832335948944092, 'ast': 3.063908100128174, 'threes': 1.331950130554017, 'pra': 21.66376495361328}",[],,,,[],0.0,0.0
Chucky Hepburn,TOR,[],[],"{'pts': 11.330609321594238, 'reb': 3.701049327850342, 'ast': 2.418360710144043, 'threes': 1.270843505859375, 'pra': 17.450019359588623}",[],,,,[],0.0,0.0
Clint Capela,HOU,[],[],"{'pts': 4.466840382526534, 'reb': 4.720578046969431, 'ast': 0.8508073431412015, 'threes': 0.4227805733680725, 'pra': 10.038225772637167}",[],,,,[],0.0,0.0
Colby Jones,DET,[],[],"{'pts': 10.944218635559082, 'reb': 5.74098014831543, 'ast': 3.043269634246826, 'threes': 0.7576319575309753, 'pra': 19.72846841812133}",[],,,,[],0.0,0.0
Collin Murray-Boyles,TOR,[],[],"{'pts': 10.059595548189604, 'reb': 5.786746978759766, 'ast': 2.464019775390625, 'threes': 0.2556019084395276, 'pra': 18.31036230234}",[],,,,[],0.0,0.0
Craig Porter Jr.,CLE,[],[],"{'pts': 8.557207298278808, 'reb': 4.315478324890137, 'ast': 3.566293716430664, 'threes': 0.5965128621666504, 'pra': 16.43897933959961}",[],,,,[],0.0,0.0
Curtis Jones,DEN,[],[],"{'pts': 12.473910331726074, 'reb': 4.011035919189453, 'ast': 2.25262451171875, 'threes': 1.4970195293426514, 'pra': 18.73757076263428}",[],,,,[],0.0,0.0
DaRon Holmes II,DEN,[],[],"{'pts': 10.231837272644045, 'reb': 3.983337879180908, 'ast': 2.183811664581299, 'threes': 0.6875743269920349, 'pra': 16.39898681640625}",[],,,,[],0.0,0.0
Daeqwon Plowden,SAC,[],[],"{'pts': 10.779384307000871, 'reb': 3.8207387924194336, 'ast': 2.382223129272461, 'threes': 1.4290146827697754, 'pra': 16.982346228692766}",[],,,,[],0.0,0.0
Daniss Jenkins,DET,[],[],"{'pts': 10.368526594979423, 'reb': 4.180624961853027, 'ast': 2.834277629852295, 'threes': 0.341500461101532, 'pra': 17.383429186684744}",[],,,,[],0.0,0.0
Dario Saric,SAC,[],[],"{'pts': 9.713079452514648, 'reb': 4.077737331390381, 'ast': 1.929859042167664, 'threes': 0.7798554301261902, 'pra': 15.720675826072693}",[],,,,[],0.0,0.0
De'Aaron Fox,SAS,[],[],"{'pts': 16.486646785735232, 'reb': 3.41807508468628, 'ast': 5.2562032823948055, 'threes': 2.254876640107897, 'pra': 25.16092515281632}",[],,,,[],0.0,0.0
