player,team,plays,ladders
A.J. Green,MIL,"[{'market': 'ra', 'side': 'UNDER', 'line': 5.5, 'price': 110.0, 'edge': 0.1142264974991282, 'ev': 0.2398756447481693, 'ev_pct': 23.98756447481693, 'book': 'betmgm'}]",[]
Ben Sheppard,IND,"[{'market': 'pa', 'side': 'OVER', 'line': 10.5, 'price': 105.0, 'edge': 0.1727799918368773, 'ev': 0.3541989832655985, 'ev_pct': 35.41989832655985, 'book': 'fanatics'}, {'market': 'pa', 'side': 'OVER', 'line': 10.5, 'price': 100.0, 'edge': 0.1605848698856578, 'ev': 0.3211697397713156, 'ev_pct': 32.11697397713156, 'book': 'draftkings'}, {'market': 'pa', 'side': 'OVER', 'line': 10.5, 'price': -102.0, 'edge': 0.1556343748361528, 'ev': 0.3082170952637536, 'ev_pct': 30.82170952637536, 'book': 'fanduel'}, {'market': 'pr', 'side': 'OVER', 'line': 13.5, 'price': 110.0, 'edge': 0.1826403436589098, 'ev': 0.3835447216837105, 'ev_pct': 38.35447216837105, 'book': 'fanatics'}, {'market': 'pr', 'side': 'OVER', 'line': 12.5, 'price': -129.0, 'edge': 0.1396890790507914, 'ev': 0.2479751868421026, 'ev_pct': 24.79751868421026, 'book': 'draftkings'}, {'market': 'pr', 'side': 'OVER', 'line': 12.5, 'price': -130.0, 'edge': 0.13779046503902, 'ev': 0.2437831304536507, 'ev_pct': 24.37831304536507, 'book': 'fanduel'}, {'market': 'ra', 'side': 'UNDER', 'line': 7.5, 'price': -114.0, 'edge': 0.1070030969584665, 'ev': 0.2008654627115073, 'ev_pct': 20.08654627115073, 'book': 'fanduel'}, {'market': 'ra', 'side': 'UNDER', 'line': 7.5, 'price': -115.0, 'edge': 0.1048296564020657, 'ev': 0.1959858793603837, 'ev_pct': 19.59858793603837, 'book': 'fanatics'}, {'market': 'ra', 'side': 'UNDER', 'line': 7.5, 'price': -119.0, 'edge': 0.0963343818985082, 'ev': 0.1772876439980951, 'ev_pct': 17.72876439980951, 'book': 'draftkings'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 138.0, 'edge': 0.2667566887922246, 'ev': 0.6348809193254946, 'ev_pct': 63.48809193254946, 'book': 'williamhill_us'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 135.0, 'edge': 0.2613928411254984, 'ev': 0.6142731766449212, 'ev_pct': 61.42731766449212, 'book': 'betmgm'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 130.0, 'edge': 0.2521421473234632, 'ev': 0.5799269388439654, 'ev_pct': 57.99269388439654, 'book': 'fanatics'}]",[]
Bobby Portis,MIL,"[{'market': 'ast', 'side': 'OVER', 'line': 1.5, 'price': 155.0, 'edge': 0.2352117412112914, 'ev': 0.5997899400887933, 'ev_pct': 59.978994008879326, 'book': 'betmgm'}, {'market': 'ast', 'side': 'OVER', 'line': 1.5, 'price': 140.0, 'edge': 0.2107019372897228, 'ev': 0.5056846494953348, 'ev_pct': 50.56846494953348, 'book': 'fanatics'}, {'market': 'pa', 'side': 'OVER', 'line': 10.5, 'price': -105.0, 'edge': 0.2818709429384489, 'ev': 0.5503194600226861, 'ev_pct': 55.031946002268604, 'book': 'fanatics'}, {'market': 'pr', 'side': 'OVER', 'line': 14.5, 'price': -110.0, 'edge': 0.2398082921699138, 'ev': 0.4578158305061992, 'ev_pct': 45.781583050619915, 'book': 'fanduel'}, {'market': 'pr', 'side': 'OVER', 'line': 14.5, 'price': -115.0, 'edge': 0.2287340950492051, 'ev': 0.4276333081354704, 'ev_pct': 42.76333081354704, 'book': 'fanatics'}, {'market': 'pr', 'side': 'OVER', 'line': 14.5, 'price': -115.0, 'edge': 0.2287340950492051, 'ev': 0.4276333081354704, 'ev_pct': 42.76333081354704, 'book': 'draftkings'}, {'market': 'pra', 'side': 'OVER', 'line': 15.5, 'price': -115.0, 'edge': 0.220316700071059, 'ev': 0.4118964392632842, 'ev_pct': 41.189643926328415, 'book': 'fanatics'}, {'market': 'pra', 'side': 'OVER', 'line': 15.5, 'price': -116.0, 'edge': 0.2181633839642545, 'ev': 0.4062352666920601, 'ev_pct': 40.623526669206015, 'book': 'betonlineag'}, {'market': 'pra', 'side': 'OVER', 'line': 15.5, 'price': -120.0, 'edge': 0.2097458755467461, 'ev': 0.3845341051690346, 'ev_pct': 38.45341051690346, 'book': 'betmgm'}, {'market': 'pts', 'side': 'OVER', 'line': 8.5, 'price': -115.0, 'edge': 0.2599672675490556, 'ev': 0.4860257610699734, 'ev_pct': 48.60257610699734, 'book': 'betmgm'}, {'market': 'pts', 'side': 'OVER', 'line': 9.5, 'price': 100.0, 'edge': 0.2549142111805291, 'ev': 0.5098284223610583, 'ev_pct': 50.98284223610583, 'book': 'draftkings'}, {'market': 'pts', 'side': 'OVER', 'line': 9.5, 'price': -105.0, 'edge': 0.2427190892293096, 'ev': 0.4738801265905569, 'ev_pct': 47.38801265905569, 'book': 'betonlineag'}, {'market': 'pts', 'side': 'OVER', 'line': 8.5, 'price': -127.0, 'edge': 0.2353796228405216, 'ev': 0.4207179085417197, 'ev_pct': 42.07179085417197, 'book': 'williamhill_us'}, {'market': 'pts', 'side': 'OVER', 'line': 8.5, 'price': -130.0, 'edge': 0.2296335971749403, 'ev': 0.4062748257710483, 'ev_pct': 40.62748257710483, 'book': 'fanduel'}, {'market': 'pts', 'side': 'OVER', 'line': 8.5, 'price': -130.0, 'edge': 0.2296335971749403, 'ev': 0.4062748257710483, 'ev_pct': 40.62748257710483, 'book': 'fanatics'}, {'market': 'ra', 'side': 'OVER', 'line': 6.5, 'price': -115.0, 'edge': 0.1086418741623512, 'ev': 0.2031130690861349, 'ev_pct': 20.311306908613492, 'book': 'fanatics'}]",[]
Brandin Podziemski,GSW,"[{'market': 'ast', 'side': 'UNDER', 'line': 3.5, 'price': 114.0, 'edge': 0.1433439235370304, 'ev': 0.3067559963692451, 'ev_pct': 30.67559963692451, 'book': 'fanduel'}, {'market': 'ast', 'side': 'UNDER', 'line': 3.5, 'price': 105.0, 'edge': 0.1228287651144182, 'ev': 0.2517989684845573, 'ev_pct': 25.17989684845573, 'book': 'betmgm'}, {'market': 'pra', 'side': 'UNDER', 'line': 24.5, 'price': -120.0, 'edge': 0.1485933059437592, 'ev': 0.2724210608968918, 'ev_pct': 27.242106089689177, 'book': 'betmgm'}, {'market': 'pra', 'side': 'UNDER', 'line': 24.5, 'price': -125.0, 'edge': 0.138492295842749, 'ev': 0.2492861325169483, 'ev_pct': 24.92861325169483, 'book': 'betrivers'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 110.0, 'edge': 0.1619989098489481, 'ev': 0.3401977106827911, 'ev_pct': 34.019771068279105, 'book': 'fanduel'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 110.0, 'edge': 0.1619989098489481, 'ev': 0.3401977106827911, 'ev_pct': 34.019771068279105, 'book': 'fanatics'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 106.0, 'edge': 0.1527524928355408, 'ev': 0.3146701352412141, 'ev_pct': 31.467013524121413, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 9.5, 'price': -145.0, 'edge': 0.1371320062719714, 'ev': 0.2317058037009172, 'ev_pct': 23.17058037009172, 'book': 'betmgm'}]",[]
Brandon Ingram,TOR,"[{'market': 'pa', 'side': 'UNDER', 'line': 28.5, 'price': -105.0, 'edge': 0.3534422769286109, 'ev': 0.6900539692415738, 'ev_pct': 69.00539692415738, 'book': 'betmgm'}, {'market': 'pa', 'side': 'UNDER', 'line': 27.5, 'price': 105.0, 'edge': 0.3485315751541888, 'ev': 0.7144897290660872, 'ev_pct': 71.44897290660872, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 28.5, 'price': -110.0, 'edge': 0.3418278750703066, 'ev': 0.6525804887705855, 'ev_pct': 65.25804887705856, 'book': 'fanatics'}, {'market': 'pa', 'side': 'UNDER', 'line': 28.5, 'price': -112.0, 'edge': 0.3373355120873776, 'ev': 0.6385279335939649, 'ev_pct': 63.852793359396486, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 28.5, 'price': -115.0, 'edge': 0.330753677949598, 'ev': 0.6183655718188135, 'ev_pct': 61.836557181881346, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 28.5, 'price': -116.0, 'edge': 0.3286003618427934, 'ev': 0.6118765358452015, 'ev_pct': 61.18765358452015, 'book': 'draftkings'}, {'market': 'pa', 'side': 'UNDER', 'line': 29.5, 'price': -135.0, 'edge': 0.3166496395167728, 'ev': 0.5512049280477157, 'ev_pct': 55.12049280477157, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 29.5, 'price': 110.0, 'edge': 0.3258874880739623, 'ev': 0.6843637249553208, 'ev_pct': 68.43637249553208, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 31.5, 'price': -120.0, 'edge': 0.3181505783864407, 'ev': 0.5832760603751412, 'ev_pct': 58.32760603751412, 'book': 'betmgm'}, {'market': 'pr', 'side': 'UNDER', 'line': 30.5, 'price': -109.0, 'edge': 0.3131583964108506, 'ev': 0.6004596775217227, 'ev_pct': 60.04596775217227, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 30.5, 'price': -110.0, 'edge': 0.3108799730797956, 'ev': 0.5934981304250644, 'ev_pct': 59.34981304250644, 'book': 'fanduel'}, {'market': 'pr', 'side': 'UNDER', 'line': 30.5, 'price': -110.0, 'edge': 0.3108799730797956, 'ev': 0.5934981304250644, 'ev_pct': 59.34981304250644, 'book': 'fanatics'}, {'market': 'pr', 'side': 'UNDER', 'line': 30.5, 'price': -110.0, 'edge': 0.3108799730797956, 'ev': 0.5934981304250644, 'ev_pct': 59.34981304250644, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 31.5, 'price': -130.0, 'edge': 0.2983877325366383, 'ev': 0.5279167575648216, 'ev_pct': 52.79167575648216, 'book': 'bovada'}, {'market': 'pra', 'side': 'UNDER', 'line': 32.5, 'price': 130.0, 'edge': 0.3341034241639388, 'ev': 0.7684378755770593, 'ev_pct': 76.84378755770594, 'book': 'bovada'}, {'market': 'pra', 'side': 'UNDER', 'line': 35.5, 'price': -110.0, 'edge': 0.3335466860229444, 'ev': 0.6367709460438031, 'ev_pct': 63.677094604380315, 'book': 'betrivers'}, {'market': 'pra', 'side': 'UNDER', 'line': 33.5, 'price': 110.0, 'edge': 0.3251152311214799, 'ev': 0.6827419853551078, 'ev_pct': 68.27419853551078, 'book': 'bovada'}, {'market': 'pra', 'side': 'UNDER', 'line': 34.5, 'price': -105.0, 'edge': 0.3186235445593171, 'ev': 0.6220745393777143, 'ev_pct': 62.207453937771426, 'book': 'fanatics'}, {'market': 'pra', 'side': 'UNDER', 'line': 34.5, 'price': -105.0, 'edge': 0.3186235445593171, 'ev': 0.6220745393777143, 'ev_pct': 62.207453937771426, 'book': 'bovada'}, {'market': 'pra', 'side': 'UNDER', 'line': 34.5, 'price': -106.0, 'edge': 0.3162555597144201, 'ev': 0.6146098613317975, 'ev_pct': 61.46098613317975, 'book': 'betonlineag'}, {'market': 'pra', 'side': 'UNDER', 'line': 34.5, 'price': -107.0, 'edge': 0.3139104539501501, 'ev': 0.6072847099783278, 'ev_pct': 60.72847099783279, 'book': 'draftkings'}, {'market': 'pra', 'side': 'UNDER', 'line': 34.5, 'price': -110.0, 'edge': 0.3070091427010127, 'ev': 0.5861083633382971, 'ev_pct': 58.61083633382971, 'book': 'fanduel'}, {'market': 'pra', 'side': 'UNDER', 'line': 35.5, 'price': -125.0, 'edge': 0.3018006542769127, 'ev': 0.5432411776984429, 'ev_pct': 54.32411776984429, 'book': 'betmgm'}, {'market': 'pra', 'side': 'UNDER', 'line': 35.5, 'price': -125.0, 'edge': 0.3018006542769127, 'ev': 0.5432411776984429, 'ev_pct': 54.32411776984429, 'book': 'bovada'}, {'market': 'pra', 'side': 'UNDER', 'line': 36.5, 'price': -145.0, 'edge': 0.2890890921137967, 'ev': 0.4884608797784842, 'ev_pct': 48.84608797784842, 'book': 'bovada'}, {'market': 'pts', 'side': 'UNDER', 'line': 21.5, 'price': 190.0, 'edge': 0.3989982050779895, 'ev': 1.1570947947261696, 'ev_pct': 115.70947947261696, 'book': 'bovada'}, {'market': 'pts', 'side': 'UNDER', 'line': 22.5, 'price': 155.0, 'edge': 0.3926464536195959, 'ev': 1.0012484567299695, 'ev_pct': 100.12484567299695, 'book': 'bovada'}, {'market': 'pts', 'side': 'UNDER', 'line': 23.5, 'price': 125.0, 'edge': 0.377252673467109, 'ev': 0.8488185153009952, 'ev_pct': 84.88185153009951, 'book': 'bovada'}, {'market': 'pts', 'side': 'UNDER', 'line': 24.5, 'price': 105.0, 'edge': 0.3665248432872803, 'ev': 0.7513759287389247, 'ev_pct': 75.13759287389247, 'book': 'bovada'}, {'market': 'pts', 'side': 'UNDER', 'line': 25.5, 'price': -120.0, 'edge': 0.3372308952520935, 'ev': 0.6182566412955047, 'ev_pct': 61.825664129550475, 'book': 'betmgm'}, {'market': 'pts', 'side': 'UNDER', 'line': 25.5, 'price': -120.0, 'edge': 0.3372308952520935, 'ev': 0.6182566412955047, 'ev_pct': 61.825664129550475, 'book': 'bovada'}, {'market': 'pts', 'side': 'UNDER', 'line': 24.5, 'price': -109.0, 'edge': 0.3327986208575919, 'ev': 0.6381184565067588, 'ev_pct': 63.81184565067588, 'book': 'williamhill_us'}, {'market': 'pts', 'side': 'UNDER', 'line': 25.5, 'price': -125.0, 'edge': 0.3271298851510833, 'ev': 0.5888337932719501, 'ev_pct': 58.88337932719501, 'book': 'betrivers'}, {'market': 'pts', 'side': 'UNDER', 'line': 24.5, 'price': -114.0, 'edge': 0.321619440962229, 'ev': 0.6037417575957632, 'ev_pct': 60.37417575957632, 'book': 'fanduel'}, {'market': 'pts', 'side': 'UNDER', 'line': 24.5, 'price': -114.0, 'edge': 0.321619440962229, 'ev': 0.6037417575957632, 'ev_pct': 60.37417575957632, 'book': 'betonlineag'}, {'market': 'pts', 'side': 'UNDER', 'line': 24.5, 'price': -114.0, 'edge': 0.321619440962229, 'ev': 0.6037417575957632, 'ev_pct': 60.37417575957632, 'book': 'draftkings'}, {'market': 'pts', 'side': 'UNDER', 'line': 24.5, 'price': -115.0, 'edge': 0.3194460004058282, 'ev': 0.597225131193505, 'ev_pct': 59.722513119350495, 'book': 'fanatics'}, {'market': 'pts', 'side': 'UNDER', 'line': 26.5, 'price': -145.0, 'edge': 0.3150545507858171, 'ev': 0.53233355132776, 'ev_pct': 53.233355132776, 'book': 'bovada'}, {'market': 'pts', 'side': 'UNDER', 'line': 27.5, 'price': -180.0, 'edge': 0.2843338810988233, 'ev': 0.4422971483759474, 'ev_pct': 44.22971483759474, 'book': 'bovada'}, {'market': 'pts', 'side': 'UNDER', 'line': 28.5, 'price': -215.0, 'edge': 0.2613757690209948, 'ev': 0.3829458941470389, 'ev_pct': 38.294589414703886, 'book': 'bovada'}, {'market': 'pts', 'side': 'UNDER', 'line': 29.5, 'price': -260.0, 'edge': 0.2352296144033513, 'ev': 0.3257025430200249, 'ev_pct': 32.57025430200249, 'book': 'bovada'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 150.0, 'edge': 0.3109578687912242, 'ev': 0.7773946719780606, 'ev_pct': 77.73946719780605, 'book': 'betmgm'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 140.0, 'edge': 0.2942912021245575, 'ev': 0.7062988850989381, 'ev_pct': 70.62988850989382, 'book': 'bovada'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 130.0, 'edge': 0.2761752600955721, 'ev': 0.6352030982198158, 'ev_pct': 63.52030982198158, 'book': 'betonlineag'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 128.0, 'edge': 0.2723613775631541, 'ev': 0.6209839408439913, 'ev_pct': 62.09839408439913, 'book': 'draftkings'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 125.0, 'edge': 0.2665134243467798, 'ev': 0.5996552047802546, 'ev_pct': 59.96552047802546, 'book': 'fanatics'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 125.0, 'edge': 0.2665134243467798, 'ev': 0.5996552047802546, 'ev_pct': 59.96552047802546, 'book': 'williamhill_us'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 125.0, 'edge': 0.2665134243467798, 'ev': 0.5996552047802546, 'ev_pct': 59.96552047802546, 'book': 'betrivers'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 124.0, 'edge': 0.2645292973626528, 'ev': 0.5925456260923423, 'ev_pct': 59.25456260923423, 'book': 'fanduel'}, {'market': 'threes', 'side': 'UNDER', 'line': 2.5, 'price': -220.0, 'edge': 0.2199833867076521, 'ev': 0.3199758352111304, 'ev_pct': 31.997583521113036, 'book': 'bovada'}]",[]
Brandon Miller,CHA,"[{'market': 'pa', 'side': 'UNDER', 'line': 23.5, 'price': -118.0, 'edge': 0.1454589181284257, 'ev': 0.2687291877287864, 'ev_pct': 26.87291877287864, 'book': 'draftkings'}, {'market': 'pa', 'side': 'UNDER', 'line': 23.5, 'price': -125.0, 'edge': 0.1311877662425948, 'ev': 0.2361379792366708, 'ev_pct': 23.61379792366708, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 23.5, 'price': -125.0, 'edge': 0.1311877662425948, 'ev': 0.2361379792366708, 'ev_pct': 23.61379792366708, 'book': 'fanatics'}, {'market': 'pa', 'side': 'UNDER', 'line': 21.5, 'price': 115.0, 'edge': 0.1272584533620946, 'ev': 0.2736056747285035, 'ev_pct': 27.36056747285035, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 22.5, 'price': -110.0, 'edge': 0.1168226416906589, 'ev': 0.2230250432276216, 'ev_pct': 22.30250432276216, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 23.5, 'price': -135.0, 'edge': 0.1122752366917674, 'ev': 0.1954420786856693, 'ev_pct': 19.54420786856693, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 22.5, 'price': 110.0, 'edge': 0.1215581218926913, 'ev': 0.2552720559746517, 'ev_pct': 25.52720559746517, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 24.5, 'price': -135.0, 'edge': 0.1152733861889481, 'ev': 0.2006610796622431, 'ev_pct': 20.066107966224312, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 23.5, 'price': -113.0, 'edge': 0.1142842582683749, 'ev': 0.2154207700102997, 'ev_pct': 21.54207700102997, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 23.5, 'price': -114.0, 'edge': 0.1120904098194258, 'ev': 0.2104153307136589, 'ev_pct': 21.04153307136589, 'book': 'fanduel'}]",[]
Brandon Williams,DAL,"[{'market': 'ra', 'side': 'OVER', 'line': 7.5, 'price': -104.0, 'edge': 0.1311848209431707, 'ev': 0.2573240718500656, 'ev_pct': 25.73240718500656, 'book': 'draftkings'}, {'market': 'ra', 'side': 'OVER', 'line': 7.5, 'price': -108.0, 'edge': 0.1217579732810288, 'ev': 0.2344968374301298, 'ev_pct': 23.44968374301298, 'book': 'fanduel'}, {'market': 'ra', 'side': 'OVER', 'line': 7.5, 'price': -110.0, 'edge': 0.1171792187022743, 'ev': 0.2237057811588874, 'ev_pct': 22.37057811588874, 'book': 'fanatics'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 126.0, 'edge': 0.2048719810313989, 'ev': 0.4630106771309616, 'ev_pct': 46.30106771309616, 'book': 'betonlineag'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 123.0, 'edge': 0.198919363864051, 'ev': 0.4435901814168338, 'ev_pct': 44.35901814168338, 'book': 'draftkings'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 123.0, 'edge': 0.198919363864051, 'ev': 0.4435901814168338, 'ev_pct': 44.35901814168338, 'book': 'williamhill_us'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 122.0, 'edge': 0.1968994066871431, 'ev': 0.4371166828454578, 'ev_pct': 43.71166828454578, 'book': 'fanduel'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 120.0, 'edge': 0.1928044025921391, 'ev': 0.4241696857027059, 'ev_pct': 42.41696857027059, 'book': 'fanatics'}]",[]
Bruce Brown,DEN,"[{'market': 'ra', 'side': 'OVER', 'line': 5.5, 'price': -125.0, 'edge': 0.1209001608039546, 'ev': 0.2176202894471183, 'ev_pct': 21.76202894471183, 'book': 'fanatics'}, {'market': 'ra', 'side': 'OVER', 'line': 5.5, 'price': -136.0, 'edge': 0.1001845299188322, 'ev': 0.1738496254473853, 'ev_pct': 17.38496254473853, 'book': 'fanduel'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': -110.0, 'edge': 0.1808039349169322, 'ev': 0.3451711484777797, 'ev_pct': 34.51711484777797, 'book': 'betmgm'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': -115.0, 'edge': 0.1697297377962235, 'ev': 0.3173208141407657, 'ev_pct': 31.732081414076568, 'book': 'draftkings'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': -116.0, 'edge': 0.167576421689419, 'ev': 0.3120388541802975, 'ev_pct': 31.20388541802975, 'book': 'betonlineag'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': -117.0, 'edge': 0.1654429518140137, 'ev': 0.3068471841336835, 'ev_pct': 30.68471841336835, 'book': 'betrivers'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': -120.0, 'edge': 0.1591589132719106, 'ev': 0.2917913409985029, 'ev_pct': 29.17913409985029, 'book': 'fanduel'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': -120.0, 'edge': 0.1591589132719106, 'ev': 0.2917913409985029, 'ev_pct': 29.17913409985029, 'book': 'fanatics'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': -120.0, 'edge': 0.1591589132719106, 'ev': 0.2917913409985029, 'ev_pct': 29.17913409985029, 'book': 'williamhill_us'}]",[]
Buddy Hield,GSW,"[{'market': 'ra', 'side': 'OVER', 'line': 4.5, 'price': -125.0, 'edge': 0.1317624642873885, 'ev': 0.2371724357172995, 'ev_pct': 23.717243571729952, 'book': 'fanatics'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 148.0, 'edge': 0.4417302911166693, 'ev': 1.0954911219693395, 'ev_pct': 109.54911219693395, 'book': 'fanduel'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 141.0, 'edge': 0.4300183382321825, 'ev': 1.03634419513956, 'ev_pct': 103.634419513956, 'book': 'draftkings'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 135.0, 'edge': 0.4194241826746651, 'ev': 0.9856468292854632, 'ev_pct': 98.56468292854632, 'book': 'betrivers'}, {'market': 'threes', 'side': 'UNDER', 'line': 2.5, 'price': -160.0, 'edge': 0.3474253678860703, 'ev': 0.5645662228148645, 'ev_pct': 56.456622281486446, 'book': 'betmgm'}, {'market': 'threes', 'side': 'UNDER', 'line': 2.5, 'price': -175.0, 'edge': 0.3264463469070494, 'ev': 0.5129871165682205, 'ev_pct': 51.29871165682205, 'book': 'fanatics'}, {'market': 'threes', 'side': 'UNDER', 'line': 2.5, 'price': -175.0, 'edge': 0.3264463469070494, 'ev': 0.5129871165682205, 'ev_pct': 51.29871165682205, 'book': 'betonlineag'}, {'market': 'threes', 'side': 'UNDER', 'line': 2.5, 'price': -182.0, 'edge': 0.3174199123486999, 'ev': 0.4918264575952384, 'ev_pct': 49.182645759523844, 'book': 'williamhill_us'}]",[]
Collin Gillespie,PHX,"[{'market': 'ra', 'side': 'UNDER', 'line': 9.5, 'price': -118.0, 'edge': 0.1332214944601927, 'ev': 0.2461210660366271, 'ev_pct': 24.61210660366271, 'book': 'betmgm'}, {'market': 'ra', 'side': 'UNDER', 'line': 9.5, 'price': -125.0, 'edge': 0.1189503425743618, 'ev': 0.2141106166338514, 'ev_pct': 21.41106166338514, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 9.5, 'price': -130.0, 'edge': 0.1092885068255696, 'ev': 0.1933565889990848, 'ev_pct': 19.33565889990848, 'book': 'fanatics'}, {'market': 'ra', 'side': 'UNDER', 'line': 9.5, 'price': -138.0, 'edge': 0.0946739653568081, 'ev': 0.163278288079133, 'ev_pct': 16.3278288079133, 'book': 'fanduel'}, {'market': 'threes', 'side': 'OVER', 'line': 2.5, 'price': -120.0, 'edge': 0.1803203041803291, 'ev': 0.3305872243306035, 'ev_pct': 33.05872243306035, 'book': 'fanduel'}, {'market': 'threes', 'side': 'OVER', 'line': 2.5, 'price': -120.0, 'edge': 0.1803203041803291, 'ev': 0.3305872243306035, 'ev_pct': 33.05872243306035, 'book': 'fanatics'}]",[]
