event_id,commence_time,home_team,away_team,has_odds
22dcb3e32847c7eab5774e8927016216,2026-04-12T22:10:00Z,Miami Heat,Atlanta Hawks,True
f78d40af453b24c39e18559579894d14,2026-04-12T22:10:00Z,Boston Celtics,Orlando Magic,True
d55bfef33abc5dc6dba0717236d0ee80,2026-04-12T22:10:00Z,Toronto Raptors,Brooklyn Nets,True
38b10a0526d5b246097a502269bcdf71,2026-04-12T22:10:00Z,New York Knicks,Charlotte Hornets,True
ad75b36adad0af42dea87b9bcdfa91f8,2026-04-12T22:10:00Z,Cleveland Cavaliers,Washington Wizards,True
4675acfb68965858aa571a0493a222da,2026-04-12T22:10:00Z,Indiana Pacers,Detroit Pistons,True
23c66e71d25675800d939e532e38bcd2,2026-04-12T22:10:00Z,Philadelphia 76ers,Milwaukee Bucks,True
c8cde1aa908581185caf0bb87659055a,2026-04-13T00:40:00Z,Dallas Mavericks,Chicago Bulls,True
09604d4c311c1eb2215317d12154f42a,2026-04-13T00:40:00Z,San Antonio Spurs,Denver Nuggets,True
06ccc7d0ba2acaf031c7d42eea09672c,2026-04-13T00:40:00Z,Los Angeles Clippers,Golden State Warriors,True
fdd561cce076bab5eb0f0651d1d0f8e4,2026-04-13T00:40:00Z,Houston Rockets,Memphis Grizzlies,True
3f3bec3a69985062b105b5fe8bf06fe9,2026-04-13T00:40:00Z,Los Angeles Lakers,Utah Jazz,True
47ede7b5685ae38218b5c2ea1ffd1699,2026-04-13T00:40:00Z,Minnesota Timberwolves,New Orleans Pelicans,True
8c4fafe262a5424f243a130d7ab60e82,2026-04-13T00:40:00Z,Oklahoma City Thunder,Phoenix Suns,True
3f5adb3e93b0c63eb14ed1d0e8b90a43,2026-04-13T00:40:00Z,Portland Trail Blazers,Sacramento Kings,True
