date,commence_time,home_team,visitor_team,home_ml,away_ml,home_spread,away_spread,home_spread_price,away_spread_price,total,total_over_price,total_under_price,books_count,books_h2h,books_spreads,books_totals,bookmaker
2026-01-23,2026-01-24T02:40:00Z,Oklahoma City Thunder,Indiana Pacers,-771.3034323858503,771.3034323858499,-16.0,16.0,,,226.5,100.19261884582785,-100.19261884582784,11,11,9,9,oddsapi_consensus
2026-01-23,2026-01-24T00:10:00Z,Detroit Pistons,Houston Rockets,-149.45545987992816,149.45545987992816,-3.5,3.5,,,217.0,101.55732331874741,-101.55732331874736,11,11,10,6,oddsapi_consensus
2026-01-23,2026-01-24T03:10:00Z,Portland Trail Blazers,Toronto Raptors,133.7674310506604,-133.76743105066038,3.0,-3.0,,,225.5,-100.24772096710265,100.24772096710265,11,11,7,7,oddsapi_consensus
2026-01-23,2026-01-24T00:40:00Z,Brooklyn Nets,Boston Celtics,316.26137257004797,-316.26137257004797,8.5,-8.5,,,216.5,-100.0,-100.0,11,11,11,9,oddsapi_consensus
2026-01-23,2026-01-24T00:40:00Z,Atlanta Hawks,Phoenix Suns,136.3494738742194,-136.34947387421946,3.0,-3.0,,,233.0,-100.87051142546247,100.87051142546245,11,11,9,5,oddsapi_consensus
2026-01-23,2026-01-24T00:40:00Z,Cleveland Cavaliers,Sacramento Kings,-437.53152099014403,437.5315209901441,-12.0,12.0,,,233.5,-100.32575382079445,100.32575382079445,11,11,7,8,oddsapi_consensus
2026-01-23,2026-01-24T01:10:00Z,Memphis Grizzlies,New Orleans Pelicans,-199.64957805335922,199.64957805335928,-6.0,6.0,,,239.5,-100.76131157811484,100.76131157811484,11,11,6,8,oddsapi_consensus
2026-01-23,2026-01-24T02:40:00Z,Milwaukee Bucks,Denver Nuggets,-211.9395895757903,211.9395895757904,-6.5,6.5,,,216.5,100.54318305268875,-100.54318305268875,11,11,8,8,oddsapi_consensus
