gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,game_id,date
0042400303,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (8:07 PM EST),period,start,0,0,1,0042400303,2025-05-25
0042400303,4,PT12M00.00S,1,1610612754,IND,1626167,Turner,M. Turner,0,0,0,,0,,,0,h,Jump Ball Turner vs. Robinson: Tip to Towns,Jump Ball,,1,0,2,0042400303,2025-05-25
0042400303,7,PT11M40.00S,1,1610612752,NYK,1628973,Brunson,J. Brunson,-62,87,11,Made,1,0,2,2,v,Brunson 11' Turnaround Jump Shot (2 PTS),Made Shot,Turnaround Jump Shot,1,2,3,0042400303,2025-05-25
0042400303,8,PT11M18.00S,1,1610612754,IND,1629614,Nembhard,A. Nembhard,-40,78,9,Missed,1,,,0,h,MISS Nembhard 9' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,4,0042400303,2025-05-25
0042400303,8,PT11M18.00S,1,1610612752,NYK,1628384,Anunoby,O. Anunoby,0,0,0,,0,,,0,v,Anunoby BLOCK (1 BLK),,,1,2,5,0042400303,2025-05-25
0042400303,10,PT11M15.00S,1,1610612752,NYK,1626157,Towns,K. Towns,0,0,0,,0,,,0,v,Towns REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,6,0042400303,2025-05-25
0042400303,11,PT11M03.00S,1,1610612752,NYK,1628969,Bridges,M. Bridges,-225,0,0,Missed,1,,,0,v,MISS Bridges 3PT Jump Shot,Missed Shot,Jump Shot,1,3,7,0042400303,2025-05-25
0042400303,12,PT11M00.00S,1,1610612754,IND,1629614,Nembhard,A. Nembhard,0,0,0,,0,,,0,h,Nembhard REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,8,0042400303,2025-05-25
0042400303,13,PT10M50.00S,1,1610612754,IND,1626167,Turner,M. Turner,87,259,27,Missed,1,,,0,h,MISS Turner 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,9,0042400303,2025-05-25
0042400303,14,PT10M47.00S,1,1610612752,NYK,1626157,Towns,K. Towns,0,0,0,,0,,,0,v,Towns REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,10,0042400303,2025-05-25
0042400303,15,PT10M40.00S,1,1610612752,NYK,1628973,Brunson,J. Brunson,-113,40,12,Missed,1,,,0,v,MISS Brunson 12' Turnaround Bank Shot,Missed Shot,Turnaround Bank shot,1,2,11,0042400303,2025-05-25
0042400303,16,PT10M37.00S,1,1610612754,IND,1629614,Nembhard,A. Nembhard,0,0,0,,0,,,0,h,Nembhard REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,12,0042400303,2025-05-25
0042400303,17,PT10M29.00S,1,1610612754,IND,1629614,Nembhard,A. Nembhard,-124,237,27,Missed,1,,,0,h,MISS Nembhard 27' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,3,13,0042400303,2025-05-25
0042400303,18,PT10M26.00S,1,1610612752,NYK,1626157,Towns,K. Towns,0,0,0,,0,,,0,v,Towns REBOUND (Off:0 Def:3),Rebound,Unknown,1,0,14,0042400303,2025-05-25
0042400303,19,PT10M21.00S,1,1610612752,NYK,1628969,Bridges,M. Bridges,-27,74,8,Missed,1,,,0,v,MISS Bridges 8' Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,1,2,15,0042400303,2025-05-25
0042400303,20,PT10M17.00S,1,1610612754,IND,1627783,Siakam,P. Siakam,0,0,0,,0,,,0,h,Siakam REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,16,0042400303,2025-05-25
0042400303,21,PT10M09.00S,1,1610612754,IND,1627783,Siakam,P. Siakam,-42,70,8,Made,1,2,2,4,h,Siakam 8' Driving Floating Jump Shot (2 PTS),Made Shot,Driving Floating Jump Shot,1,2,17,0042400303,2025-05-25
0042400303,23,PT09M41.00S,1,1610612752,NYK,1628973,Brunson,J. Brunson,219,188,29,Missed,1,,,0,v,MISS Brunson 29' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,18,0042400303,2025-05-25
