date,commence_time,home_team,visitor_team,home_ml,away_ml,home_spread,away_spread,total,bookmaker
2025-11-12,2025-11-13T01:40:00Z,Dallas Mavericks,Phoenix Suns,-108.75,-111.375,0.0,-0.0,226.5,oddsapi_consensus
2025-11-12,2025-11-13T00:40:00Z,Boston Celtics,Memphis Grizzlies,-254.45454545454547,207.36363636363637,-6.5,6.5,229.5,oddsapi_consensus
2025-11-12,2025-11-13T03:40:00Z,Los Angeles Clippers,Denver Nuggets,127.0909090909091,-150.72727272727272,3.0,-3.0,225.5,oddsapi_consensus
2025-11-12,2025-11-13T02:40:00Z,Oklahoma City Thunder,Los Angeles Lakers,-280.09090909090907,226.72727272727272,-7.0,7.0,230.5,oddsapi_consensus
2025-11-12,2025-11-13T01:10:00Z,New Orleans Pelicans,Portland Trail Blazers,272.0,-343.8181818181818,8.0,-8.0,231.5,oddsapi_consensus
2025-11-12,2025-11-13T01:10:00Z,San Antonio Spurs,Golden State Warriors,-184.0909090909091,154.27272727272728,-4.5,4.5,231.5,oddsapi_consensus
2025-11-12,2025-11-13T00:40:00Z,Miami Heat,Cleveland Cavaliers,-223.45454545454547,184.54545454545453,-6.0,6.0,238.5,oddsapi_consensus
2025-11-12,2025-11-13T00:10:00Z,Detroit Pistons,Chicago Bulls,-138.36363636363637,116.63636363636364,-2.5,2.5,235.5,oddsapi_consensus
2025-11-12,2025-11-13T00:10:00Z,New York Knicks,Orlando Magic,-188.54545454545453,158.0909090909091,-4.5,4.5,226.5,oddsapi_consensus
2025-11-12,2025-11-13T00:10:00Z,Charlotte Hornets,Milwaukee Bucks,172.36363636363637,-207.36363636363637,5.5,-5.5,231.5,oddsapi_consensus
2025-11-12,2025-11-13T01:10:00Z,Houston Rockets,Washington Wizards,-1564.8181818181818,860.1818181818181,-17.0,17.0,234.5,oddsapi_consensus
2025-11-12,2025-11-13T03:10:00Z,Sacramento Kings,Atlanta Hawks,137.27272727272728,-162.72727272727272,3.5,-3.5,233.5,oddsapi_consensus
