date,home_team,visitor_team,h1_total,h1_spread,h1_home_spread_price,h1_away_spread_price
2026-05-05,Detroit Pistons,Cleveland Cavaliers,104.0,-2.0,-105,-115
2026-05-05,Oklahoma City Thunder,Los Angeles Lakers,109.5,-9.5,-115,-105
