gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,game_id,date
0022300101,1610612751,Brooklyn,Nets,BKN,nets,1630560,Cam,Thomas,C. Thomas,cam-thomas,F,,,37:60,10,17,0.588,1,4,0.25,12,14,0.857,0,2,2,2,0,0,2,4,33,8.0,0022300101,2023-10-30
0022300101,1610612751,Brooklyn,Nets,BKN,nets,1628969,Mikal,Bridges,M. Bridges,mikal-bridges,F,,,37:45,10,13,0.769,1,3,0.333,3,3,1.0,1,6,7,4,1,1,5,3,24,10.0,0022300101,2023-10-30
0022300101,1610612751,Brooklyn,Nets,BKN,nets,1627827,Dorian,Finney-Smith,D. Finney-Smith,dorian-finney-smith,C,,,31:16,7,12,0.583,4,9,0.444,1,2,0.5,1,6,7,1,1,2,1,0,19,5.0,0022300101,2023-10-30
0022300101,1610612751,Brooklyn,Nets,BKN,nets,203915,Spencer,Dinwiddie,S. Dinwiddie,spencer-dinwiddie,G,,,12:54,2,6,0.333,1,3,0.333,0,0,0.0,0,1,1,3,0,0,1,2,5,14.0,0022300101,2023-10-30
0022300101,1610612751,Brooklyn,Nets,BKN,nets,1627732,Ben,Simmons,B. Simmons,ben-simmons,G,,,35:17,5,6,0.833,0,0,0.0,1,2,0.5,3,7,10,8,0,1,2,1,11,3.0,0022300101,2023-10-30
0022300101,1610612751,Brooklyn,Nets,BKN,nets,1629022,Lonnie,Walker IV,L. Walker IV,lonnie-walker-iv,,,,28:43,6,13,0.462,3,7,0.429,4,6,0.667,0,5,5,4,1,1,0,1,19,11.0,0022300101,2023-10-30
0022300101,1610612751,Brooklyn,Nets,BKN,nets,1626220,Royce,O'Neale,R. O'Neale,royce-oneale,,,,31:50,3,8,0.375,2,6,0.333,0,0,0.0,0,2,2,0,0,2,0,1,8,0.0,0022300101,2023-10-30
0022300101,1610612751,Brooklyn,Nets,BKN,nets,1630549,Day'Ron,Sharpe,D. Sharpe,dayron-sharpe,,,,10:16,5,8,0.625,0,0,0.0,1,3,0.333,4,4,8,1,0,1,1,5,11,2.0,0022300101,2023-10-30
0022300101,1610612751,Brooklyn,Nets,BKN,nets,1628372,Dennis,Smith Jr.,D. Smith Jr.,dennis-smith-jr,,,,14:01,1,4,0.25,0,1,0.0,1,2,0.5,1,3,4,2,1,0,1,2,3,7.0,0022300101,2023-10-30
0022300101,1610612751,Brooklyn,Nets,BKN,nets,1629651,Nic,Claxton,N. Claxton,nic-claxton,,DND - Injury/Illness,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022300101,2023-10-30
0022300101,1610612751,Brooklyn,Nets,BKN,nets,1628385,Harry,Giles III,H. Giles III,harry-giles-iii,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022300101,2023-10-30
0022300101,1610612751,Brooklyn,Nets,BKN,nets,1630570,Trendon,Watford,T. Watford,trendon-watford,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022300101,2023-10-30
0022300101,1610612766,Charlotte,Hornets,CHA,hornets,202330,Gordon,Hayward,G. Hayward,gordon-hayward,F,,,31:16,6,11,0.545,2,2,1.0,1,1,1.0,0,0,0,5,2,1,0,4,15,-8.0,0022300101,2023-10-30
0022300101,1610612766,Charlotte,Hornets,CHA,hornets,1629023,P.J.,Washington,P. Washington,pj-washington,F,,,35:23,7,14,0.5,1,3,0.333,0,1,0.0,3,9,12,2,0,0,1,4,15,-14.0,0022300101,2023-10-30
