market,side,home,away,date,ev,price,implied_prob,edge,line,pred_margin,market_home_margin,pred_total,tier
ATS,Dallas Mavericks,Dallas Mavericks,Cleveland Cavaliers,2026-03-13,0.5913804900496961,-110.0,0.5238095238095238,11.620923860334111,12.5,-0.8790761396658895,-12.5,,High
TOTAL,Under,Dallas Mavericks,Cleveland Cavaliers,2026-03-13,0.5370808479031125,100.4396321124546,0.49890333037478346,-11.656446512728763,233.5,,,221.84355348727124,High
ATS,Memphis Grizzlies,Detroit Pistons,Memphis Grizzlies,2026-03-13,0.7142666914200835,-110.0,0.5238095238095238,-15.239429634682248,15.5,0.2605703653177524,15.5,,High
TOTAL,Under,Detroit Pistons,Memphis Grizzlies,2026-03-13,0.48232395714468,-100.0,0.5,-10.350909808936876,232.5,,,222.14909019106312,High
ATS,Golden State Warriors,Golden State Warriors,Minnesota Timberwolves,2026-03-13,0.7407588905267448,-110.0,0.5238095238095238,16.22503111518501,6.5,9.725031115185011,-6.5,,High
TOTAL,Over,Golden State Warriors,Minnesota Timberwolves,2026-03-13,0.06347302024317758,-100.97968784311712,0.5024372807362549,1.378483769729172,227.5,,,228.87848376972917,Low
ATS,New Orleans Pelicans,Houston Rockets,New Orleans Pelicans,2026-03-13,0.06206183425003531,-110.0,0.5238095238095238,-1.6996887701663148,7.0,5.300311229833685,7.0,,Medium
TOTAL,Under,Houston Rockets,New Orleans Pelicans,2026-03-13,0.11420823072099362,100.31382584044302,0.4992166645534168,-2.2627359697552833,226.5,,,224.23726403024472,Medium
ATS,Indiana Pacers,Indiana Pacers,New York Knicks,2026-03-13,0.8641571694380695,-105.0,0.5121951219512195,20.321037987655032,11.5,8.821037987655032,-11.5,,High
TOTAL,Over,Indiana Pacers,New York Knicks,2026-03-13,0.13627798044201944,-100.48268372149148,0.5012038040207054,2.801900366474115,227.5,,,230.30190036647411,Medium
ATS,Chicago Bulls,Los Angeles Clippers,Chicago Bulls,2026-03-13,0.2766982751354924,-110.0,0.5238095238095238,-5.237461204488813,11.5,6.262538795511187,11.5,,High
TOTAL,Under,Los Angeles Clippers,Chicago Bulls,2026-03-13,0.2666303094455881,101.45507457257185,0.4963885879378837,-5.2563239437298535,234.5,,,229.24367605627015,High
ATS,Utah Jazz,Portland Trail Blazers,Utah Jazz,2026-03-13,0.837378612092945,-110.0,0.5238095238095238,-21.356246262461834,14.0,-7.356246262461834,14.0,,High
TOTAL,Under,Portland Trail Blazers,Utah Jazz,2026-03-13,0.5466984768236651,-100.11572734637194,0.5002891510525098,-12.022530271700703,236.5,,,224.4774697282993,High
ATS,Phoenix Suns,Toronto Raptors,Phoenix Suns,2026-03-13,-0.006362906158770221,-110.0,0.5238095238095238,-0.6161965712013435,3.5,2.8838034287986565,3.5,,Low
TOTAL,Over,Toronto Raptors,Phoenix Suns,2026-03-13,0.5444446822315954,100.19261884582784,0.499518916214448,11.899640438813293,218.5,,,230.3996404388133,High
