date,team_tri,player_id,player_name,_baseline_source,exp_min_mean,exp_min_source,exp_asof_ts
,IND,4433403,Caitlin Clark,blend_lag1_roll3_roll5_roll10,8.92,baseline:blend_lag1_roll3_roll5_roll10,2026-05-09T16:00:00Z
,IND,2955898,Damiris Dantas,blend_lag1_roll3_roll5_roll10,7.699999999999999,baseline:blend_lag1_roll3_roll5_roll10,2026-05-09T16:00:00Z
,IND,3907781,Sophie Cunningham,blend_lag1_roll3_roll5_roll10,7.653333333333334,baseline:blend_lag1_roll3_roll5_roll10,2026-05-09T16:00:00Z
,IND,4065760,Tyasha Harris,blend_lag1_roll3_roll5_roll10,0.0,baseline:blend_lag1_roll3_roll5_roll10,2026-05-09T16:00:00Z
,LVA,2529122,Chelsea Gray,blend_lag1_roll3_roll5_roll10,31.42,baseline:blend_lag1_roll3_roll5_roll10,2026-05-09T16:00:00Z
,LVA,4065870,Jackie Young,blend_lag1_roll3_roll5_roll10,31.413333333333334,baseline:blend_lag1_roll3_roll5_roll10,2026-05-09T16:00:00Z
,LVA,3149391,A'ja Wilson,blend_lag1_roll3_roll5_roll10,31.35333333333334,baseline:blend_lag1_roll3_roll5_roll10,2026-05-09T16:00:00Z
,LVA,2987869,Jewell Loyd,blend_lag1_roll3_roll5_roll10,29.69666666666667,baseline:blend_lag1_roll3_roll5_roll10,2026-05-09T16:00:00Z
,LVA,4398776,NaLyssa Smith,blend_lag1_roll3_roll5_roll10,22.116666666666667,baseline:blend_lag1_roll3_roll5_roll10,2026-05-09T16:00:00Z
,LVA,4281190,Dana Evans,blend_lag1_roll3_roll5_roll10,21.099999999999998,baseline:blend_lag1_roll3_roll5_roll10,2026-05-09T16:00:00Z
,LVA,4280892,Chennedy Carter,blend_lag1_roll3_roll5_roll10,16.0,baseline:blend_lag1_roll3_roll5_roll10,2026-05-09T16:00:00Z
,LVA,3142086,Brianna Turner,blend_lag1_roll3_roll5_roll10,14.966666666666667,baseline:blend_lag1_roll3_roll5_roll10,2026-05-09T16:00:00Z
,LVA,4433633,Kierstan Bell,blend_lag1_roll3_roll5_roll10,11.82,baseline:blend_lag1_roll3_roll5_roll10,2026-05-09T16:00:00Z
,LVA,3099736,Stephanie Talbot,blend_lag1_roll3_roll5_roll10,10.313333333333334,baseline:blend_lag1_roll3_roll5_roll10,2026-05-09T16:00:00Z
