date,home_team,visitor_team,commence_time,home_ml,away_ml,home_spread,away_spread,home_spread_price,away_spread_price,total,total_over_price,total_under_price,bookmaker
2025-10-05,Charlotte Hornets,Oklahoma City Thunder,2025-10-05T21:00:00+00:00,210,-250,7.0,-7.0,-110,-110,218.5,-110,-110,bovada
2025-10-05,Golden State Warriors,Los Angeles Lakers,2025-10-06T00:30:00+00:00,-170,145,-3.5,3.5,-110,-110,217.5,-110,-110,bovada
