event_id,commence_time,home_team,away_team,discovered_markets,fetched_any
394a702a8e29834913f57266c9f99c51,2026-05-08T23:30:00Z,New York Liberty,Connecticut Sun,player_assists;player_double_double;player_points;player_points_assists;player_points_rebounds;player_points_rebounds_assists;player_rebounds;player_rebounds_assists;player_threes,True
cc10e0482e68ed9de54b97d21c46596e,2026-05-08T23:30:00Z,Toronto Tempo,Washington Mystics,player_assists;player_double_double;player_points;player_points_assists;player_points_rebounds;player_points_rebounds_assists;player_rebounds;player_rebounds_assists;player_threes,True
05ba9c19c44fa11daedbeb4c4eaf9aab,2026-05-09T02:00:00Z,Seattle Storm,Golden State Valkyries,player_assists;player_double_double;player_points;player_points_assists;player_points_rebounds;player_points_rebounds_assists;player_rebounds;player_rebounds_assists;player_threes,True
