date,commence_time,home_team,visitor_team,home_ml,away_ml,home_spread,away_spread,total,bookmaker
2025-12-23,2025-12-24T03:10:00Z,Sacramento Kings,Detroit Pistons,305.72727272727275,-392.3636363636364,8.5,-8.5,227.5,oddsapi_consensus
2025-12-23,2025-12-24T01:40:00Z,San Antonio Spurs,Oklahoma City Thunder,179.8181818181818,-217.36363636363637,5.5,-5.5,234.0,oddsapi_consensus
2025-12-23,2025-12-24T00:10:00Z,Charlotte Hornets,Washington Wizards,-223.54545454545453,184.27272727272728,-5.5,5.5,232.5,oddsapi_consensus
2025-12-23,2025-12-24T02:10:00Z,Utah Jazz,Memphis Grizzlies,134.0,-158.72727272727272,3.5,-3.5,243.5,oddsapi_consensus
2025-12-23,2025-12-24T00:40:00Z,Miami Heat,Toronto Raptors,-212.45454545454547,175.63636363636363,-5.5,5.5,228.5,oddsapi_consensus
2025-12-23,2025-12-24T00:40:00Z,Atlanta Hawks,Chicago Bulls,-166.8181818181818,140.36363636363637,-4.0,4.0,253.0,oddsapi_consensus
2025-12-23,2025-12-24T00:10:00Z,Philadelphia 76ers,Brooklyn Nets,-443.54545454545456,339.0,-10.0,10.0,218.5,oddsapi_consensus
2025-12-23,2025-12-24T04:10:00Z,Los Angeles Clippers,Houston Rockets,240.36363636363637,-299.27272727272725,7.5,-7.5,220.5,oddsapi_consensus
2025-12-23,2025-12-24T00:40:00Z,Cleveland Cavaliers,New Orleans Pelicans,-414.90909090909093,319.0,-9.5,9.5,245.0,oddsapi_consensus
2025-12-23,2025-12-24T02:10:00Z,Phoenix Suns,Los Angeles Lakers,-232.1818181818182,190.0,-6.0,6.0,226.5,oddsapi_consensus
2025-12-23,2025-12-24T01:10:00Z,Dallas Mavericks,Denver Nuggets,217.72727272727272,-269.0,6.5,-6.5,235.5,oddsapi_consensus
2025-12-23,2025-12-24T03:10:00Z,Portland Trail Blazers,Orlando Magic,107.9090909090909,-128.8181818181818,1.5,-1.5,232.5,oddsapi_consensus
2025-12-23,2025-12-24T01:10:00Z,Minnesota Timberwolves,New York Knicks,-294.09090909090907,237.0909090909091,-8.5,8.5,228.5,oddsapi_consensus
2025-12-23,2025-12-24T00:40:00Z,Indiana Pacers,Milwaukee Bucks,102.27272727272727,-122.36363636363636,1.5,-1.5,218.5,oddsapi_consensus
