date,home_team,visitor_team,h1_total,q2_total,q3_total,h1_spread,h1_home_spread_price,h1_away_spread_price,q2_spread,q2_home_spread_price,q2_away_spread_price,q3_spread,q3_home_spread_price,q3_away_spread_price,q1_total,q4_total,q1_spread,q1_home_spread_price,q1_away_spread_price,q4_spread,q4_home_spread_price,q4_away_spread_price
2026-01-25,Minnesota Timberwolves,Golden State Warriors,97.0,54.0,61.0,5.0,-110.0,-120,0.5,-120,-110.0,-2.0,-110,-120.0,,,,,,,,
2026-01-25,San Antonio Spurs,New Orleans Pelicans,123.0,60.5,59.5,-6.5,-110.0,-110,-3.0,-110,-110.0,-2.5,-120,,62.0,56.5,-4.0,-105.0,-115.0,-2.5,-115.0,-105.0
2026-01-25,Oklahoma City Thunder,Toronto Raptors,109.5,54.0,58.5,-6.5,-110.0,-110,-3.0,-115,-105.0,-2.5,-120,,55.5,56.5,-3.5,-110.0,-110.0,-2.5,-110.0,-110.0
2026-01-25,Phoenix Suns,Miami Heat,116.0,57.5,55.5,-2.5,-105.0,-115,-1.0,-115,-105.0,-1.5,110,-130.0,58.5,53.5,-1.0,-105.0,-115.0,-1.5,-105.0,-115.0
2026-01-25,Los Angeles Clippers,Brooklyn Nets,108.5,53.5,52.5,-5.0,-110.0,-110,-2.5,-110,-110.0,-2.5,-115,-105.0,54.5,49.5,-2.5,-115.0,-105.0,-1.5,-110.0,-110.0
2026-01-25,Detroit Pistons,Sacramento Kings,115.5,57.0,55.5,-8.5,-105.0,-115,-4.0,-115,-105.0,-3.5,-105,-115.0,58.5,53.5,-4.5,-110.0,-110.0,-3.5,-105.0,-115.0
2026-01-25,Memphis Grizzlies,Denver Nuggets,108.0,53.0,58.5,-2.5,-105.0,-115,-1.0,-115,-105.0,-1.5,110,-130.0,54.5,55.5,-1.0,-115.0,-105.0,-1.5,,-120.0
2026-01-25,Milwaukee Bucks,Dallas Mavericks,113.0,55.5,54.5,-0.5,,-120,0.5,-120,,-1.5,120,-140.0,57.0,51.5,-0.5,-105.0,-115.0,1.5,-145.0,125.0
