market,side,home,away,date,ev,price,implied_prob,edge,line,pred_margin,market_home_margin,pred_total,tier
ATS,Indiana Pacers,Chicago Bulls,Indiana Pacers,2026-04-01,0.001142709421782906,-110.0,0.5238095238095238,-0.7346426170751208,4.5,3.765357382924879,4.5,,Low
TOTAL,Under,Chicago Bulls,Indiana Pacers,2026-04-01,0.731233816693278,104.42967884828352,0.4891657638136511,-16.368963468365195,242.5,,,226.1310365316348,High
ATS,Golden State Warriors,Golden State Warriors,San Antonio Spurs,2026-04-01,0.8107002272524363,-110.0,0.5238095238095238,19.561450511597045,11.5,8.061450511597045,-11.5,,High
TOTAL,Under,Golden State Warriors,San Antonio Spurs,2026-04-01,0.22649768506046464,-102.19058050383347,0.5054171180931744,-4.883193341557046,227.5,,,222.61680665844295,High
ATS,Miami Heat,Miami Heat,Boston Celtics,2026-04-01,0.359091657099856,-110.0,0.5238095238095238,6.707508164351846,5.5,1.2075081643518455,-5.5,,High
TOTAL,Under,Miami Heat,Boston Celtics,2026-04-01,0.26023876126707735,-100.0,0.5,-5.314712724785409,228.5,,,223.1852872752146,High
ATS,Utah Jazz,Utah Jazz,Denver Nuggets,2026-04-01,0.7817469376803569,-110.0,0.5238095238095238,18.009568861670633,17.0,1.009568861670632,-17.0,,High
TOTAL,Under,Utah Jazz,Denver Nuggets,2026-04-01,0.8306108536641456,101.52798419434922,0.4962090024359206,-21.292119388804878,248.5,,,227.20788061119512,High
ATS,Washington Wizards,Washington Wizards,Philadelphia 76ers,2026-04-01,0.4078510450505012,-110.0,0.5238095238095238,7.625888423549197,15.5,-7.874111576450803,-15.5,,High
TOTAL,Under,Washington Wizards,Philadelphia 76ers,2026-04-01,0.16035735284028496,-100.2897827938834,0.5007234088275526,-3.2719789158773267,237.5,,,234.22802108412267,Medium
