date,commence_time,home_team,visitor_team,home_ml,away_ml,home_spread,away_spread,total,bookmaker
2025-12-20,2025-12-21T01:10:00Z,Memphis Grizzlies,Washington Wizards,-769.8181818181819,529.9090909090909,-13.0,13.0,231.0,oddsapi_consensus
2025-12-20,2025-12-20T22:10:00Z,Denver Nuggets,Houston Rockets,-2.4,-117.4,1.0,-1.0,235.0,oddsapi_consensus
2025-12-20,2025-12-21T00:10:00Z,Philadelphia 76ers,Dallas Mavericks,-149.36363636363637,126.27272727272727,-3.0,3.0,226.5,oddsapi_consensus
2025-12-20,2025-12-21T02:40:00Z,Utah Jazz,Orlando Magic,232.45454545454547,-288.27272727272725,7.5,-7.5,237.5,oddsapi_consensus
2025-12-20,2025-12-21T03:40:00Z,Los Angeles Clippers,Los Angeles Lakers,64.0909090909091,-120.18181818181819,1.5,-1.5,229.5,oddsapi_consensus
2025-12-20,2025-12-21T01:40:00Z,Golden State Warriors,Phoenix Suns,-239.63636363636363,195.9090909090909,-6.0,6.0,226.5,oddsapi_consensus
2025-12-20,2025-12-21T00:10:00Z,New Orleans Pelicans,Indiana Pacers,-130.0,109.36363636363636,-2.0,2.0,235.0,oddsapi_consensus
2025-12-20,2025-12-21T00:40:00Z,Detroit Pistons,Charlotte Hornets,-512.0909090909091,381.6363636363636,-10.5,10.5,232.5,oddsapi_consensus
2025-12-20,2025-12-21T00:00:00Z,Toronto Raptors,Boston Celtics,63.27272727272727,-119.72727272727273,1.5,-1.5,224.5,oddsapi_consensus
2025-12-20,2025-12-21T03:10:00Z,Sacramento Kings,Portland Trail Blazers,152.72727272727272,-182.8181818181818,4.5,-4.5,239.5,oddsapi_consensus
