date,home_team,visitor_team,home_tri,away_tri,home_pts,visitor_pts,pred_margin,pred_total,actual_margin,total_actual,margin_error,total_error
2026-01-09,Boston Celtics,Toronto Raptors,BOS,TOR,125,117,,,8,242,,
2026-01-09,Orlando Magic,Philadelphia 76ers,ORL,PHI,91,103,,,-12,194,,
2026-01-09,Washington Wizards,New Orleans Pelicans,WAS,NOP,107,128,,,-21,235,,
2026-01-09,Brooklyn Nets,Los Angeles Clippers,BKN,LAC,105,121,,,-16,226,,
2026-01-09,Memphis Grizzlies,Oklahoma City Thunder,MEM,OKC,116,117,,,-1,233,,
2026-01-09,Denver Nuggets,Atlanta Hawks,DEN,ATL,87,110,,,-23,197,,
2026-01-09,Phoenix Suns,New York Knicks,PHX,NYK,112,107,,,5,219,,
2026-01-09,Golden State Warriors,Sacramento Kings,GSW,SAC,137,103,,,34,240,,
2026-01-09,Portland Trail Blazers,Houston Rockets,POR,HOU,111,105,,,6,216,,
2026-01-09,Los Angeles Lakers,Milwaukee Bucks,LAL,MIL,101,105,,,-4,206,,
