player,team,plays,ladders,model
Ace Bailey,UTA,[],[],"{'pts': 11.180925764804078, 'reb': 3.2926669547424314, 'ast': 1.6465471738307609, 'threes': 1.8165829143882053, 'pra': 16.10350955609741}"
Amari Williams,BOS,[],[],"{'pts': 10.40095043182373, 'reb': 4.333277225494385, 'ast': 2.167660713195801, 'threes': 1.0835790634155271, 'pra': 16.7609920501709}"
Asa Newell,ATL,[],[],"{'pts': 13.21590518951416, 'reb': 4.16058874130249, 'ast': 2.562804937362671, 'threes': 1.2809724807739258, 'pra': 19.798402786254883}"
Brooks Barnhizer,OKC,[],[],"{'pts': 11.932684898376465, 'reb': 5.250585079193115, 'ast': 2.3336715698242188, 'threes': 1.1532987356185913, 'pra': 19.37604522705078}"
Caleb Love,POR,[],[],"{'pts': 11.253379821777344, 'reb': 4.319107532501221, 'ast': 3.1109390258789062, 'threes': 0.7815025448799133, 'pra': 18.542530059814453}"
Carter Bryant,SAS,[],[],"{'pts': 11.156811714172363, 'reb': 4.612209796905518, 'ast': 2.11364483833313, 'threes': 0.969233214855194, 'pra': 17.741769790649414}"
Cedric Coward,MEM,[],[],"{'pts': 11.308640193307058, 'reb': 5.250349521114095, 'ast': 3.3673656652898374, 'threes': 0.8975837269452049, 'pra': 20.9239462979562}"
Chaz Lanier,DET,[],[],"{'pts': 10.397294044494627, 'reb': 4.085982322692871, 'ast': 2.5150296688079834, 'threes': 0.6841762661933899, 'pra': 16.85740852355957}"
Chris Mañon,LAL,[],[],"{'pts': 8.31701374053955, 'reb': 4.282207489013672, 'ast': 1.5936273336410522, 'threes': 0.7716233134269714, 'pra': 14.051952362060549}"
Chris Youngblood,OKC,[],[],"{'pts': 12.876601219177246, 'reb': 4.064652442932129, 'ast': 2.722615957260132, 'threes': 1.253692865371704, 'pra': 19.5229721069336}"
Collin Murray-Boyles,TOR,[],[],"{'pts': 9.58056755065918, 'reb': 4.90648078918457, 'ast': 2.230382442474365, 'threes': 0.3174630548673509, 'pra': 15.80510493687221}"
Cooper Flagg,DAL,[],[],"{'pts': 16.54160543048417, 'reb': 6.569159052137554, 'ast': 3.613050411156242, 'threes': 0.9124526203150009, 'pra': 26.85507665148284}"
DaRon Holmes II,DEN,[],[],"{'pts': 11.842866897583008, 'reb': 3.889956951141357, 'ast': 2.504890918731689, 'threes': 1.0129270553588867, 'pra': 18.096818923950195}"
David Jones Garcia,SAS,[],[],"{'pts': 12.09981918334961, 'reb': 4.745356559753418, 'ast': 3.377382755279541, 'threes': 1.0696227550506592, 'pra': 20.081661224365234}"
Derik Queen,NOP,[],[],"{'pts': 21.361341275666888, 'reb': 7.334796047680664, 'ast': 4.6094356787045125, 'threes': 1.6690601502389242, 'pra': 31.88232604128225}"
Drake Powell,BKN,[],[],"{'pts': 11.501312696016752, 'reb': 3.905768394470215, 'ast': 2.1473500728607178, 'threes': 1.514819075672826, 'pra': 16.605840389545147}"
Dylan Cardwell,SAC,[],[],"{'pts': 10.709905624389648, 'reb': 4.858066558837891, 'ast': 1.8301230669021609, 'threes': 0.7096503376960754, 'pra': 17.257198333740234}"
Egor Dëmin,BKN,[],[],"{'pts': 6.70812463760376, 'reb': 4.017338752746582, 'ast': 3.033400535583496, 'threes': 0.8217341303825378, 'pra': 13.61796760559082}"
Hugo González,BOS,[],[],"{'pts': 11.257309913635254, 'reb': 4.443087577819824, 'ast': 2.6204445362091064, 'threes': 0.8930732607841492, 'pra': 18.17994499206543}"
Hunter Dickinson,NOP,[],[],"{'pts': 12.37175464630127, 'reb': 4.0581889152526855, 'ast': 2.2592406272888184, 'threes': 1.0673017501831057, 'pra': 18.54828643798828}"
Hunter Sallis,PHI,[],[],"{'pts': 13.780372619628906, 'reb': 3.889158248901367, 'ast': 2.6624200344085693, 'threes': 1.5796031951904297, 'pra': 20.19105339050293}"
Isaiah Livers,PHX,[],[],"{'pts': 9.095132827758787, 'reb': 5.05388879776001, 'ast': 1.8813847303390503, 'threes': 0.5351299047470093, 'pra': 15.889509201049805}"
Jahmai Mashack,MEM,[],[],"{'pts': 12.172744750976562, 'reb': 4.183244228363037, 'ast': 2.216918468475342, 'threes': 1.4545754194259644, 'pra': 18.43201065063477}"
Jahmyl Telfort,LAC,[],[],"{'pts': 11.304277420043944, 'reb': 4.352319717407227, 'ast': 2.263090372085572, 'threes': 0.9476003050804138, 'pra': 17.778789520263672}"
Jamir Watkins,WAS,[],[],"{'pts': 11.947290420532228, 'reb': 4.377087593078613, 'ast': 2.172238111495972, 'threes': 0.9679223895072936, 'pra': 18.3557186126709}"
Jase Richardson,ORL,[],[],"{'pts': 13.751219749450684, 'reb': 4.090491771697998, 'ast': 2.603602170944214, 'threes': 1.6021167039871216, 'pra': 20.30441665649414}"
Javonte Cooke,POR,[],[],"{'pts': 13.736173629760742, 'reb': 3.823801040649414, 'ast': 2.479978084564209, 'threes': 1.807025909423828, 'pra': 19.899057388305664}"
Jeremiah Fears,NOP,[],[],"{'pts': 15.973865498612875, 'reb': 4.398818850755244, 'ast': 2.797987455083674, 'threes': 1.4214300707086949, 'pra': 23.482716537629457}"
Joan Beringer,MIN,[],[],"{'pts': 11.381841659545898, 'reb': 4.671233177185059, 'ast': 2.495102882385254, 'threes': 0.7359217405319214, 'pra': 18.40728187561035}"
Khaman Maluach,PHX,[],[],"{'pts': 12.0609712600708, 'reb': 4.624303817749023, 'ast': 2.1675541400909424, 'threes': 1.0298734903335571, 'pra': 18.711933135986328}"
Koby Brea,PHX,[],[],"{'pts': 14.412714958190918, 'reb': 4.273221969604492, 'ast': 3.08576774597168, 'threes': 1.1720789670944214, 'pra': 21.63080787658692}"
Kon Knueppel,CHA,[],[],"{'pts': 15.518974876403808, 'reb': 3.132989024468925, 'ast': 3.528797966677579, 'threes': 1.7705999721180308, 'pra': 22.58641471862793}"
Mark Sears,MIL,[],[],"{'pts': 12.869389533996582, 'reb': 4.344432830810547, 'ast': 2.4279603958129883, 'threes': 1.3096084594726562, 'pra': 19.500885009765625}"
Maxime Raynaud,SAC,[],[],"{'pts': 11.79295825958252, 'reb': 5.258545398712158, 'ast': 2.005799055099488, 'threes': 0.7657761573791504, 'pra': 18.916404724121094}"
Micah Peavy,NOP,[],[],"{'pts': 13.12925148010254, 'reb': 4.830300331115723, 'ast': 2.558724403381348, 'threes': 1.039675235748291, 'pra': 20.37737846374512}"
Miles Kelly,DAL,[],[],"{'pts': 10.403801918029783, 'reb': 4.858233451843262, 'ast': 2.2494442462921143, 'threes': 0.7606516480445862, 'pra': 17.370582580566406}"
Mohamed Diawara,NYK,[],[],"{'pts': 13.459933280944824, 'reb': 4.905385494232178, 'ast': 2.5766501426696777, 'threes': 1.437300682067871, 'pra': 20.80107307434082}"
Moussa Cisse,DAL,[],[],"{'pts': 10.9293794631958, 'reb': 5.833275318145752, 'ast': 1.868466019630432, 'threes': 0.8302194476127625, 'pra': 18.49022483825684}"
Myron Gardner,MIA,[],[],"{'pts': 11.632527351379396, 'reb': 4.128475189208984, 'ast': 2.600015640258789, 'threes': 0.9856604933738708, 'pra': 18.220121383666992}"
Nigel Hayes-Davis,PHX,[],[],"{'pts': 11.391139030456545, 'reb': 4.632602691650391, 'ast': 2.2292494773864746, 'threes': 0.97527414560318, 'pra': 18.11209487915039}"
Noa Essengue,CHI,[],[],"{'pts': 11.420232772827148, 'reb': 4.151920318603516, 'ast': 2.28845763206482, 'threes': 0.9780067801475524, 'pra': 17.71971321105957}"
