date,game_id,home_team,visitor_team,commence_time,home_ml,away_ml,home_spread,away_spread,home_spread_price,away_spread_price,total,total_over_price,total_under_price,books_count,bookmaker,home_tri,away_tri,prob_home_tip,early_threes_expected,early_threes_prob_ge_1,first_basket_top5
2026-03-21,0022501024,Orlando Magic,Los Angeles Lakers,2026-03-21T23:11:00Z,134.57511009010224,-134.5751100901022,3.0,-3.0,-110,-110,232.5,-101.08932461873636,101.08932461873638,11,oddsapi_consensus,ORL,LAL,0.4850044983805899,1.2403028928220217,0.7107034211900678,LAL: Luka Doncic (11.5%); LAL: Austin Reaves (11.4%); ORL: Paolo Banchero (11.1%); ORL: Desmond Bane (10.8%); LAL: LeBron James (10.5%)
2026-03-21,0022501028,San Antonio Spurs,Indiana Pacers,2026-03-22T00:10:00Z,-1172.7288948964842,1172.728894896485,-19.0,19.0,-105,-115,233.0,-102.04585885618634,102.04585885618634,11,oddsapi_consensus,SAS,IND,0.5448788923735801,1.3783432480032105,0.7480042982095327,IND: Jarace Walker (11.3%); SAS: Devin Vassell (11.1%); SAS: Victor Wembanyama (10.8%); SAS: De'Aaron Fox (10.6%); SAS: Stephon Castle (10.4%)
2026-03-21,0022501026,Atlanta Hawks,Golden State Warriors,2026-03-22T00:10:00Z,-375.1960155296979,375.19601552969806,-10.5,10.5,-115,-105,229.5,100.43414083528695,-100.43414083528695,11,oddsapi_consensus,ATL,GSW,0.4551211076264199,1.4353724574273192,0.7619733073070278,ATL: Jalen Johnson (11.7%); GSW: Brandin Podziemski (11.5%); ATL: Nickeil Alexander-Walker (11.5%); GSW: Gui Santos (11.3%); ATL: Dyson Daniels (11.0%)
2026-03-21,0022501027,Houston Rockets,Miami Heat,2026-03-22T00:11:00Z,-118.68272431732092,118.68272431732088,-2.0,2.0,-115,-105,229.5,-100.11572734637194,100.11572734637194,11,oddsapi_consensus,HOU,MIA,0.4850044983805899,1.1825628785839202,0.6935077712022524,HOU: Amen Thompson (12.2%); HOU: Kevin Durant (11.8%); MIA: Bam Adebayo (10.5%); MIA: Pelle Larsson (10.4%); HOU: Reed Sheppard (10.1%)
2026-03-21,0022501029,Dallas Mavericks,Los Angeles Clippers,2026-03-22T00:45:00Z,235.40639817986204,-235.406398179862,7.0,-7.0,-110,-110,233.5,-103.23327118272164,103.23327118272168,11,oddsapi_consensus,DAL,LAC,0.5,1.0275765245763844,0.6421267925958684,LAC: Derrick Jones Jr. (11.0%); DAL: Cooper Flagg (10.9%); LAC: Kawhi Leonard (10.8%); LAC: Bennedict Mathurin (10.7%); DAL: Max Christie (10.3%)
2026-03-21,0022501025,New Orleans Pelicans,Cleveland Cavaliers,2026-03-21T23:10:00Z,170.168166971869,-170.16816697186906,4.5,-4.5,235,-330,236.0,100.1819174094961,-100.1819174094961,11,oddsapi_consensus,NOP,CLE,0.5299640517645717,1.2265400633800765,0.7066943569655637,CLE: James Harden (11.3%); NOP: Trey Murphy III (11.2%); NOP: Saddiq Bey (10.9%); CLE: Donovan Mitchell (10.7%); NOP: Zion Williamson (9.8%)
2026-03-21,0022501022,Washington Wizards,Oklahoma City Thunder,2026-03-21T21:10:00Z,1345.851016983675,-1345.8510169836738,21.0,-21.0,-115,-105,230.0,100.3185727938834,-100.3185727938834,11,oddsapi_consensus,WAS,OKC,0.4850044983805899,1.327196205952867,0.7347801583946896,OKC: Shai Gilgeous-Alexander (11.6%); WAS: Leaky Black (10.7%); WAS: Will Riley (10.1%); WAS: Kadary Richmond (10.1%); OKC: Chet Holmgren (10.1%)
2026-03-21,0022501030,Utah Jazz,Philadelphia 76ers,2026-03-22T01:40:00Z,225.27594591543155,-225.27594591543155,6.0,-6.0,-105,-115,230.5,-100.72957894261975,100.72957894261975,11,oddsapi_consensus,UTA,PHI,,,,
2026-03-21,0022501023,Charlotte Hornets,Memphis Grizzlies,2026-03-21T23:10:00Z,-812.0147158466592,812.0147158466599,-16.5,16.5,-110,-110,235.0,-100.0,-100.0,11,oddsapi_consensus,CHA,MEM,0.4700359482354282,1.4974803157398109,0.7763069133984348,MEM: Lawson Lovering (11.9%); CHA: Kon Knueppel (11.3%); CHA: Brandon Miller (10.8%); MEM: Rayan Rupert (10.7%); CHA: LaMelo Ball (9.9%)
2026-03-21,0022501031,Phoenix Suns,Milwaukee Bucks,2026-03-22T02:11:00Z,-466.1548201801165,466.1548201801163,-11.5,11.5,-110,-110,220.0,100.21226915729144,-100.21226915729144,11,oddsapi_consensus,PHX,MIL,0.5299640517645717,1.2911083095817588,0.7250341331547145,MIL: Ryan Rollins (10.9%); PHX: Amir Coffey (10.8%); PHX: Oso Ighodaro (10.8%); PHX: Dillon Brooks (10.8%); PHX: CJ Huntley (10.8%)
