date,home_team,visitor_team,h1_total,h1_spread,h1_home_spread_price,h1_away_spread_price
2026-05-03,Detroit Pistons,Orlando Magic,104.5,-5.5,-105,-115
2026-05-03,Cleveland Cavaliers,Toronto Raptors,104.5,-4.5,-110,-110
