date,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,model_prob_raw,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team,open_line,open_price,open_implied_prob,line_move,implied_move,sentiment_strength,sentiment_w,sentiment_applied
2026-03-04,1630700.0,Dyson Daniels,ATL,ast,UNDER,4.5,190,0.3448275862068966,0.6042206317758017,0.8367327930115397,0.2593930455689051,0.7522398321498247,bovada,Bovada,2026-03-05T02:40:00Z,Milwaukee Bucks,Atlanta Hawks,6.5,-200,0.6666666666666666,-2.0,-0.32183908045977005,6.697318007662834,0.35,True
2026-03-04,203083.0,Andre Drummond,PHI,ast,OVER,1.5,150,0.4,0.6854375826430269,0.7480751859757845,0.2854375826430269,0.7135939566075672,betmgm,BetMGM,2026-03-05T00:40:00Z,Philadelphia 76ers,Utah Jazz,1.5,150,0.4,0.0,0.0,0.0,0.0,False
2026-03-04,1641717.0,Cason Wallace,OKC,ast,OVER,3.5,142,0.4132231404958678,0.6995733339034471,0.7685474449259843,0.28635019340757933,0.692967468046342,fanduel,FanDuel,2026-03-05T00:10:00Z,New York Knicks,Oklahoma City Thunder,3.5,142,0.4132231404958678,0.0,0.0,0.0,0.0,False
2026-03-04,1641717.0,Cason Wallace,OKC,ast,OVER,3.5,136,0.423728813559322,0.6995733339034471,0.7685474449259843,0.2758445203441251,0.6509930680121353,betonlineag,BetOnline.ag,2026-03-05T00:10:00Z,New York Knicks,Oklahoma City Thunder,3.5,136,0.423728813559322,0.0,0.0,0.0,0.0,False
2026-03-04,1641717.0,Cason Wallace,OKC,ast,OVER,3.5,135,0.425531914893617,0.6995733339034471,0.7685474449259843,0.2740414190098301,0.6439973346731008,betrivers,BetRivers,2026-03-05T00:10:00Z,New York Knicks,Oklahoma City Thunder,3.5,135,0.425531914893617,0.0,0.0,0.0,0.0,False
2026-03-04,1641717.0,Cason Wallace,OKC,ast,OVER,3.5,135,0.425531914893617,0.6995733339034471,0.7685474449259843,0.2740414190098301,0.6439973346731008,bovada,Bovada,2026-03-05T00:10:00Z,New York Knicks,Oklahoma City Thunder,3.5,135,0.425531914893617,0.0,0.0,0.0,0.0,False
2026-03-04,1641717.0,Cason Wallace,OKC,ast,OVER,3.5,134,0.42735042735042733,0.6995733339034471,0.7685474449259843,0.2722229065530198,0.6370016013340664,williamhill_us,Caesars,2026-03-05T00:10:00Z,New York Knicks,Oklahoma City Thunder,3.5,134,0.42735042735042733,0.0,0.0,0.0,0.0,False
2026-03-04,1626162.0,Kelly Oubre Jr,PHI,ast,OVER,2.5,125,0.4444444444444444,0.7238612354218442,0.8059134472619798,0.2794167909773998,0.6286877796991495,betmgm,BetMGM,2026-03-05T00:40:00Z,Philadelphia 76ers,Utah Jazz,2.5,125,0.4444444444444444,0.0,0.0,0.0,0.0,False
2026-03-04,1628404.0,Josh Hart,NYK,ast,UNDER,4.5,115,0.46511627906976744,0.7572943231609746,0.8573489668606418,0.2921780440912071,0.6281827947960952,betonlineag,BetOnline.ag,2026-03-05T00:10:00Z,New York Knicks,Oklahoma City Thunder,4.5,115,0.46511627906976744,0.0,0.0,0.0,0.0,False
2026-03-04,1628404.0,Josh Hart,NYK,ast,UNDER,4.5,115,0.46511627906976744,0.7572943231609746,0.8573489668606418,0.2921780440912071,0.6281827947960952,betmgm,BetMGM,2026-03-05T00:10:00Z,New York Knicks,Oklahoma City Thunder,4.5,115,0.46511627906976744,0.0,0.0,0.0,0.0,False
2026-03-04,1630700.0,Dyson Daniels,ATL,ast,UNDER,5.5,100,0.5,0.8130349309765104,0.9431037481153122,0.31303493097651036,0.6260698619530207,fanduel,FanDuel,2026-03-05T02:40:00Z,Milwaukee Bucks,Atlanta Hawks,5.5,100,0.5,0.0,0.0,0.0,0.0,False
2026-03-04,1630700.0,Dyson Daniels,ATL,ast,UNDER,5.5,100,0.5,0.8130349309765104,0.9431037481153122,0.31303493097651036,0.6260698619530207,fanatics,Fanatics,2026-03-05T02:40:00Z,Milwaukee Bucks,Atlanta Hawks,5.5,100,0.5,0.0,0.0,0.0,0.0,False
2026-03-04,1626162.0,Kelly Oubre Jr,PHI,ast,OVER,2.5,124,0.44642857142857145,0.7238612354218442,0.8059134472619798,0.27743266399327277,0.621449167344931,betonlineag,BetOnline.ag,2026-03-05T00:40:00Z,Philadelphia 76ers,Utah Jazz,2.5,124,0.44642857142857145,0.0,0.0,0.0,0.0,False
2026-03-04,1628404.0,Josh Hart,NYK,ast,UNDER,4.5,114,0.4672897196261682,0.7572943231609746,0.8573489668606418,0.29000460353480634,0.6206098515644854,draftkings,DraftKings,2026-03-05T00:10:00Z,New York Knicks,Oklahoma City Thunder,4.5,114,0.4672897196261682,0.0,0.0,0.0,0.0,False
2026-03-04,1628404.0,Josh Hart,NYK,ast,UNDER,4.5,114,0.4672897196261682,0.7572943231609746,0.8573489668606418,0.29000460353480634,0.6206098515644854,williamhill_us,Caesars,2026-03-05T00:10:00Z,New York Knicks,Oklahoma City Thunder,4.5,114,0.4672897196261682,0.0,0.0,0.0,0.0,False
2026-03-04,1641717.0,Cason Wallace,OKC,ast,OVER,3.5,130,0.43478260869565216,0.6995733339034471,0.7685474449259843,0.26479072520779495,0.6090186679779284,draftkings,DraftKings,2026-03-05T00:10:00Z,New York Knicks,Oklahoma City Thunder,3.5,130,0.43478260869565216,0.0,0.0,0.0,0.0,False
