date,home_tri,away_tri,home_pts,visitor_pts
2026-01-08,CHA,IND,112.0,114.0
2026-01-08,CHI,MIA,,
2026-01-08,MIN,CLE,131.0,122.0
2026-01-08,UTA,DAL,116.0,114.0
