date,game_id,home_team,visitor_team,commence_time,home_tri,away_tri,prob_home_tip,early_threes_expected,early_threes_prob_ge_1
2026-02-27,0000225008,,,,,,0.5,1.2,0.6988057880877978
2026-02-27,0022500848,,,,,,0.5,1.2,0.6988057880877978
2026-02-27,0022500849,,,,,,0.5,1.2,0.6988057880877978
2026-02-27,0022500851,,,,,,0.5,1.2,0.6988057880877978
2026-02-27,0022500852,,,,,,0.5,1.2,0.6988057880877978
2026-02-27,0022500853,,,,,,0.5,1.2,0.6988057880877978
2026-02-27,0022500854,,,,,,0.5,1.2,0.6988057880877978
2026-02-27,0022500855,,,,,,0.5,1.2,0.6988057880877978
2026-02-27,0022500856,,,,,,0.5,1.2,0.6988057880877978
2026-02-27,0022500857,,,,,,0.5,1.2,0.6988057880877978
