date,commence_time,home_team,visitor_team,home_ml,away_ml,home_spread,away_spread,home_spread_price,away_spread_price,total,total_over_price,total_under_price,books_count,books_h2h,books_spreads,books_totals,bookmaker
2026-01-07,2026-01-08T02:40:00Z,San Antonio Spurs,Los Angeles Lakers,-284.90909090909093,230.54545454545453,-8.0,8.0,-110.57142857142857,,236.5,-109.28571428571429,-109.85714285714286,11,11,7,7,oddsapi_consensus
2026-01-07,2026-01-08T00:10:00Z,Boston Celtics,Denver Nuggets,-382.8181818181818,299.09090909090907,-9.5,9.5,-108.4,,232.5,-111.42857142857143,-107.85714285714286,11,11,10,7,oddsapi_consensus
2026-01-07,2026-01-08T00:40:00Z,Atlanta Hawks,New Orleans Pelicans,-472.27272727272725,359.27272727272725,-10.5,10.5,-110.45454545454545,,246.5,-110.875,-108.375,11,11,11,8,oddsapi_consensus
2026-01-07,2026-01-08T01:10:00Z,Memphis Grizzlies,Phoenix Suns,160.27272727272728,-191.0909090909091,4.5,-4.5,-110.9090909090909,,232.0,-108.6,-110.2,11,11,11,5,oddsapi_consensus
2026-01-07,2026-01-08T01:10:00Z,Oklahoma City Thunder,Utah Jazz,-1162.6363636363637,706.5454545454545,-17.5,17.5,-109.55555555555556,,240.5,-109.66666666666667,-110.33333333333333,11,11,9,6,oddsapi_consensus
2026-01-07,2026-01-08T00:40:00Z,New York Knicks,Los Angeles Clippers,-199.8181818181818,166.63636363636363,-5.0,5.0,-111.25,,221.5,-111.11111111111111,-108.33333333333333,11,11,4,9,oddsapi_consensus
2026-01-07,2026-01-08T00:10:00Z,Detroit Pistons,Chicago Bulls,-495.72727272727275,374.0,-11.5,11.5,-103.0,,231.5,-109.22222222222223,-110.11111111111111,11,11,5,9,oddsapi_consensus
2026-01-07,2026-01-08T03:10:00Z,Portland Trail Blazers,Houston Rockets,215.54545454545453,-264.90909090909093,6.5,-6.5,-109.1,,222.5,-109.0,-110.33333333333333,11,11,10,9,oddsapi_consensus
2026-01-07,2026-01-08T00:40:00Z,Brooklyn Nets,Orlando Magic,106.54545454545455,-127.18181818181819,2.0,-2.0,-109.0,,222.5,-110.4,-109.6,11,11,7,5,oddsapi_consensus
2026-01-07,2026-01-08T00:10:00Z,Philadelphia 76ers,Washington Wizards,-657.4545454545455,468.8181818181818,-13.5,13.5,-112.71428571428571,,233.5,-109.75,-108.75,11,11,7,4,oddsapi_consensus
2026-01-07,2026-01-08T00:10:00Z,Charlotte Hornets,Toronto Raptors,105.36363636363636,-125.63636363636364,1.5,-1.5,-109.875,,230.5,-111.25,-108.75,11,11,8,4,oddsapi_consensus
2026-01-07,2026-01-08T03:10:00Z,Golden State Warriors,Milwaukee Bucks,-235.1818181818182,192.45454545454547,-6.0,6.0,-110.14285714285714,,230.5,-109.0,-109.8,11,11,7,5,oddsapi_consensus
