date,home_team,visitor_team,home_tri,away_tri,home_pts,visitor_pts,pred_margin,pred_total,actual_margin,total_actual,margin_error,total_error
2026-01-07,Charlotte Hornets,Toronto Raptors,CHA,TOR,96,97,,,-1,193,,
2026-01-07,Detroit Pistons,Chicago Bulls,DET,CHI,108,93,,,15,201,,
2026-01-07,Philadelphia 76ers,Washington Wizards,PHI,WAS,131,110,,,21,241,,
2026-01-07,Boston Celtics,Denver Nuggets,BOS,DEN,110,114,,,-4,224,,
2026-01-07,Atlanta Hawks,New Orleans Pelicans,ATL,NOP,117,100,,,17,217,,
2026-01-07,Brooklyn Nets,Orlando Magic,BKN,ORL,103,104,,,-1,207,,
2026-01-07,New York Knicks,Los Angeles Clippers,NYK,LAC,123,111,,,12,234,,
2026-01-07,Memphis Grizzlies,Phoenix Suns,MEM,PHX,98,117,,,-19,215,,
2026-01-07,Oklahoma City Thunder,Utah Jazz,OKC,UTA,129,125,,,4,254,,
2026-01-07,San Antonio Spurs,Los Angeles Lakers,SAS,LAL,107,91,,,16,198,,
2026-01-07,Golden State Warriors,Milwaukee Bucks,GSW,MIL,120,113,,,7,233,,
2026-01-07,Portland Trail Blazers,Houston Rockets,POR,HOU,103,102,,,1,205,,
