market,side,home,away,date,ev,price,implied_prob,edge,line,pred_margin,market_home_margin,pred_total,tier
ML,Dallas Mavericks,Denver Nuggets,Dallas Mavericks,2025-12-01,0.3648347813464874,409.09090909090907,0.19642857142857145,,,,,,High
ATS,Dallas Mavericks,Denver Nuggets,Dallas Mavericks,2025-12-01,,,,-3.278352737426758,11.5,8.221647262573242,11.5,,High
TOTAL,Under,Denver Nuggets,Dallas Mavericks,2025-12-01,,,,-8.841659545898409,235.5,,,226.6583404541016,High
ML,Indiana Pacers,Indiana Pacers,Cleveland Cavaliers,2025-12-01,3.1836157841153354,570.625,0.14911463187325255,,,,,,High
ATS,Indiana Pacers,Indiana Pacers,Cleveland Cavaliers,2025-12-01,,,,15.931996583938599,14.5,1.4319965839385986,-14.5,,High
TOTAL,Under,Indiana Pacers,Cleveland Cavaliers,2025-12-01,,,,-8.425369262695312,238.5,,,230.0746307373047,High
ML,Los Angeles Lakers,Los Angeles Lakers,Phoenix Suns,2025-12-01,0.03924343688337106,-206.1818181818182,0.6733966745843231,,,,,,Medium
ATS,Los Angeles Lakers,Los Angeles Lakers,Phoenix Suns,2025-12-01,,,,1.1185855865478516,-5.0,6.118585586547852,5.0,,Low
TOTAL,Under,Los Angeles Lakers,Phoenix Suns,2025-12-01,,,,-11.372650146484403,235.0,,,223.6273498535156,High
ATS,Milwaukee Bucks,Washington Wizards,Milwaukee Bucks,2025-12-01,,,,-1.7082262039184553,-10.5,-12.208226203918455,-10.5,,Medium
TOTAL,Under,Washington Wizards,Milwaukee Bucks,2025-12-01,,,,-3.1373596191406534,230.5,,,227.36264038085935,Medium
ML,Atlanta Hawks,Detroit Pistons,Atlanta Hawks,2025-12-01,0.3067534600737848,258.75,0.2787456445993031,,,,,,High
ATS,Atlanta Hawks,Detroit Pistons,Atlanta Hawks,2025-12-01,,,,-5.349372148513794,7.5,2.150627851486206,7.5,,High
TOTAL,Over,Detroit Pistons,Atlanta Hawks,2025-12-01,,,,16.82159423828125,219.0,,,235.82159423828125,High
ML,Brooklyn Nets,Brooklyn Nets,Charlotte Hornets,2025-12-01,0.786198012948262,169.9090909090909,0.37049511620074105,,,,,,High
ATS,Brooklyn Nets,Brooklyn Nets,Charlotte Hornets,2025-12-01,,,,9.23655915260315,5.5,3.736559152603149,-5.5,,High
TOTAL,Under,Brooklyn Nets,Charlotte Hornets,2025-12-01,,,,-5.328582763671932,228.5,,,223.17141723632807,High
ML,Utah Jazz,Utah Jazz,Houston Rockets,2025-12-01,0.5162371609530001,430.0,0.18867924528301888,,,,,,High
ATS,Utah Jazz,Utah Jazz,Houston Rockets,2025-12-01,,,,4.470608711242676,11.5,-7.029391288757324,-11.5,,High
TOTAL,Over,Utah Jazz,Houston Rockets,2025-12-01,,,,2.34112548828125,234.0,,,236.34112548828125,Medium
ML,Los Angeles Clippers,Miami Heat,Los Angeles Clippers,2025-12-01,1.3452237393316882,248.1818181818182,0.28720626631853785,,,,,,High
ATS,Los Angeles Clippers,Miami Heat,Los Angeles Clippers,2025-12-01,,,,-13.96457290649414,9.5,-4.464572906494141,9.5,,High
TOTAL,Under,Miami Heat,Los Angeles Clippers,2025-12-01,,,,-3.3975982666015625,235.5,,,232.10240173339844,Medium
ML,Chicago Bulls,Orlando Magic,Chicago Bulls,2025-12-01,0.5696345308170007,316.45454545454544,0.24012224405151714,,,,,,High
ATS,Chicago Bulls,Orlando Magic,Chicago Bulls,2025-12-01,,,,-8.112706899642944,9.5,1.3872931003570557,9.5,,High
TOTAL,Under,Orlando Magic,Chicago Bulls,2025-12-01,,,,-14.417190551757812,239.5,,,225.0828094482422,High
