date,bets_total,bets_graded,wins,losses,pushes,profit,hit_rate,roi_per_bet
2026-01-22,1,1,0,1,0,-1.0,0.0,-1.0
2026-01-23,1,1,0,1,0,-1.0,0.0,-1.0
