market,side,home,away,date,ev,price,implied_prob,edge,line,pred_margin,market_home_margin,pred_total,tier
ATS,Sacramento Kings,Atlanta Hawks,Sacramento Kings,2026-03-28,0.2402159539806581,-115.0,0.5348837209302325,-5.06018059736442,15.0,9.93981940263558,15.0,,High
TOTAL,Under,Atlanta Hawks,Sacramento Kings,2026-03-28,0.3575801743827235,101.30438960706569,0.4967601560760504,-7.233165167120291,236.5,,,229.2668348328797,High
ATS,Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,2026-03-28,-0.023877996481438624,-110.0,0.5238095238095238,-0.34000449562440416,6.0,5.659995504375596,6.0,,Low
TOTAL,Under,Charlotte Hornets,Philadelphia 76ers,2026-03-28,0.2699001619024701,-101.63817161457597,0.5040621564891673,-5.739986066229477,233.5,,,227.76001393377052,High
ATS,Memphis Grizzlies,Memphis Grizzlies,Chicago Bulls,2026-03-28,0.20281592098087875,-110.0,0.5238095238095238,3.983715990575766,4.0,-0.016284009424234,-4.0,,High
TOTAL,Under,Memphis Grizzlies,Chicago Bulls,2026-03-28,0.8504890540534177,-101.5721211128138,0.5038996491780079,-23.909951147285994,245.5,,,221.590048852714,High
ATS,Milwaukee Bucks,Milwaukee Bucks,San Antonio Spurs,2026-03-28,0.7621087904213382,-110.0,0.5238095238095238,17.107306742840752,18.5,-1.3926932571592476,-18.5,,High
TOTAL,Over,Milwaukee Bucks,San Antonio Spurs,2026-03-28,0.07234010411497371,-100.50673471845528,0.5012636351571104,1.507209712612564,226.0,,,227.50720971261256,Low
ATS,Utah Jazz,Phoenix Suns,Utah Jazz,2026-03-28,0.5805011490016431,-110.0,0.5238095238095238,-11.349922596255288,16.5,5.150077403744712,16.5,,High
TOTAL,Under,Phoenix Suns,Utah Jazz,2026-03-28,0.019974196746825212,102.49743616278832,0.49383341288138427,-0.1482877796807145,230.0,,,229.85171222031929,Low
