player,team,plays,ladders,_plays_list,top_play,top_play_explain,top_play_baseline,top_play_reasons,top_play_consensus,top_play_line_adv
A.J. Green,MIL,"[{'market': 'pa', 'side': 'OVER', 'line': 12.5, 'price': -106.0, 'edge': 0.2489481171140151, 'ev': 0.4838048313725199, 'ev_pct': 48.38048313725199, 'book': 'fanduel'}, {'market': 'pa', 'side': 'OVER', 'line': 12.5, 'price': -106.0, 'edge': 0.2489481171140151, 'ev': 0.4838048313725199, 'ev_pct': 48.38048313725199, 'book': 'draftkings'}, {'market': 'pa', 'side': 'OVER', 'line': 12.5, 'price': -110.0, 'edge': 0.2397017001006077, 'ev': 0.4576123365557057, 'ev_pct': 45.76123365557057, 'book': 'betmgm'}, {'market': 'pra', 'side': 'OVER', 'line': 15.5, 'price': 100.0, 'edge': 0.2605026273061276, 'ev': 0.5210052546122552, 'ev_pct': 52.10052546122552, 'book': 'fanduel'}, {'market': 'ra', 'side': 'OVER', 'line': 4.5, 'price': -110.0, 'edge': 0.2646380520996938, 'ev': 0.5052180994630519, 'ev_pct': 50.52180994630518, 'book': 'betmgm'}, {'market': 'ra', 'side': 'OVER', 'line': 4.5, 'price': -114.0, 'edge': 0.2557372955353859, 'ev': 0.4800682565313383, 'ev_pct': 48.00682565313383, 'book': 'draftkings'}]",[],"[{'market': 'pa', 'side': 'OVER', 'line': 12.5, 'price': -106.0, 'edge': 0.2489481171140151, 'ev': 0.4838048313725199, 'ev_pct': 48.38048313725199, 'book': 'fanduel'}, {'market': 'pa', 'side': 'OVER', 'line': 12.5, 'price': -106.0, 'edge': 0.2489481171140151, 'ev': 0.4838048313725199, 'ev_pct': 48.38048313725199, 'book': 'draftkings'}, {'market': 'pa', 'side': 'OVER', 'line': 12.5, 'price': -110.0, 'edge': 0.2397017001006077, 'ev': 0.4576123365557057, 'ev_pct': 45.76123365557057, 'book': 'betmgm'}, {'market': 'pra', 'side': 'OVER', 'line': 15.5, 'price': 100.0, 'edge': 0.2605026273061276, 'ev': 0.5210052546122552, 'ev_pct': 52.10052546122552, 'book': 'fanduel'}, {'market': 'ra', 'side': 'OVER', 'line': 4.5, 'price': -110.0, 'edge': 0.2646380520996938, 'ev': 0.5052180994630519, 'ev_pct': 50.52180994630518, 'book': 'betmgm'}, {'market': 'ra', 'side': 'OVER', 'line': 4.5, 'price': -114.0, 'edge': 0.2557372955353859, 'ev': 0.4800682565313383, 'ev_pct': 48.00682565313383, 'book': 'draftkings'}]","{'market': 'ra', 'side': 'OVER', 'line': 4.5, 'price': -110.0, 'ev': 0.5052180994630519, 'ev_pct': 50.52180994630518, 'book': 'betmgm'}",,,"['EV 50.5%', 'Friendly price (~-110)', 'Regular price range (-150 to +150)', 'Best line available']",0.25,1.0
Andre Drummond,PHI,"[{'market': 'reb', 'side': 'UNDER', 'line': 9.5, 'price': -114.0, 'edge': 0.2607086661071128, 'ev': 0.4894004784817731, 'ev_pct': 48.94004784817731, 'book': 'betrivers'}, {'market': 'reb', 'side': 'UNDER', 'line': 9.5, 'price': -116.0, 'edge': 0.2563819094439075, 'ev': 0.4774007968955519, 'ev_pct': 47.740079689555195, 'book': 'draftkings'}]",[],"[{'market': 'reb', 'side': 'UNDER', 'line': 9.5, 'price': -114.0, 'edge': 0.2607086661071128, 'ev': 0.4894004784817731, 'ev_pct': 48.94004784817731, 'book': 'betrivers'}, {'market': 'reb', 'side': 'UNDER', 'line': 9.5, 'price': -116.0, 'edge': 0.2563819094439075, 'ev': 0.4774007968955519, 'ev_pct': 47.740079689555195, 'book': 'draftkings'}]","{'market': 'reb', 'side': 'UNDER', 'line': 9.5, 'price': -114.0, 'ev': 0.4894004784817731, 'ev_pct': 48.94004784817731, 'book': 'betrivers'}",model 7.7 vs line 9.5 (-1.8),7.660393714904785,"['EV 48.9%', 'Friendly price (~-110)', 'Regular price range (-150 to +150)', 'Best line available']",0.25,1.0
Andrew Nembhard,IND,"[{'market': 'reb', 'side': 'UNDER', 'line': 2.5, 'price': -112.0, 'edge': 0.2630903590780032, 'ev': 0.4979924653976491, 'ev_pct': 49.79924653976491, 'book': 'betrivers'}, {'market': 'reb', 'side': 'UNDER', 'line': 2.5, 'price': -114.0, 'edge': 0.2586819654966243, 'ev': 0.4855959703182245, 'ev_pct': 48.55959703182245, 'book': 'fanduel'}]",[],"[{'market': 'reb', 'side': 'UNDER', 'line': 2.5, 'price': -112.0, 'edge': 0.2630903590780032, 'ev': 0.4979924653976491, 'ev_pct': 49.79924653976491, 'book': 'betrivers'}, {'market': 'reb', 'side': 'UNDER', 'line': 2.5, 'price': -114.0, 'edge': 0.2586819654966243, 'ev': 0.4855959703182245, 'ev_pct': 48.55959703182245, 'book': 'fanduel'}]","{'market': 'reb', 'side': 'UNDER', 'line': 2.5, 'price': -112.0, 'ev': 0.4979924653976491, 'ev_pct': 49.79924653976491, 'book': 'betrivers'}",model 3.0 vs line 2.5 (+0.5),3.006251335144043,"['EV 49.8%', 'Friendly price (~-110)', 'Regular price range (-150 to +150)', 'Best line available']",0.25,1.0
Anthony Black,ORL,"[{'market': 'pa', 'side': 'OVER', 'line': 17.5, 'price': 105.0, 'edge': 0.3006573344278446, 'ev': 0.6163475355770814, 'ev_pct': 61.634753557708144, 'book': 'bovada'}, {'market': 'pa', 'side': 'OVER', 'line': 17.5, 'price': -110.0, 'edge': 0.2646526886671012, 'ev': 0.5052460420008297, 'ev_pct': 50.52460420008297, 'book': 'betmgm'}, {'market': 'pa', 'side': 'OVER', 'line': 16.5, 'price': -117.0, 'edge': 0.26158449367783, 'ev': 0.4851609840007616, 'ev_pct': 48.51609840007616, 'book': 'draftkings'}, {'market': 'pa', 'side': 'OVER', 'line': 16.5, 'price': -120.0, 'edge': 0.2553004551357269, 'ev': 0.4680508344154994, 'ev_pct': 46.80508344154994, 'book': 'bovada'}, {'market': 'pa', 'side': 'OVER', 'line': 16.5, 'price': -130.0, 'edge': 0.2355376092859246, 'ev': 0.4167203856597127, 'ev_pct': 41.67203856597127, 'book': 'fanduel'}, {'market': 'pa', 'side': 'OVER', 'line': 15.5, 'price': -150.0, 'edge': 0.2108382111820269, 'ev': 0.3513970186367114, 'ev_pct': 35.13970186367114, 'book': 'bovada'}, {'market': 'pr', 'side': 'OVER', 'line': 17.5, 'price': 100.0, 'edge': 0.2926418814915196, 'ev': 0.5852837629830392, 'ev_pct': 58.52837629830392, 'book': 'bovada'}, {'market': 'pr', 'side': 'OVER', 'line': 17.5, 'price': -102.0, 'edge': 0.2876913864420146, 'ev': 0.5697417653067348, 'ev_pct': 56.97417653067348, 'book': 'fanduel'}, {'market': 'pr', 'side': 'OVER', 'line': 17.5, 'price': -110.0, 'edge': 0.2688323576819957, 'ev': 0.5132254101201738, 'ev_pct': 51.322541012017375, 'book': 'betmgm'}, {'market': 'pr', 'side': 'OVER', 'line': 16.5, 'price': -125.0, 'edge': 0.2459596053403673, 'ev': 0.4427272896126613, 'ev_pct': 44.272728961266125, 'book': 'bovada'}, {'market': 'pr', 'side': 'OVER', 'line': 16.5, 'price': -129.0, 'edge': 0.2381963836033465, 'ev': 0.4228447429857856, 'ev_pct': 42.28447429857856, 'book': 'draftkings'}, {'market': 'pra', 'side': 'OVER', 'line': 21.5, 'price': 110.0, 'edge': 0.3009553180742472, 'ev': 0.6320061679559192, 'ev_pct': 63.20061679559193, 'book': 'bovada'}, {'market': 'pra', 'side': 'OVER', 'line': 20.5, 'price': -110.0, 'edge': 0.2640908145036094, 'ev': 0.5041733731432543, 'ev_pct': 50.41733731432543, 'book': 'draftkings'}, {'market': 'pra', 'side': 'OVER', 'line': 20.5, 'price': -110.0, 'edge': 0.2640908145036094, 'ev': 0.5041733731432543, 'ev_pct': 50.41733731432543, 'book': 'bovada'}, {'market': 'pts', 'side': 'OVER', 'line': 14.5, 'price': 120.0, 'edge': 0.3136344524041906, 'ev': 0.6899957952892192, 'ev_pct': 68.99957952892191, 'book': 'bovada'}, {'market': 'ra', 'side': 'OVER', 'line': 7.5, 'price': 120.0, 'edge': 0.2559470457597947, 'ev': 0.5630835006715483, 'ev_pct': 56.308350067154834, 'book': 'bovada'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 106.0, 'edge': 0.2098415728064961, 'ev': 0.4322736399813821, 'ev_pct': 43.22736399813821, 'book': 'draftkings'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 105.0, 'edge': 0.2074735879615992, 'ev': 0.4253208553212784, 'ev_pct': 42.53208553212784, 'book': 'bovada'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 100.0, 'edge': 0.1952784660103796, 'ev': 0.3905569320207593, 'ev_pct': 39.05569320207593, 'book': 'fanduel'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': -102.0, 'edge': 0.1903279709608747, 'ev': 0.3769240209225166, 'ev_pct': 37.69240209225166, 'book': 'williamhill_us'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': -120.0, 'edge': 0.1498239205558342, 'ev': 0.2746771876856961, 'ev_pct': 27.46771876856961, 'book': 'betmgm'}]",[],"[{'market': 'pa', 'side': 'OVER', 'line': 17.5, 'price': 105.0, 'edge': 0.3006573344278446, 'ev': 0.6163475355770814, 'ev_pct': 61.634753557708144, 'book': 'bovada'}, {'market': 'pa', 'side': 'OVER', 'line': 17.5, 'price': -110.0, 'edge': 0.2646526886671012, 'ev': 0.5052460420008297, 'ev_pct': 50.52460420008297, 'book': 'betmgm'}, {'market': 'pa', 'side': 'OVER', 'line': 16.5, 'price': -117.0, 'edge': 0.26158449367783, 'ev': 0.4851609840007616, 'ev_pct': 48.51609840007616, 'book': 'draftkings'}, {'market': 'pa', 'side': 'OVER', 'line': 16.5, 'price': -120.0, 'edge': 0.2553004551357269, 'ev': 0.4680508344154994, 'ev_pct': 46.80508344154994, 'book': 'bovada'}, {'market': 'pa', 'side': 'OVER', 'line': 16.5, 'price': -130.0, 'edge': 0.2355376092859246, 'ev': 0.4167203856597127, 'ev_pct': 41.67203856597127, 'book': 'fanduel'}, {'market': 'pa', 'side': 'OVER', 'line': 15.5, 'price': -150.0, 'edge': 0.2108382111820269, 'ev': 0.3513970186367114, 'ev_pct': 35.13970186367114, 'book': 'bovada'}, {'market': 'pr', 'side': 'OVER', 'line': 17.5, 'price': 100.0, 'edge': 0.2926418814915196, 'ev': 0.5852837629830392, 'ev_pct': 58.52837629830392, 'book': 'bovada'}, {'market': 'pr', 'side': 'OVER', 'line': 17.5, 'price': -102.0, 'edge': 0.2876913864420146, 'ev': 0.5697417653067348, 'ev_pct': 56.97417653067348, 'book': 'fanduel'}, {'market': 'pr', 'side': 'OVER', 'line': 17.5, 'price': -110.0, 'edge': 0.2688323576819957, 'ev': 0.5132254101201738, 'ev_pct': 51.322541012017375, 'book': 'betmgm'}, {'market': 'pr', 'side': 'OVER', 'line': 16.5, 'price': -125.0, 'edge': 0.2459596053403673, 'ev': 0.4427272896126613, 'ev_pct': 44.272728961266125, 'book': 'bovada'}, {'market': 'pr', 'side': 'OVER', 'line': 16.5, 'price': -129.0, 'edge': 0.2381963836033465, 'ev': 0.4228447429857856, 'ev_pct': 42.28447429857856, 'book': 'draftkings'}, {'market': 'pra', 'side': 'OVER', 'line': 21.5, 'price': 110.0, 'edge': 0.3009553180742472, 'ev': 0.6320061679559192, 'ev_pct': 63.20061679559193, 'book': 'bovada'}, {'market': 'pra', 'side': 'OVER', 'line': 20.5, 'price': -110.0, 'edge': 0.2640908145036094, 'ev': 0.5041733731432543, 'ev_pct': 50.41733731432543, 'book': 'draftkings'}, {'market': 'pra', 'side': 'OVER', 'line': 20.5, 'price': -110.0, 'edge': 0.2640908145036094, 'ev': 0.5041733731432543, 'ev_pct': 50.41733731432543, 'book': 'bovada'}, {'market': 'pts', 'side': 'OVER', 'line': 14.5, 'price': 120.0, 'edge': 0.3136344524041906, 'ev': 0.6899957952892192, 'ev_pct': 68.99957952892191, 'book': 'bovada'}, {'market': 'ra', 'side': 'OVER', 'line': 7.5, 'price': 120.0, 'edge': 0.2559470457597947, 'ev': 0.5630835006715483, 'ev_pct': 56.308350067154834, 'book': 'bovada'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 106.0, 'edge': 0.2098415728064961, 'ev': 0.4322736399813821, 'ev_pct': 43.22736399813821, 'book': 'draftkings'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 105.0, 'edge': 0.2074735879615992, 'ev': 0.4253208553212784, 'ev_pct': 42.53208553212784, 'book': 'bovada'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 100.0, 'edge': 0.1952784660103796, 'ev': 0.3905569320207593, 'ev_pct': 39.05569320207593, 'book': 'fanduel'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': -102.0, 'edge': 0.1903279709608747, 'ev': 0.3769240209225166, 'ev_pct': 37.69240209225166, 'book': 'williamhill_us'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': -120.0, 'edge': 0.1498239205558342, 'ev': 0.2746771876856961, 'ev_pct': 27.46771876856961, 'book': 'betmgm'}]","{'market': 'ra', 'side': 'OVER', 'line': 7.5, 'price': 120.0, 'ev': 0.5630835006715483, 'ev_pct': 56.308350067154834, 'book': 'bovada'}",,,"['EV 56.3%', 'Regular price range (-150 to +150)', 'Best line available']",0.0,1.0
Anthony Edwards,MIN,[],[],[],,,,[],0.0,0.0
Austin Reaves,LAL,"[{'market': 'pa', 'side': 'UNDER', 'line': 24.5, 'price': 110.0, 'edge': 0.3264032257698654, 'ev': 0.6854467741167175, 'ev_pct': 68.54467741167176, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 25.5, 'price': -110.0, 'edge': 0.2920251639092152, 'ev': 0.5575025856448653, 'ev_pct': 55.75025856448653, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 25.5, 'price': -111.0, 'edge': 0.2897683370078385, 'ev': 0.5508208928707562, 'ev_pct': 55.08208928707562, 'book': 'draftkings'}, {'market': 'pa', 'side': 'UNDER', 'line': 25.5, 'price': -112.0, 'edge': 0.2875328009262862, 'ev': 0.5442585160390417, 'ev_pct': 54.42585160390417, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 25.5, 'price': -120.0, 'edge': 0.2703801422641936, 'ev': 0.4956969274843549, 'ev_pct': 49.56969274843549, 'book': 'betmgm'}, {'market': 'pa', 'side': 'UNDER', 'line': 26.5, 'price': -130.0, 'edge': 0.2602293232247837, 'ev': 0.4604057257053866, 'ev_pct': 46.040572570538664, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 24.5, 'price': 105.0, 'edge': 0.3010250785060665, 'ev': 0.6171014109374364, 'ev_pct': 61.710141093743644, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 25.5, 'price': -114.0, 'edge': 0.269263727086742, 'ev': 0.5054599789172174, 'ev_pct': 50.54599789172174, 'book': 'fanduel'}, {'market': 'pr', 'side': 'UNDER', 'line': 25.5, 'price': -115.0, 'edge': 0.2670902865303413, 'ev': 0.4993427096002031, 'ev_pct': 49.934270960020314, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 25.5, 'price': -115.0, 'edge': 0.2670902865303413, 'ev': 0.4993427096002031, 'ev_pct': 49.934270960020314, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 25.5, 'price': -118.0, 'edge': 0.260689603790849, 'ev': 0.4816129968339414, 'ev_pct': 48.16129968339414, 'book': 'betmgm'}, {'market': 'pr', 'side': 'UNDER', 'line': 26.5, 'price': -135.0, 'edge': 0.2368123344498305, 'ev': 0.412228878486742, 'ev_pct': 41.2228878486742, 'book': 'bovada'}, {'market': 'pra', 'side': 'UNDER', 'line': 28.5, 'price': 120.0, 'edge': 0.3296828666312577, 'ev': 0.7253023065887669, 'ev_pct': 72.53023065887669, 'book': 'bovada'}, {'market': 'pra', 'side': 'UNDER', 'line': 29.5, 'price': 114.0, 'edge': 0.33059971960579, 'ev': 0.7074833999563905, 'ev_pct': 70.74833999563906, 'book': 'betrivers'}, {'market': 'pra', 'side': 'UNDER', 'line': 29.5, 'price': 100.0, 'edge': 0.2978894392319582, 'ev': 0.5957788784639164, 'ev_pct': 59.57788784639164, 'book': 'bovada'}, {'market': 'pra', 'side': 'UNDER', 'line': 30.5, 'price': -110.0, 'edge': 0.2847779857302905, 'ev': 0.5436670636669184, 'ev_pct': 54.366706366691844, 'book': 'betrivers'}, {'market': 'pra', 'side': 'UNDER', 'line': 29.5, 'price': -110.0, 'edge': 0.2740799154224344, 'ev': 0.5232434748973748, 'ev_pct': 52.32434748973748, 'book': 'betmgm'}, {'market': 'pts', 'side': 'UNDER', 'line': 19.5, 'price': 120.0, 'edge': 0.3132553093768374, 'ev': 0.6891616806290422, 'ev_pct': 68.91616806290422, 'book': 'bovada'}, {'market': 'pts', 'side': 'UNDER', 'line': 20.5, 'price': 108.0, 'edge': 0.3111383818770504, 'ev': 0.6471678343042649, 'ev_pct': 64.71678343042649, 'book': 'betrivers'}, {'market': 'pts', 'side': 'UNDER', 'line': 20.5, 'price': -102.0, 'edge': 0.2869571175967762, 'ev': 0.5682876250445961, 'ev_pct': 56.828762504459604, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 110.0, 'edge': 0.2461685660769159, 'ev': 0.5169539887615235, 'ev_pct': 51.69539887615235, 'book': 'betmgm'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 108.0, 'edge': 0.2415898114981613, 'ev': 0.5025068079161756, 'ev_pct': 50.25068079161756, 'book': 'fanduel'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 108.0, 'edge': 0.2415898114981613, 'ev': 0.5025068079161756, 'ev_pct': 50.25068079161756, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 105.0, 'edge': 0.2345541642186116, 'ev': 0.4808360366481539, 'ev_pct': 48.083603664815385, 'book': 'bovada'}, {'market': 'threes', 'side': 'UNDER', 'line': 2.5, 'price': -143.0, 'edge': 0.1636496241811471, 'ev': 0.2780899208113199, 'ev_pct': 27.80899208113199, 'book': 'betrivers'}]",[],"[{'market': 'pa', 'side': 'UNDER', 'line': 24.5, 'price': 110.0, 'edge': 0.3264032257698654, 'ev': 0.6854467741167175, 'ev_pct': 68.54467741167176, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 25.5, 'price': -110.0, 'edge': 0.2920251639092152, 'ev': 0.5575025856448653, 'ev_pct': 55.75025856448653, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 25.5, 'price': -111.0, 'edge': 0.2897683370078385, 'ev': 0.5508208928707562, 'ev_pct': 55.08208928707562, 'book': 'draftkings'}, {'market': 'pa', 'side': 'UNDER', 'line': 25.5, 'price': -112.0, 'edge': 0.2875328009262862, 'ev': 0.5442585160390417, 'ev_pct': 54.42585160390417, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 25.5, 'price': -120.0, 'edge': 0.2703801422641936, 'ev': 0.4956969274843549, 'ev_pct': 49.56969274843549, 'book': 'betmgm'}, {'market': 'pa', 'side': 'UNDER', 'line': 26.5, 'price': -130.0, 'edge': 0.2602293232247837, 'ev': 0.4604057257053866, 'ev_pct': 46.040572570538664, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 24.5, 'price': 105.0, 'edge': 0.3010250785060665, 'ev': 0.6171014109374364, 'ev_pct': 61.710141093743644, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 25.5, 'price': -114.0, 'edge': 0.269263727086742, 'ev': 0.5054599789172174, 'ev_pct': 50.54599789172174, 'book': 'fanduel'}, {'market': 'pr', 'side': 'UNDER', 'line': 25.5, 'price': -115.0, 'edge': 0.2670902865303413, 'ev': 0.4993427096002031, 'ev_pct': 49.934270960020314, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 25.5, 'price': -115.0, 'edge': 0.2670902865303413, 'ev': 0.4993427096002031, 'ev_pct': 49.934270960020314, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 25.5, 'price': -118.0, 'edge': 0.260689603790849, 'ev': 0.4816129968339414, 'ev_pct': 48.16129968339414, 'book': 'betmgm'}, {'market': 'pr', 'side': 'UNDER', 'line': 26.5, 'price': -135.0, 'edge': 0.2368123344498305, 'ev': 0.412228878486742, 'ev_pct': 41.2228878486742, 'book': 'bovada'}, {'market': 'pra', 'side': 'UNDER', 'line': 28.5, 'price': 120.0, 'edge': 0.3296828666312577, 'ev': 0.7253023065887669, 'ev_pct': 72.53023065887669, 'book': 'bovada'}, {'market': 'pra', 'side': 'UNDER', 'line': 29.5, 'price': 114.0, 'edge': 0.33059971960579, 'ev': 0.7074833999563905, 'ev_pct': 70.74833999563906, 'book': 'betrivers'}, {'market': 'pra', 'side': 'UNDER', 'line': 29.5, 'price': 100.0, 'edge': 0.2978894392319582, 'ev': 0.5957788784639164, 'ev_pct': 59.57788784639164, 'book': 'bovada'}, {'market': 'pra', 'side': 'UNDER', 'line': 30.5, 'price': -110.0, 'edge': 0.2847779857302905, 'ev': 0.5436670636669184, 'ev_pct': 54.366706366691844, 'book': 'betrivers'}, {'market': 'pra', 'side': 'UNDER', 'line': 29.5, 'price': -110.0, 'edge': 0.2740799154224344, 'ev': 0.5232434748973748, 'ev_pct': 52.32434748973748, 'book': 'betmgm'}, {'market': 'pts', 'side': 'UNDER', 'line': 19.5, 'price': 120.0, 'edge': 0.3132553093768374, 'ev': 0.6891616806290422, 'ev_pct': 68.91616806290422, 'book': 'bovada'}, {'market': 'pts', 'side': 'UNDER', 'line': 20.5, 'price': 108.0, 'edge': 0.3111383818770504, 'ev': 0.6471678343042649, 'ev_pct': 64.71678343042649, 'book': 'betrivers'}, {'market': 'pts', 'side': 'UNDER', 'line': 20.5, 'price': -102.0, 'edge': 0.2869571175967762, 'ev': 0.5682876250445961, 'ev_pct': 56.828762504459604, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 110.0, 'edge': 0.2461685660769159, 'ev': 0.5169539887615235, 'ev_pct': 51.69539887615235, 'book': 'betmgm'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 108.0, 'edge': 0.2415898114981613, 'ev': 0.5025068079161756, 'ev_pct': 50.25068079161756, 'book': 'fanduel'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 108.0, 'edge': 0.2415898114981613, 'ev': 0.5025068079161756, 'ev_pct': 50.25068079161756, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 105.0, 'edge': 0.2345541642186116, 'ev': 0.4808360366481539, 'ev_pct': 48.083603664815385, 'book': 'bovada'}, {'market': 'threes', 'side': 'UNDER', 'line': 2.5, 'price': -143.0, 'edge': 0.1636496241811471, 'ev': 0.2780899208113199, 'ev_pct': 27.80899208113199, 'book': 'betrivers'}]","{'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 110.0, 'ev': 0.5169539887615235, 'ev_pct': 51.69539887615235, 'book': 'betmgm'}",,,"['EV 51.7%', 'Regular price range (-150 to +150)', 'Consensus: 4 books aligned', 'Best line available']",0.75,1.0
Baylor Scheierman,BOS,[],[],[],,,,[],0.0,0.0
Bones Hyland,MIN,[],[],[],,,,[],0.0,0.0
Brook Lopez,LAC,[],[],[],,,,[],0.0,0.0
Bruce Brown,DEN,"[{'market': 'threes', 'side': 'OVER', 'line': 0.5, 'price': -118.0, 'edge': 0.1685065869452813, 'ev': 0.3113087792717908, 'ev_pct': 31.13087792717908, 'book': 'betmgm'}, {'market': 'threes', 'side': 'OVER', 'line': 0.5, 'price': -119.0, 'edge': 0.166411995181216, 'ev': 0.3062540079385405, 'ev_pct': 30.625400793854052, 'book': 'betonlineag'}]",[],"[{'market': 'threes', 'side': 'OVER', 'line': 0.5, 'price': -118.0, 'edge': 0.1685065869452813, 'ev': 0.3113087792717908, 'ev_pct': 31.13087792717908, 'book': 'betmgm'}, {'market': 'threes', 'side': 'OVER', 'line': 0.5, 'price': -119.0, 'edge': 0.166411995181216, 'ev': 0.3062540079385405, 'ev_pct': 30.625400793854052, 'book': 'betonlineag'}]","{'market': 'threes', 'side': 'OVER', 'line': 0.5, 'price': -118.0, 'ev': 0.3113087792717908, 'ev_pct': 31.13087792717908, 'book': 'betmgm'}",model 1.5 vs line 0.5 (+1.0),1.5213226479875086,"['EV 31.1%', 'Friendly price (~-110)', 'Regular price range (-150 to +150)', 'Best line available']",0.25,1.0
