player,team,plays,ladders,model,_plays_list,top_play,top_play_explain,top_play_baseline,top_play_reasons,top_play_consensus,top_play_line_adv
AJ Johnson,DAL,[],[],"{'pts': 10.729249954223633, 'reb': 4.3470458984375, 'ast': 2.624680519104004, 'threes': 0.569270133972168, 'pra': 17.700976371765137}",[],,,,[],0.0,0.0
Aaron Holiday,HOU,[],[],"{'pts': 8.501117706298828, 'reb': 3.247633934020996, 'ast': 1.9545811414718628, 'threes': 0.7347841262817383, 'pra': 13.703332781791689}",[],,,,[],0.0,0.0
Ace Bailey,UTA,[],[],"{'pts': 8.844027373802886, 'reb': 5.370807547161525, 'ast': 2.074715876731179, 'threes': 0.8055611815291954, 'pra': 16.28955079769559}",[],,,,[],0.0,0.0
Adem Bona,PHI,[],[],"{'pts': 8.789860725402832, 'reb': 4.766530990600586, 'ast': 1.4147754907608032, 'threes': 0.5322979646069663, 'pra': 14.97116720676422}",[],,,,[],0.0,0.0
Alijah Martin,TOR,[],[],"{'pts': 10.962824821472168, 'reb': 4.162920951843262, 'ast': 2.28897762298584, 'threes': 0.8141810894012451, 'pra': 17.41472339630127}",[],,,,[],0.0,0.0
Alperen Sengun,HOU,[],[],"{'pts': 13.94766509334591, 'reb': 7.668720245361328, 'ast': 5.031553493967638, 'threes': 0.4261640775113816, 'pra': 26.64793883267488}",[],,,,[],0.0,0.0
Amari Williams,BOS,[],[],"{'pts': 9.83726692199707, 'reb': 5.211000442504883, 'ast': 1.9895340204238887, 'threes': 0.5870931148529053, 'pra': 17.037801384925842}",[],,,,[],0.0,0.0
Amen Thompson,HOU,[],[],"{'pts': 11.070518257378708, 'reb': 5.026403427124023, 'ast': 3.1065191871756093, 'threes': 0.8277143460595244, 'pra': 19.203440871678342}",[],,,,[],0.0,0.0
Amir Coffey,PHX,[],[],"{'pts': 9.391650199890137, 'reb': 3.844555616378784, 'ast': 1.798656344413757, 'threes': 1.0074682235717771, 'pra': 15.034862160682678}",[],,,,[],0.0,0.0
Andre Drummond,PHI,[],[],"{'pts': 8.901460647583008, 'reb': 6.703299522399902, 'ast': 1.913455843925476, 'threes': 0.2221669256687164, 'pra': 17.518216013908386}",[],,,,[],0.0,0.0
