date,commence_time,home_team,visitor_team,home_ml,away_ml,home_spread,away_spread,total,bookmaker
2025-12-29,2025-12-30T01:10:00Z,Chicago Bulls,Minnesota Timberwolves,200.1818181818182,-245.72727272727272,6.5,-6.5,240.5,oddsapi_consensus
2025-12-29,2025-12-30T01:10:00Z,Oklahoma City Thunder,Atlanta Hawks,-1229.4545454545455,745.5454545454545,-16.5,16.5,236.0,oddsapi_consensus
2025-12-29,2025-12-30T00:40:00Z,Brooklyn Nets,Golden State Warriors,151.1818181818182,-180.54545454545453,4.5,-4.5,221.5,oddsapi_consensus
2025-12-29,2025-12-30T00:40:00Z,Toronto Raptors,Orlando Magic,82.27272727272727,-120.63636363636364,1.5,-1.5,220.5,oddsapi_consensus
2025-12-29,2025-12-30T00:40:00Z,Miami Heat,Denver Nuggets,111.81818181818181,-133.54545454545453,2.5,-2.5,245.0,oddsapi_consensus
2025-12-29,2025-12-30T01:10:00Z,San Antonio Spurs,Cleveland Cavaliers,-151.1818181818182,127.36363636363636,-3.0,3.0,241.5,oddsapi_consensus
2025-12-29,2025-12-30T00:10:00Z,Charlotte Hornets,Milwaukee Bucks,127.54545454545455,-151.72727272727272,3.0,-3.0,228.0,oddsapi_consensus
2025-12-29,2025-12-30T03:40:00Z,Portland Trail Blazers,Dallas Mavericks,-133.1818181818182,93.54545454545455,-2.5,2.5,232.0,oddsapi_consensus
2025-12-29,2025-12-30T01:10:00Z,Houston Rockets,Indiana Pacers,-1050.4545454545455,663.5454545454545,-14.5,14.5,221.5,oddsapi_consensus
2025-12-29,2025-12-30T01:10:00Z,New Orleans Pelicans,New York Knicks,278.09090909090907,-352.90909090909093,8.5,-8.5,246.5,oddsapi_consensus
2025-12-29,2025-12-30T00:10:00Z,Washington Wizards,Phoenix Suns,372.27272727272725,-498.54545454545456,10.5,-10.5,233.0,oddsapi_consensus
