date,home_team,visitor_team,home_tri,away_tri,actual_q1_total,actual_q2_total,actual_q3_total,actual_q4_total,actual_h1_total,actual_h2_total,actual_game_total,pred_q1_total,pred_q2_total,pred_q3_total,pred_q4_total,pred_h1_total,pred_h2_total,pred_game_total,err_q1_total,err_q2_total,err_q3_total,err_q4_total,err_h1_total,err_h2_total,err_game_total
2026-03-03,Charlotte Hornets,Dallas Mavericks,CHA,DAL,54.0,51.0,59.0,43.0,105.0,102.0,207.0,54.874810220961926,56.033453326406736,54.64363992561103,54.25099874869998,110.90826354736866,108.894638674311,219.8029022216797,-0.8748102209619262,-5.033453326406736,4.3563600743889666,-11.250998748699978,-5.908263547368662,-6.894638674310997,-12.802902221679688
2026-03-03,Cleveland Cavaliers,Detroit Pistons,CLE,DET,52.0,50.0,67.0,53.0,102.0,120.0,222.0,58.37922934839222,58.32592149718662,57.09018079832269,56.37127907387193,116.70515084557884,113.46145987219462,230.16661071777344,-6.379229348392222,-8.32592149718662,9.909819201677308,-3.371279073871932,-14.705150845578842,6.538540127805376,-8.166610717773438
2026-03-03,Orlando Magic,Washington Wizards,ORL,WAS,51.0,60.0,67.0,57.0,111.0,124.0,235.0,54.71140617780209,55.162141847828096,54.22110165433688,53.83380185811885,109.8735480256302,108.05490351245572,217.92845153808597,-3.7114061778020897,4.837858152171904,12.778898345663123,3.1661981418811465,1.1264519743698003,15.945096487544276,17.071548461914034
2026-03-03,Miami Heat,Brooklyn Nets,MIA,BKN,62.0,61.0,43.0,56.0,123.0,99.0,222.0,57.59773867350173,57.83435845008376,56.44587090703369,55.238609117818285,115.43209712358548,111.68448002485198,227.1165771484375,4.4022613264982695,3.165641549916238,-13.445870907033687,0.7613908821817148,7.5679028764145215,-12.684480024851979,-5.1165771484375
2026-03-03,Toronto Raptors,New York Knicks,TOR,NYK,63.0,63.0,43.0,37.0,126.0,80.0,206.0,55.95159132313594,56.765357535650494,55.359178822962086,54.44735559461868,112.71694885878644,109.80653441758076,222.5234832763672,7.048408676864057,6.2346424643495055,-12.359178822962086,-17.447355594618678,13.283051141213562,-29.806534417580764,-16.523483276367188
2026-03-03,Philadelphia 76ers,San Antonio Spurs,PHI,SAS,57.0,74.0,46.0,45.0,131.0,91.0,222.0,56.51293226827071,56.7447669683987,56.48655894638094,55.17783043999652,113.2576992366694,111.66438938637744,224.92208862304688,0.4870677317292902,17.2552330316013,-10.486558946380939,-10.17783043999652,17.742300763330604,-20.664389386377437,-2.922088623046875
2026-03-03,Chicago Bulls,Oklahoma City Thunder,CHI,OKC,48.0,61.0,54.0,61.0,109.0,115.0,224.0,57.60313528824698,58.20954888748725,57.72213642813935,56.25508112952488,115.81268417573423,113.97721755766425,229.78990173339844,-9.603135288246982,2.7904511125127485,-3.7221364281393505,4.744918870475118,-6.812684175734233,1.0227824423357532,-5.7899017333984375
2026-03-03,Minnesota Timberwolves,Memphis Grizzlies,MIN,MEM,55.0,64.0,52.0,56.0,119.0,108.0,227.0,57.37884324550213,57.434142235197626,56.81292291446741,55.32382915366096,114.81298548069977,112.13675206812836,226.94973754882807,-2.378843245502132,6.565857764802374,-4.812922914467407,0.6761708463390406,4.187014519300234,-4.136752068128359,0.05026245117193184
2026-03-03,Los Angeles Lakers,New Orleans Pelicans,LAL,NOP,64.0,41.0,49.0,57.0,105.0,106.0,211.0,56.8817510973645,57.93909451115966,55.90679054865324,55.32291621098668,114.82084560852417,111.22970675963992,226.0505523681641,7.1182489026355,-16.93909451115966,-6.906790548653241,1.6770837890133166,-9.820845608524166,-5.2297067596399245,-15.050552368164091
2026-03-03,Sacramento Kings,Phoenix Suns,SAC,PHX,52.0,62.0,51.0,52.0,114.0,103.0,217.0,55.35444709651617,56.06478228147343,55.6319377382216,54.40354479785129,111.4192293779896,110.03548253607288,221.4547119140625,-3.354447096516168,5.935217718526573,-4.631937738221602,-2.403544797851289,2.580770622010405,-7.035482536072877,-4.4547119140625
