date,commence_time,home_team,visitor_team,home_ml,away_ml,home_spread,away_spread,home_spread_price,away_spread_price,total,total_over_price,total_under_price,books_count,books_h2h,books_spreads,books_totals,bookmaker
2026-03-25,2026-03-26T02:40:00Z,Los Angeles Clippers,Toronto Raptors,-160.1195737186913,160.11957371869133,-4.0,4.0,-110,-110,226.5,-100.0,-100.0,11,11,9,10,oddsapi_consensus
2026-03-25,2026-03-25T23:40:00Z,Boston Celtics,Oklahoma City Thunder,133.96670936646422,-133.96670936646422,2.5,-2.5,145,-190,218.0,-100.0,-100.0,11,11,9,5,oddsapi_consensus
2026-03-25,2026-03-25T23:10:00Z,Indiana Pacers,Los Angeles Lakers,427.91578246205364,-427.91578246205336,10.5,-10.5,-115,-105,239.0,-102.29357741749862,102.29357741749864,11,11,8,6,oddsapi_consensus
2026-03-25,2026-03-26T02:10:00Z,Denver Nuggets,Dallas Mavericks,-562.1328938208475,562.1328938208478,-13.0,13.0,-105,-115,245.0,-100.0,-100.0,11,11,6,4,oddsapi_consensus
2026-03-25,2026-03-25T23:10:00Z,Detroit Pistons,Atlanta Hawks,-131.03424378130245,131.03424378130245,-2.5,2.5,-180,135,228.5,100.21672229205498,-100.21672229205494,10,10,9,8,oddsapi_consensus
2026-03-25,2026-03-25T23:40:00Z,Cleveland Cavaliers,Miami Heat,-140.02855437804493,140.02855437804493,-3.5,3.5,-230,170,243.0,-100.0,-100.0,11,11,7,5,oddsapi_consensus
2026-03-25,2026-03-26T00:10:00Z,Memphis Grizzlies,San Antonio Spurs,889.7708769524106,-889.7708769524103,16.5,-16.5,-105,-115,234.0,100.28509928582628,-100.28509928582628,11,11,10,6,oddsapi_consensus
2026-03-25,2026-03-26T01:40:00Z,Minnesota Timberwolves,Houston Rockets,111.8617951963452,-111.8617951963452,1.5,-1.5,105,-135,224.0,-100.0,-100.0,11,11,11,7,oddsapi_consensus
2026-03-25,2026-03-26T02:10:00Z,Portland Trail Blazers,Milwaukee Bucks,-515.0310742845843,515.0310742845845,-12.5,12.5,-115,-105,226.0,-100.0,-100.0,11,11,11,6,oddsapi_consensus
2026-03-25,2026-03-26T01:10:00Z,Utah Jazz,Washington Wizards,-170.75362216547018,170.75362216547015,-4.5,4.5,-320,230,240.5,-100.0,-100.0,11,11,10,8,oddsapi_consensus
2026-03-25,2026-03-25T23:10:00Z,Philadelphia 76ers,Chicago Bulls,-205.2318986000848,205.2318986000849,-6.5,6.5,-115,-105,239.5,-100.0,-100.0,11,11,6,7,oddsapi_consensus
2026-03-25,2026-03-26T02:10:00Z,Golden State Warriors,Brooklyn Nets,-456.0675938426734,456.06759384267326,-11.5,11.5,-110,-110,215.5,-100.16801633416532,100.16801633416532,11,11,9,8,oddsapi_consensus
