date,home_team,visitor_team,home_tri,away_tri,home_pts,visitor_pts,pred_margin,pred_total,actual_margin,total_actual,margin_error,total_error
2025-12-05,Boston Celtics,Los Angeles Lakers,BOS,LAL,126,105,,,21,231,,
2025-12-05,Orlando Magic,Miami Heat,ORL,MIA,106,105,,,1,211,,
2025-12-05,Atlanta Hawks,Denver Nuggets,ATL,DEN,133,134,,,-1,267,,
2025-12-05,Cleveland Cavaliers,San Antonio Spurs,CLE,SAS,130,117,,,13,247,,
2025-12-05,Detroit Pistons,Portland Trail Blazers,DET,POR,122,116,,,6,238,,
2025-12-05,New York Knicks,Utah Jazz,NYK,UTA,146,112,,,34,258,,
2025-12-05,Toronto Raptors,Charlotte Hornets,TOR,CHA,86,111,,,-25,197,,
2025-12-05,Chicago Bulls,Indiana Pacers,CHI,IND,105,120,,,-15,225,,
2025-12-05,Houston Rockets,Phoenix Suns,HOU,PHX,117,98,,,19,215,,
2025-12-05,Memphis Grizzlies,Los Angeles Clippers,MEM,LAC,107,98,,,9,205,,
2025-12-05,Milwaukee Bucks,Philadelphia 76ers,MIL,PHI,101,116,,,-15,217,,
2025-12-05,Oklahoma City Thunder,Dallas Mavericks,OKC,DAL,132,111,,,21,243,,
