date,home_team,visitor_team,h1_total,h1_spread,h1_home_spread_price,h1_away_spread_price
2026-04-29,Detroit Pistons,Orlando Magic,108.5,-6.0,-105,-115
2026-04-29,Cleveland Cavaliers,Toronto Raptors,105.0,-5.0,-105,-115
2026-04-29,Los Angeles Lakers,Houston Rockets,101.5,-2.0,-115,-105
