player,team,plays,ladders,_plays_list,top_play,top_play_explain,top_play_baseline,top_play_reasons,top_play_consensus,top_play_line_adv
Aaron Gordon,DEN,"[{'market': 'reb', 'side': 'UNDER', 'line': 5.5, 'price': 115.0, 'edge': 0.0359246348423931, 'ev': 0.0772379649111451, 'ev_pct': 7.723796491114509, 'book': 'betmgm'}]",[],"[{'market': 'reb', 'side': 'UNDER', 'line': 5.5, 'price': 115.0, 'edge': 0.0359246348423931, 'ev': 0.0772379649111451, 'ev_pct': 7.723796491114509, 'book': 'betmgm'}]","{'market': 'reb', 'side': 'UNDER', 'line': 5.5, 'price': 115.0, 'ev': 0.0772379649111451, 'ev_pct': 7.723796491114509, 'book': 'betmgm'}",model 4.5 vs line 5.5 (-1.0),4.5311113,"['EV 7.7%', 'Regular price range (-150 to +150)', 'Best line available']",0.0,1.0
Aaron Nesmith,IND,"[{'market': 'pa', 'side': 'UNDER', 'line': 17.5, 'price': -108.0, 'edge': 0.0893308078541045, 'ev': 0.1720445188301272, 'ev_pct': 17.20445188301272, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 19.5, 'price': -107.0, 'edge': 0.0942633687577689, 'ev': 0.1823599750734408, 'ev_pct': 18.235997507344077, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 5.5, 'price': 112.0, 'edge': 0.0934693860744475, 'ev': 0.1981550984778288, 'ev_pct': 19.81550984778288, 'book': 'draftkings'}]",[],"[{'market': 'pa', 'side': 'UNDER', 'line': 17.5, 'price': -108.0, 'edge': 0.0893308078541045, 'ev': 0.1720445188301272, 'ev_pct': 17.20445188301272, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 19.5, 'price': -107.0, 'edge': 0.0942633687577689, 'ev': 0.1823599750734408, 'ev_pct': 18.235997507344077, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 5.5, 'price': 112.0, 'edge': 0.0934693860744475, 'ev': 0.1981550984778288, 'ev_pct': 19.81550984778288, 'book': 'draftkings'}]","{'market': 'ra', 'side': 'UNDER', 'line': 5.5, 'price': 112.0, 'ev': 0.1981550984778288, 'ev_pct': 19.81550984778288, 'book': 'draftkings'}",,,"['EV 19.8%', 'Regular price range (-150 to +150)', 'Best line available']",0.0,1.0
Ace Bailey,UTA,"[{'market': 'blk', 'side': 'UNDER', 'line': 0.5, 'price': -140.0, 'edge': 0.1456686607602969, 'ev': 0.2497177041605091, 'ev_pct': 24.97177041605091, 'book': 'betmgm'}, {'market': 'pr', 'side': 'UNDER', 'line': 19.5, 'price': -104.0, 'edge': 0.0826160810422602, 'ev': 0.1620546205059719, 'ev_pct': 16.20546205059719, 'book': 'fanduel'}, {'market': 'ra', 'side': 'UNDER', 'line': 4.5, 'price': 115.0, 'edge': 0.0588343705007993, 'ev': 0.1264938965767186, 'ev_pct': 12.649389657671861, 'book': 'betmgm'}, {'market': 'reb', 'side': 'UNDER', 'line': 4.5, 'price': -149.0, 'edge': 0.0493554824651957, 'ev': 0.082479967341166, 'ev_pct': 8.2479967341166, 'book': 'draftkings'}, {'market': 'reb', 'side': 'UNDER', 'line': 4.5, 'price': -150.0, 'edge': 0.0491145186097741, 'ev': 0.0818575310162901, 'ev_pct': 8.185753101629011, 'book': 'betmgm'}]",[],"[{'market': 'blk', 'side': 'UNDER', 'line': 0.5, 'price': -140.0, 'edge': 0.1456686607602969, 'ev': 0.2497177041605091, 'ev_pct': 24.97177041605091, 'book': 'betmgm'}, {'market': 'pr', 'side': 'UNDER', 'line': 19.5, 'price': -104.0, 'edge': 0.0826160810422602, 'ev': 0.1620546205059719, 'ev_pct': 16.20546205059719, 'book': 'fanduel'}, {'market': 'ra', 'side': 'UNDER', 'line': 4.5, 'price': 115.0, 'edge': 0.0588343705007993, 'ev': 0.1264938965767186, 'ev_pct': 12.649389657671861, 'book': 'betmgm'}, {'market': 'reb', 'side': 'UNDER', 'line': 4.5, 'price': -149.0, 'edge': 0.0493554824651957, 'ev': 0.082479967341166, 'ev_pct': 8.2479967341166, 'book': 'draftkings'}, {'market': 'reb', 'side': 'UNDER', 'line': 4.5, 'price': -150.0, 'edge': 0.0491145186097741, 'ev': 0.0818575310162901, 'ev_pct': 8.185753101629011, 'book': 'betmgm'}]","{'market': 'ra', 'side': 'UNDER', 'line': 4.5, 'price': 115.0, 'ev': 0.1264938965767186, 'ev_pct': 12.649389657671861, 'book': 'betmgm'}",,,"['EV 12.6%', 'Regular price range (-150 to +150)', 'Best line available']",0.0,1.0
Ajay Mitchell,OKC,[],[],[],,,,[],0.0,0.0
Alperen Sengun,HOU,"[{'market': 'ast', 'side': 'UNDER', 'line': 5.5, 'price': -121.0, 'edge': 0.0612413254583739, 'ev': 0.1118539911264516, 'ev_pct': 11.18539911264516, 'book': 'draftkings'}, {'market': 'ast', 'side': 'UNDER', 'line': 5.5, 'price': -125.0, 'edge': 0.0600346889576197, 'ev': 0.1080624401237156, 'ev_pct': 10.806244012371561, 'book': 'betmgm'}, {'market': 'ast', 'side': 'UNDER', 'line': 5.5, 'price': -136.0, 'edge': 0.0569273443248514, 'ev': 0.0987856857401834, 'ev_pct': 9.87856857401834, 'book': 'fanduel'}, {'market': 'blk', 'side': 'UNDER', 'line': 0.5, 'price': -106.0, 'edge': 0.1043786831147493, 'ev': 0.2028491388833807, 'ev_pct': 20.284913888338068, 'book': 'fanduel'}, {'market': 'blk', 'side': 'UNDER', 'line': 0.5, 'price': -109.0, 'edge': 0.0974106894323969, 'ev': 0.1867782944162472, 'ev_pct': 18.67782944162472, 'book': 'draftkings'}, {'market': 'blk', 'side': 'UNDER', 'line': 0.5, 'price': -110.0, 'edge': 0.0951322661013419, 'ev': 0.1816161443752891, 'ev_pct': 18.16161443752891, 'book': 'betmgm'}, {'market': 'pa', 'side': 'UNDER', 'line': 22.5, 'price': -102.0, 'edge': 0.1055689485168692, 'ev': 0.2090679176510548, 'ev_pct': 20.90679176510548, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 22.5, 'price': -105.0, 'edge': 0.103975130598492, 'ev': 0.2029990645018178, 'ev_pct': 20.29990645018178, 'book': 'betmgm'}, {'market': 'pa', 'side': 'UNDER', 'line': 23.5, 'price': -123.0, 'edge': 0.0964547085201793, 'ev': 0.1748731707317072, 'ev_pct': 17.48731707317072, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 25.5, 'price': -106.0, 'edge': 0.1031670225876325, 'ev': 0.2004944023872858, 'ev_pct': 20.04944023872858, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 25.5, 'price': -110.0, 'edge': 0.1011328108446829, 'ev': 0.1930717297943948, 'ev_pct': 19.30717297943948, 'book': 'betmgm'}, {'market': 'pr', 'side': 'UNDER', 'line': 25.5, 'price': -114.0, 'edge': 0.0991746444005352, 'ev': 0.1861699465062678, 'ev_pct': 18.61699465062678, 'book': 'fanduel'}, {'market': 'pts', 'side': 'UNDER', 'line': 17.5, 'price': -109.0, 'edge': 0.1790992086225238, 'ev': 0.3434104091936465, 'ev_pct': 34.34104091936465, 'book': 'draftkings'}, {'market': 'pts', 'side': 'UNDER', 'line': 17.5, 'price': -118.0, 'edge': 0.1593459054312679, 'ev': 0.294384808339122, 'ev_pct': 29.4384808339122, 'book': 'fanduel'}, {'market': 'pts', 'side': 'UNDER', 'line': 17.5, 'price': -120.0, 'edge': 0.1551757636464472, 'ev': 0.2844889000184866, 'ev_pct': 28.44889000184866, 'book': 'betmgm'}, {'market': 'ra', 'side': 'UNDER', 'line': 13.5, 'price': -103.0, 'edge': 0.1025400671061125, 'ev': 0.2020935303159305, 'ev_pct': 20.20935303159305, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 13.5, 'price': -110.0, 'edge': 0.098927587631564, 'ev': 0.1888617582057132, 'ev_pct': 18.886175820571317, 'book': 'betmgm'}, {'market': 'ra', 'side': 'UNDER', 'line': 13.5, 'price': -114.0, 'edge': 0.0969694211874163, 'ev': 0.1820303169658516, 'ev_pct': 18.20303169658516, 'book': 'fanduel'}, {'market': 'reb', 'side': 'UNDER', 'line': 7.5, 'price': 108.0, 'edge': 0.0522255629045849, 'ev': 0.1086291708415367, 'ev_pct': 10.86291708415367, 'book': 'fanduel'}, {'market': 'reb', 'side': 'UNDER', 'line': 7.5, 'price': 105.0, 'edge': 0.0511702158126525, 'ev': 0.1048989424159377, 'ev_pct': 10.48989424159377, 'book': 'betmgm'}, {'market': 'reb', 'side': 'UNDER', 'line': 8.5, 'price': -136.0, 'edge': 0.0510498083377259, 'ev': 0.0885864321154657, 'ev_pct': 8.85864321154657, 'book': 'draftkings'}]",[],"[{'market': 'ast', 'side': 'UNDER', 'line': 5.5, 'price': -121.0, 'edge': 0.0612413254583739, 'ev': 0.1118539911264516, 'ev_pct': 11.18539911264516, 'book': 'draftkings'}, {'market': 'ast', 'side': 'UNDER', 'line': 5.5, 'price': -125.0, 'edge': 0.0600346889576197, 'ev': 0.1080624401237156, 'ev_pct': 10.806244012371561, 'book': 'betmgm'}, {'market': 'ast', 'side': 'UNDER', 'line': 5.5, 'price': -136.0, 'edge': 0.0569273443248514, 'ev': 0.0987856857401834, 'ev_pct': 9.87856857401834, 'book': 'fanduel'}, {'market': 'blk', 'side': 'UNDER', 'line': 0.5, 'price': -106.0, 'edge': 0.1043786831147493, 'ev': 0.2028491388833807, 'ev_pct': 20.284913888338068, 'book': 'fanduel'}, {'market': 'blk', 'side': 'UNDER', 'line': 0.5, 'price': -109.0, 'edge': 0.0974106894323969, 'ev': 0.1867782944162472, 'ev_pct': 18.67782944162472, 'book': 'draftkings'}, {'market': 'blk', 'side': 'UNDER', 'line': 0.5, 'price': -110.0, 'edge': 0.0951322661013419, 'ev': 0.1816161443752891, 'ev_pct': 18.16161443752891, 'book': 'betmgm'}, {'market': 'pa', 'side': 'UNDER', 'line': 22.5, 'price': -102.0, 'edge': 0.1055689485168692, 'ev': 0.2090679176510548, 'ev_pct': 20.90679176510548, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 22.5, 'price': -105.0, 'edge': 0.103975130598492, 'ev': 0.2029990645018178, 'ev_pct': 20.29990645018178, 'book': 'betmgm'}, {'market': 'pa', 'side': 'UNDER', 'line': 23.5, 'price': -123.0, 'edge': 0.0964547085201793, 'ev': 0.1748731707317072, 'ev_pct': 17.48731707317072, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 25.5, 'price': -106.0, 'edge': 0.1031670225876325, 'ev': 0.2004944023872858, 'ev_pct': 20.04944023872858, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 25.5, 'price': -110.0, 'edge': 0.1011328108446829, 'ev': 0.1930717297943948, 'ev_pct': 19.30717297943948, 'book': 'betmgm'}, {'market': 'pr', 'side': 'UNDER', 'line': 25.5, 'price': -114.0, 'edge': 0.0991746444005352, 'ev': 0.1861699465062678, 'ev_pct': 18.61699465062678, 'book': 'fanduel'}, {'market': 'pts', 'side': 'UNDER', 'line': 17.5, 'price': -109.0, 'edge': 0.1790992086225238, 'ev': 0.3434104091936465, 'ev_pct': 34.34104091936465, 'book': 'draftkings'}, {'market': 'pts', 'side': 'UNDER', 'line': 17.5, 'price': -118.0, 'edge': 0.1593459054312679, 'ev': 0.294384808339122, 'ev_pct': 29.4384808339122, 'book': 'fanduel'}, {'market': 'pts', 'side': 'UNDER', 'line': 17.5, 'price': -120.0, 'edge': 0.1551757636464472, 'ev': 0.2844889000184866, 'ev_pct': 28.44889000184866, 'book': 'betmgm'}, {'market': 'ra', 'side': 'UNDER', 'line': 13.5, 'price': -103.0, 'edge': 0.1025400671061125, 'ev': 0.2020935303159305, 'ev_pct': 20.20935303159305, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 13.5, 'price': -110.0, 'edge': 0.098927587631564, 'ev': 0.1888617582057132, 'ev_pct': 18.886175820571317, 'book': 'betmgm'}, {'market': 'ra', 'side': 'UNDER', 'line': 13.5, 'price': -114.0, 'edge': 0.0969694211874163, 'ev': 0.1820303169658516, 'ev_pct': 18.20303169658516, 'book': 'fanduel'}, {'market': 'reb', 'side': 'UNDER', 'line': 7.5, 'price': 108.0, 'edge': 0.0522255629045849, 'ev': 0.1086291708415367, 'ev_pct': 10.86291708415367, 'book': 'fanduel'}, {'market': 'reb', 'side': 'UNDER', 'line': 7.5, 'price': 105.0, 'edge': 0.0511702158126525, 'ev': 0.1048989424159377, 'ev_pct': 10.48989424159377, 'book': 'betmgm'}, {'market': 'reb', 'side': 'UNDER', 'line': 8.5, 'price': -136.0, 'edge': 0.0510498083377259, 'ev': 0.0885864321154657, 'ev_pct': 8.85864321154657, 'book': 'draftkings'}]","{'market': 'ra', 'side': 'UNDER', 'line': 13.5, 'price': -103.0, 'ev': 0.2020935303159305, 'ev_pct': 20.20935303159305, 'book': 'draftkings'}",,,"['EV 20.2%', 'Friendly price (~-110)', 'Regular price range (-150 to +150)', 'Consensus: 3 books aligned', 'Best line available']",0.5,1.0
Amen Thompson,HOU,"[{'market': 'ast', 'side': 'UNDER', 'line': 5.5, 'price': -125.0, 'edge': 0.0429395810449099, 'ev': 0.0772912458808379, 'ev_pct': 7.729124588083789, 'book': 'betmgm'}, {'market': 'stl', 'side': 'UNDER', 'line': 1.5, 'price': -119.0, 'edge': 0.1815691902176285, 'ev': 0.3341483416610139, 'ev_pct': 33.41483416610139, 'book': 'draftkings'}, {'market': 'stl', 'side': 'UNDER', 'line': 1.5, 'price': -132.0, 'edge': 0.1559826684100391, 'ev': 0.2741513565994627, 'ev_pct': 27.415135659946273, 'book': 'fanduel'}]",[],"[{'market': 'ast', 'side': 'UNDER', 'line': 5.5, 'price': -125.0, 'edge': 0.0429395810449099, 'ev': 0.0772912458808379, 'ev_pct': 7.729124588083789, 'book': 'betmgm'}, {'market': 'stl', 'side': 'UNDER', 'line': 1.5, 'price': -119.0, 'edge': 0.1815691902176285, 'ev': 0.3341483416610139, 'ev_pct': 33.41483416610139, 'book': 'draftkings'}, {'market': 'stl', 'side': 'UNDER', 'line': 1.5, 'price': -132.0, 'edge': 0.1559826684100391, 'ev': 0.2741513565994627, 'ev_pct': 27.415135659946273, 'book': 'fanduel'}]","{'market': 'ast', 'side': 'UNDER', 'line': 5.5, 'price': -125.0, 'ev': 0.0772912458808379, 'ev_pct': 7.729124588083789, 'book': 'betmgm'}",model 4.9 vs line 5.5 (-0.6),4.938038958583106,"['EV 7.7%', 'Regular price range (-150 to +150)', 'Best line available']",0.0,1.0
Andrew Nembhard,IND,"[{'market': 'ast', 'side': 'UNDER', 'line': 6.5, 'price': -118.0, 'edge': 0.0673073394495412, 'ev': 0.1243474576271185, 'ev_pct': 12.43474576271185, 'book': 'fanduel'}, {'market': 'ast', 'side': 'UNDER', 'line': 6.5, 'price': -119.0, 'edge': 0.0669931506849315, 'ev': 0.1232899159663866, 'ev_pct': 12.328991596638659, 'book': 'draftkings'}, {'market': 'pa', 'side': 'UNDER', 'line': 22.5, 'price': -102.0, 'edge': 0.1067108910891089, 'ev': 0.2113294117647058, 'ev_pct': 21.13294117647058, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 22.5, 'price': -105.0, 'edge': 0.1051170731707317, 'ev': 0.2052285714285714, 'ev_pct': 20.52285714285714, 'book': 'betmgm'}, {'market': 'pa', 'side': 'UNDER', 'line': 23.5, 'price': -121.0, 'edge': 0.0973475113122172, 'ev': 0.1778, 'ev_pct': 17.78, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 18.5, 'price': -110.0, 'edge': 0.1025619047619047, 'ev': 0.1957999999999999, 'ev_pct': 19.579999999999988, 'book': 'betmgm'}, {'market': 'pr', 'side': 'UNDER', 'line': 18.5, 'price': -111.0, 'edge': 0.1020654028436018, 'ev': 0.1940162162162162, 'ev_pct': 19.40162162162162, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 18.5, 'price': -112.0, 'edge': 0.1015735849056603, 'ev': 0.1922642857142857, 'ev_pct': 19.22642857142857, 'book': 'fanduel'}, {'market': 'pts', 'side': 'UNDER', 'line': 16.5, 'price': -118.0, 'edge': 0.1800649675391822, 'ev': 0.3326623976571331, 'ev_pct': 33.266239765713316, 'book': 'draftkings'}, {'market': 'pts', 'side': 'UNDER', 'line': 16.5, 'price': -122.0, 'edge': 0.1717998216593573, 'ev': 0.3126193476096504, 'ev_pct': 31.261934760965037, 'book': 'fanduel'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 100.0, 'edge': 0.102337969258019, 'ev': 0.2046759385160381, 'ev_pct': 20.46759385160381, 'book': 'fanduel'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 100.0, 'edge': 0.102337969258019, 'ev': 0.2046759385160381, 'ev_pct': 20.46759385160381, 'book': 'betmgm'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': -102.0, 'edge': 0.1012488603471279, 'ev': 0.2005124489227436, 'ev_pct': 20.05124489227436, 'book': 'draftkings'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 118.0, 'edge': 0.3531900573705361, 'ev': 0.7699543250677687, 'ev_pct': 76.99543250677688, 'book': 'fanduel'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 116.0, 'edge': 0.3489426907378484, 'ev': 0.7537162119937525, 'ev_pct': 75.37162119937526, 'book': 'draftkings'}]",[],"[{'market': 'ast', 'side': 'UNDER', 'line': 6.5, 'price': -118.0, 'edge': 0.0673073394495412, 'ev': 0.1243474576271185, 'ev_pct': 12.43474576271185, 'book': 'fanduel'}, {'market': 'ast', 'side': 'UNDER', 'line': 6.5, 'price': -119.0, 'edge': 0.0669931506849315, 'ev': 0.1232899159663866, 'ev_pct': 12.328991596638659, 'book': 'draftkings'}, {'market': 'pa', 'side': 'UNDER', 'line': 22.5, 'price': -102.0, 'edge': 0.1067108910891089, 'ev': 0.2113294117647058, 'ev_pct': 21.13294117647058, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 22.5, 'price': -105.0, 'edge': 0.1051170731707317, 'ev': 0.2052285714285714, 'ev_pct': 20.52285714285714, 'book': 'betmgm'}, {'market': 'pa', 'side': 'UNDER', 'line': 23.5, 'price': -121.0, 'edge': 0.0973475113122172, 'ev': 0.1778, 'ev_pct': 17.78, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 18.5, 'price': -110.0, 'edge': 0.1025619047619047, 'ev': 0.1957999999999999, 'ev_pct': 19.579999999999988, 'book': 'betmgm'}, {'market': 'pr', 'side': 'UNDER', 'line': 18.5, 'price': -111.0, 'edge': 0.1020654028436018, 'ev': 0.1940162162162162, 'ev_pct': 19.40162162162162, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 18.5, 'price': -112.0, 'edge': 0.1015735849056603, 'ev': 0.1922642857142857, 'ev_pct': 19.22642857142857, 'book': 'fanduel'}, {'market': 'pts', 'side': 'UNDER', 'line': 16.5, 'price': -118.0, 'edge': 0.1800649675391822, 'ev': 0.3326623976571331, 'ev_pct': 33.266239765713316, 'book': 'draftkings'}, {'market': 'pts', 'side': 'UNDER', 'line': 16.5, 'price': -122.0, 'edge': 0.1717998216593573, 'ev': 0.3126193476096504, 'ev_pct': 31.261934760965037, 'book': 'fanduel'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 100.0, 'edge': 0.102337969258019, 'ev': 0.2046759385160381, 'ev_pct': 20.46759385160381, 'book': 'fanduel'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 100.0, 'edge': 0.102337969258019, 'ev': 0.2046759385160381, 'ev_pct': 20.46759385160381, 'book': 'betmgm'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': -102.0, 'edge': 0.1012488603471279, 'ev': 0.2005124489227436, 'ev_pct': 20.05124489227436, 'book': 'draftkings'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 118.0, 'edge': 0.3531900573705361, 'ev': 0.7699543250677687, 'ev_pct': 76.99543250677688, 'book': 'fanduel'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 116.0, 'edge': 0.3489426907378484, 'ev': 0.7537162119937525, 'ev_pct': 75.37162119937526, 'book': 'draftkings'}]","{'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 100.0, 'ev': 0.2046759385160381, 'ev_pct': 20.46759385160381, 'book': 'fanduel'}",,,"['EV 20.5%', 'Regular price range (-150 to +150)', 'Consensus: 3 books aligned', 'Best line available']",0.5,1.0
Austin Reaves,LAL,[],[],[],,,,[],0.0,0.0
Ayo Dosunmu,MIN,"[{'market': 'ast', 'side': 'UNDER', 'line': 3.5, 'price': 120.0, 'edge': 0.0338720056200456, 'ev': 0.0745184123641005, 'ev_pct': 7.451841236410051, 'book': 'betmgm'}]",[],"[{'market': 'ast', 'side': 'UNDER', 'line': 3.5, 'price': 120.0, 'edge': 0.0338720056200456, 'ev': 0.0745184123641005, 'ev_pct': 7.451841236410051, 'book': 'betmgm'}]","{'market': 'ast', 'side': 'UNDER', 'line': 3.5, 'price': 120.0, 'ev': 0.0745184123641005, 'ev_pct': 7.451841236410051, 'book': 'betmgm'}",model 2.0 vs line 3.5 (-1.5),1.9758460829268292,"['EV 7.5%', 'Regular price range (-150 to +150)', 'Best line available']",0.0,1.0
Baylor Scheierman,BOS,"[{'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 100.0, 'edge': 0.1483800685874542, 'ev': 0.2967601371749084, 'ev_pct': 29.67601371749084, 'book': 'betmgm'}]",[],"[{'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 100.0, 'edge': 0.1483800685874542, 'ev': 0.2967601371749084, 'ev_pct': 29.67601371749084, 'book': 'betmgm'}]","{'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 100.0, 'ev': 0.2967601371749084, 'ev_pct': 29.67601371749084, 'book': 'betmgm'}",model 1.6 vs line 1.5 (+0.1),1.6197823368231044,"['EV 29.7%', 'Regular price range (-150 to +150)', 'Best line available']",0.0,1.0
