date,game_id,home_team,visitor_team,commence_time,prob_home_tip,early_threes_expected,early_threes_prob_ge_1,first_basket_top5
2025-11-28,0022500077,Utah Jazz,Sacramento Kings,2025-11-29T02:40:00Z,0.51499550161941,1.1590851642578373,0.6862268995323142,SAC: Keegan Murray (11.9%); UTA: Lauri Markkanen (11.2%); UTA: Keyonte George (10.9%); SAC: Zach LaVine (10.5%); SAC: Domantas Sabonis (10.4%)
2025-11-28,0022500069,Atlanta Hawks,Cleveland Cavaliers,2025-11-29T00:40:00Z,0.65,1.3070704682563197,0.7293883382446618,CLE: Evan Mobley (11.2%); CLE: Donovan Mitchell (11.1%); ATL: Jalen Johnson (11.1%); ATL: Dyson Daniels (10.8%); ATL: Nickeil Alexander-Walker (10.5%)
2025-11-28,0022500072,Detroit Pistons,Orlando Magic,2025-11-29T00:40:00Z,0.5,1.0422918626923907,0.6473544600648664,DET: Cade Cunningham (11.7%); ORL: Franz Wagner (11.0%); ORL: Paolo Banchero (10.5%); ORL: Desmond Bane (10.4%); DET: Duncan Robinson (10.2%)
2025-11-28,0022500070,Brooklyn Nets,Philadelphia 76ers,2025-11-29T00:40:00Z,,,,
2025-11-28,0022500071,Charlotte Hornets,Chicago Bulls,2025-11-29T00:40:00Z,0.5448788923735801,1.2813058132652,0.7223255273976914,CHA: Miles Bridges (11.5%); CHI: Josh Giddey (11.2%); CHA: Kon Knueppel (11.0%); CHI: Coby White (10.2%); CHI: Nikola Vučević (10.1%)
2025-11-28,0022500073,Indiana Pacers,Washington Wizards,2025-11-29T00:40:00Z,0.51499550161941,1.182083479745876,0.6933608039587489,IND: Pascal Siakam (11.7%); IND: Bennedict Mathurin (11.0%); WAS: Kyshawn George (10.5%); IND: Andrew Nembhard (10.3%); IND: Aaron Nesmith (10.1%)
2025-11-28,0022500074,New York Knicks,Milwaukee Bucks,2025-11-29T00:40:00Z,0.51499550161941,1.2747891156983229,0.7205100979601021,NYK: Mikal Bridges (11.3%); NYK: Jalen Brunson (10.9%); NYK: Karl-Anthony Towns (10.7%); MIL: Ryan Rollins (10.3%); MIL: Giannis Antetokounmpo (10.2%)
2025-11-28,0022500078,Los Angeles Lakers,Dallas Mavericks,2025-11-29T03:10:00Z,0.4850044983805899,1.0907305228290034,0.6640290304259959,LAL: Luka Dončić (11.6%); LAL: Austin Reaves (11.3%); DAL: Cooper Flagg (10.5%); LAL: Rui Hachimura (10.5%); LAL: LeBron James (10.0%)
2025-11-28,0022500079,Los Angeles Clippers,Memphis Grizzlies,2025-11-29T03:10:00Z,0.65,1.2302615828551442,0.7077838710468737,LAC: James Harden (12.3%); LAC: Ivica Zubac (11.0%); LAC: Kawhi Leonard (11.0%); MEM: Jaren Jackson Jr. (10.2%); MEM: Ja Morant (10.0%)
2025-11-28,0022500075,Oklahoma City Thunder,Phoenix Suns,2025-11-29T02:40:00Z,0.5,1.2587232802676045,0.7159835955290941,PHX: Devin Booker (11.8%); OKC: Shai Gilgeous-Alexander (10.9%); PHX: Grayson Allen (10.6%); PHX: Dillon Brooks (10.2%); PHX: Royce O'Neale (10.0%)
2025-11-28,0022500076,Denver Nuggets,San Antonio Spurs,2025-11-29T02:40:00Z,0.4700359482354282,1.1262050849136025,0.6757385307919233,DEN: Jamal Murray (11.0%); DEN: Nikola Jokić (10.9%); SAS: Victor Wembanyama (10.8%); SAS: De'Aaron Fox (10.5%); SAS: Devin Vassell (10.4%)
