date,team,player_id,player_name,injury_status,playing_today,team_on_slate
2026-05-08,CON,5345319,Nell Angloma,,True,True
2026-05-08,CON,5105732,Raegan Beers,,True,True
2026-05-08,CON,4433798,Taylor Bigby,,True,True
2026-05-08,CON,3922628,Kennedy Burke,,True,True
2026-05-08,CON,4433408,Aaliyah Edwards,,True,True
2026-05-08,CON,2490553,Brittney Griner,,True,True
2026-05-08,CON,4433413,Madison Hayes,,True,True
2026-05-08,CON,4898898,Gianna Kneepkens,,True,True
2026-05-08,CON,5208981,Leila Lacan,,True,True
2026-05-08,CON,4703609,Charlisse Leger-Walker,,True,True
2026-05-08,CON,4433635,Diamond Miller,,True,True
2026-05-08,CON,4684384,Aneesah Morrow,,True,True
2026-05-08,CON,4398966,Olivia Nelson-Ododa,,True,True
2026-05-08,CON,1107,Shey Peddy,,True,True
2026-05-08,CON,4433514,Saniya Rivers,,True,True
2026-05-08,GSV,4432834,Laeticia Amihere,,True,True
2026-05-08,GSV,4398935,Veronica Burton,,True,True
2026-05-08,GSV,4065780,Kaila Charles,,True,True
2026-05-08,GSV,4899328,Kaitlyn Chen,,True,True
2026-05-08,GSV,1054,Tiffany Hayes,,True,True
2026-05-08,GSV,5277552,Juste Jocyte,,True,True
2026-05-08,GSV,4398907,Kate Martin,,True,True
2026-05-08,GSV,4790263,Iliana Rupert,,True,True
2026-05-08,GSV,4790264,Janelle Salaun,,True,True
2026-05-08,GSV,2590093,Kiah Stokes,,True,True
2026-05-08,GSV,5345336,Kokoro Tanaka,,True,True
2026-05-08,GSV,2529622,Kayla Thornton,,True,True
2026-05-08,GSV,3142328,Gabby Williams,,True,True
2026-05-08,GSV,4257500,Cecilia Zandalasini,,True,True
2026-05-08,NYL,3102133,Rebecca Allen,,True,True
2026-05-08,NYL,5345320,Pauline Astier,,True,True
2026-05-08,NYL,4790258,Raquel Carrera,,True,True
2026-05-08,NYL,4703579,Derin Erdogan,,True,True
2026-05-08,NYL,4790260,Marine Fauthoux,,True,True
2026-05-08,NYL,4683006,Leonie Fiebich,,True,True
2026-05-08,NYL,4595823,Alex Fowler,,True,True
2026-05-08,NYL,2327695,Rebekah Gardner,,True,True
2026-05-08,NYL,4066533,Sabrina Ionescu,,True,True
2026-05-08,NYL,4038379,Marine Johannes,,True,True
2026-05-08,NYL,2999101,Jonquel Jones,,True,True
2026-05-08,NYL,2593770,Betnijah Laney-Hamilton,,True,True
2026-05-08,NYL,4281930,Anneli Maley,,True,True
2026-05-08,NYL,4433744,Ugonne Onyiah,,True,True
2026-05-08,NYL,5345331,Manuela Puoch,,True,True
2026-05-08,NYL,4281253,DiDi Richards,,True,True
2026-05-08,NYL,5278219,Seehia Ridard,,True,True
2026-05-08,NYL,4281929,Satou Sabally,,True,True
2026-05-08,NYL,5278238,Annika Soltau,,True,True
2026-05-08,NYL,2998928,Breanna Stewart,,True,True
2026-05-08,NYL,4337216,Han Xu,,True,True
2026-05-08,SEA,3058892,Lexie Brown,,True,True
2026-05-08,SEA,4066527,Jaelyn Brown,,True,True
2026-05-08,SEA,4432832,Zia Cooke,,True,True
2026-05-08,SEA,4280888,Rennia Davis,,True,True
2026-05-08,SEA,2529183,Stefanie Dolson,,True,True
2026-05-08,SEA,5345325,Awa Fam,,True,True
2026-05-08,SEA,3906753,Natisha Hiedeman,,True,True
2026-05-08,SEA,4433643,Mackenzie Holmes,,True,True
2026-05-08,SEA,4432830,Jordan Horston,,True,True
2026-05-08,SEA,4698736,Flau'jae Johnson,,True,True
2026-05-08,SEA,4420318,Ezi Magbegor,,True,True
2026-05-08,SEA,5220150,Dominique Malonga,,True,True
2026-05-08,SEA,5017726,Jade Melbourne,,True,True
2026-05-08,SEA,3917453,Katie Lou Samuelson,,True,True
2026-05-08,SEA,5105731,Grace VanSlooten,,True,True
2026-05-08,TOR,4001679,Julie Allemand,,True,True
2026-05-08,TOR,3910470,Maria Conde,,True,True
2026-05-08,TOR,5107752,Charlise Dunn,,True,True
2026-05-08,TOR,2569044,Temi Fagbenle,,True,True
2026-05-08,TOR,2566453,Isabelle Harrison,,True,True
2026-05-08,TOR,4399342,Lexi Held,,True,True
2026-05-08,TOR,5345444,Laura Juskaite,,True,True
2026-05-08,TOR,4434020,Teonni Key,,True,True
2026-05-08,TOR,3920741,Kitija Laksa,,True,True
2026-05-08,TOR,3904576,Marina Mabrey,,True,True
2026-05-08,TOR,4874475,Nikolina Milic,,True,True
2026-05-08,TOR,3142327,Kia Nurse,,True,True
2026-05-08,TOR,4597509,Aaliyah Nye,,True,True
2026-05-08,TOR,4565505,Kiki Rice,,True,True
2026-05-08,TOR,4398768,Nyara Sabally,,True,True
2026-05-08,TOR,5345334,Saffron Shiels,,True,True
2026-05-08,TOR,2988756,Brittney Sykes,,True,True
2026-05-08,WSH,4704180,Georgia Amoore,,True,True
2026-05-08,WSH,4398911,Shakira Austin,,True,True
2026-05-08,WSH,5105737,Lauren Betts,,True,True
2026-05-08,WSH,4433524,Sonia Citron,,True,True
2026-05-08,WSH,4433411,Angela Dugalic,,True,True
2026-05-08,WSH,4433523,Rori Harmon,,True,True
2026-05-08,WSH,4898384,Kiki Iriafen,,True,True
2026-05-08,WSH,5106145,Darianna Littlepage-Buggs,,True,True
2026-05-08,WSH,4583144,Cotie McMahon,,True,True
2026-05-08,WSH,4433815,Lucy Olsen,,True,True
2026-05-08,WSH,4282173,Michaela Onyenwere,,True,True
2026-05-08,WSH,5122345,Cassandre Prosper,,True,True
2026-05-08,WSH,5278157,Alex Wilson,,True,True
