date,home_team,visitor_team,total_line,spread_line,adj_total_mu,adj_margin_mu,home_score_mu,away_score_mu,team_score_sd,p_home_win,p_away_win,p_home_cover,p_away_cover,p_total_over,p_total_under,ev_home_ml,ev_away_ml,ev_total_over,ev_total_under,ev_home_cover,ev_away_cover
2026-03-26,Detroit Pistons,New Orleans Pelicans,226.5,-4.0,229.58262634277344,9.130199432373049,119.35641288757324,110.2262134552002,12.529964086141668,0.7766266529107801,0.22337334708921985,0.42272361011164095,0.577276389888359,0.555717165379179,0.44428283462082097,0.24089189531046734,-0.4029659110410899,0.10904003851420208,-0.1095118674068663,-0.1929821988777764,0.1020731079686854
2026-03-26,Orlando Magic,Sacramento Kings,230.5,-15.5,220.6306304931641,4.513619422912598,112.57212495803834,108.05850553512575,12.529964086141668,0.6465917144326069,0.3534082855673931,0.2611453319287732,0.7388546680712268,0.32685733734475453,0.6731426626552455,-0.2730971330123282,2.1987275468372647,-0.34645221127880604,0.3466291923093522,-0.5014498208632512,0.41054072995416024
2026-03-26,Charlotte Hornets,New York Knicks,224.5,-2.0,219.3623046875,-8.763347625732422,105.29947853088379,114.06282615661621,12.529964086141668,0.2326098404677519,0.7673901595322481,0.35686745564272626,0.6431325443572737,0.4076743152882214,0.5923256847117786,-0.576160539788046,0.70083604947384,-0.18307934028968048,0.18237608157846896,-0.33281301771142485,0.25563972945943914
