date,home_tri,away_tri,home_pts,visitor_pts
2026-01-21,CHA,CLE,87,94
2026-01-21,BOS,IND,119,104
2026-01-21,NYK,BKN,120,66
2026-01-21,MEM,ATL,122,124
2026-01-21,NOP,DET,104,112
2026-01-21,MIL,OKC,102,122
2026-01-21,SAC,TOR,109,122
