date,home_team,visitor_team,h1_total,q2_total,q3_total,h1_spread,h1_home_spread_price,h1_away_spread_price,q2_spread,q2_home_spread_price,q2_away_spread_price,q3_spread,q3_home_spread_price,q3_away_spread_price,q1_total,q1_spread,q1_home_spread_price,q1_away_spread_price,q4_total,q4_spread,q4_home_spread_price,q4_away_spread_price
2026-03-08,Los Angeles Lakers,New York Knicks,113.0,58.5,55.5,-2.0,-115,-115,5.5,-110,-120.0,2.5,-120.0,-110.0,,,,,,,,
2026-03-08,Toronto Raptors,Dallas Mavericks,118.0,58.5,,-5.5,-110,-110,-2.5,-115,-105.0,,,,59.5,-3.0,-110.0,-110.0,,,,
2026-03-08,Miami Heat,Detroit Pistons,118.5,58.5,,0.5,-115,-105,0.5,-120,,,,,59.5,0.5,-120.0,,,,,
2026-03-08,New Orleans Pelicans,Washington Wizards,125.0,62.0,61.0,-6.0,-115,-105,-3.0,-110,-110.0,-2.5,-120.0,,63.5,-3.0,-115.0,-105.0,,,,
2026-03-08,San Antonio Spurs,Houston Rockets,108.5,54.0,58.5,-3.0,-105,-115,-1.5,-110,-110.0,-1.5,-105.0,-115.0,54.5,-1.5,-110.0,-110.0,55.5,-1.5,-105.0,-115.0
2026-03-08,Milwaukee Bucks,Orlando Magic,111.5,55.5,,3.0,-115,-105,1.5,-110,-110.0,,,,56.5,2.0,-115.0,-105.0,,,,
2026-03-08,Sacramento Kings,Chicago Bulls,114.5,57.0,61.5,1.0,-105,-115,0.5,-110,-110.0,1.5,-125.0,105.0,57.5,0.5,-110.0,-110.0,,,,
2026-03-08,Portland Trail Blazers,Indiana Pacers,115.5,57.0,62.5,-5.0,-115,-105,-2.5,-110,-110.0,-2.5,-110.0,-110.0,58.5,-3.0,-105.0,-115.0,,,,
2026-03-08,Phoenix Suns,Charlotte Hornets,106.5,53.0,57.5,2.0,-105,-115,1.0,-105,-115.0,1.5,-120.0,,53.5,1.5,-115.0,-105.0,54.5,1.5,-125.0,105.0
