gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,game_id,date
0022300477,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (7:36 PM EST),period,start,0,0,1,0022300477,2024-01-04
0022300477,4,PT12M00.00S,1,1610612759,SAS,1641705,Wembanyama,V. Wembanyama,0,0,0,,0,,,0,h,Jump Ball Wembanyama vs. B. Lopez: Tip to Jones,Jump Ball,,1,0,2,0022300477,2024-01-04
0022300477,7,PT11M42.00S,1,1610612759,SAS,1631110,Sochan,J. Sochan,206,148,25,Missed,1,,,0,h,MISS Sochan 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,3,0022300477,2024-01-04
0022300477,8,PT11M39.00S,1,1610612749,MIL,203081,Lillard,D. Lillard,0,0,0,,0,,,0,v,Lillard REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,4,0022300477,2024-01-04
0022300477,9,PT11M23.00S,1,1610612749,MIL,201572,Lopez,B. Lopez,-99,73,12,Missed,1,,,0,v,MISS B. Lopez 12' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,5,0022300477,2024-01-04
0022300477,10,PT11M21.00S,1,1610612759,SAS,1631110,Sochan,J. Sochan,0,0,0,,0,,,0,h,Sochan REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,6,0022300477,2024-01-04
0022300477,11,PT11M15.00S,1,1610612749,MIL,203507,Antetokounmpo,G. Antetokounmpo,0,0,0,,0,,,0,v,G. Antetokounmpo S.FOUL (P1.T1) (N.Sago),Foul,Shooting,1,0,7,0022300477,2024-01-04
0022300477,13,PT11M15.00S,1,1610612759,SAS,1641705,Wembanyama,V. Wembanyama,0,0,0,,0,1,0,1,h,Wembanyama Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,8,0022300477,2024-01-04
0022300477,14,PT11M15.00S,1,1610612759,SAS,1641705,Wembanyama,V. Wembanyama,0,0,0,,0,2,0,2,h,Wembanyama Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,1,0,9,0022300477,2024-01-04
0022300477,15,PT11M05.00S,1,1610612749,MIL,203507,Antetokounmpo,G. Antetokounmpo,-6,-6,1,Made,1,2,2,4,v,G. Antetokounmpo 1' Driving Reverse Layup (2 PTS) (Lillard 1 AST),Made Shot,Driving Reverse Layup Shot,1,2,10,0022300477,2024-01-04
