date,home_tri,away_tri,home_pts,visitor_pts
2026-01-12,CLE,UTA,112,123
2026-01-12,IND,BOS,98,96
2026-01-12,TOR,PHI,102,115
2026-01-12,DAL,BKN,113,105
2026-01-12,SAC,LAL,124,112
2026-01-12,LAC,CHA,117,109
