date,home_team,visitor_team,h1_total,q1_total,q2_total,q3_total,q4_total,h1_spread,h1_home_spread_price,h1_away_spread_price,q1_spread,q1_home_spread_price,q1_away_spread_price,q2_spread,q2_home_spread_price,q2_away_spread_price,q3_spread,q3_away_spread_price,q4_spread,q4_home_spread_price,q4_away_spread_price,q3_home_spread_price
2026-01-30,Washington Wizards,Los Angeles Lakers,118.5,59.5,58.0,57.5,54.5,6.0,-110,-110,3.5,-115,-105,3.0,-115,-105,2.5,-120.0,2.5,-115,-105,
2026-01-30,New Orleans Pelicans,Memphis Grizzlies,119.5,60.0,59.0,57.5,55.0,-1.5,-115,-105,-1.0,-105,-115,-1.0,-105,-115,-1.5,-125.0,-1.5,120,-140,105.0
2026-01-30,New York Knicks,Portland Trail Blazers,115.5,58.5,56.5,55.5,53.0,-4.5,-105,-115,-2.5,-105,-115,-2.0,-115,-105,-1.5,-105.0,-1.5,-110,-110,-115.0
2026-01-30,Boston Celtics,Sacramento Kings,111.5,56.0,55.0,53.5,51.5,-7.0,-105,-115,-3.5,-110,-110,-3.0,-115,-105,-2.5,,-2.5,-105,-115,-120.0
2026-01-30,Orlando Magic,Toronto Raptors,107.5,54.5,53.0,57.5,54.5,-1.0,-110,-110,-0.5,-110,-110,-0.5,-110,-110,-1.5,-130.0,-1.5,115,-135,110.0
2026-01-30,Phoenix Suns,Cleveland Cavaliers,108.5,55.0,53.5,58.5,55.5,1.0,-110,-110,0.5,-110,-110,0.5,-110,-110,1.5,110.0,1.5,-140,120,-130.0
2026-01-30,Denver Nuggets,Los Angeles Clippers,107.0,54.0,52.5,57.5,54.0,1.5,-115,-105,1.0,-115,-105,0.5,-105,-115,1.5,120.0,1.5,-140,120,-140.0
2026-01-30,Utah Jazz,Brooklyn Nets,116.0,58.5,57.0,55.5,54.0,-1.5,-115,-105,-1.0,-110,-110,-1.0,-110,-110,-1.5,-125.0,-1.5,110,-130,105.0
2026-01-30,Golden State Warriors,Detroit Pistons,116.0,58.5,57.0,54.5,53.0,-1.0,-105,-115,-0.5,-110,-110,-0.5,-110,-110,-1.5,-130.0,-1.5,115,-135,110.0
