feature,ref_count,cur_count,ref_mean,cur_mean,ref_std,cur_std,psi,ks,psi_flag,psi_severe,ks_flag
visitor_games_last5,232,14,1.7543103448275863,3.2857142857142856,1.0887268934465035,0.9583148474999098,7.6745004376511865,0.477216748768473,True,True,True
home_games_last5,232,14,1.7672413793103448,2.5714285714285716,1.1623234654293755,0.6226998490772392,6.997237877911599,0.3879310344827586,True,True,True
elo_diff,232,14,-3.8905708981871725,-28.312362481650958,109.96225643322177,135.9431963071594,5.695810020879627,0.31280788177339897,True,True,True
home_form_def_5,193,14,112.51416234887739,116.13095238095238,8.687361587759936,7.415644277158355,5.404223438729239,0.26424870466321243,True,True,True
visitor_form_off_5,195,14,113.53230769230768,115.99166666666667,7.671471484111525,6.96760289334611,4.676827695345239,0.18571428571428575,True,True,True
visitor_games_last3,232,14,1.0775862068965518,1.7142857142857142,0.7729350919459372,0.7953949089757174,3.83614536987961,0.2629310344827587,True,True,True
visitor_form_def_5,195,14,113.24829059829058,112.98928571428573,9.463724560025575,5.650865951138145,3.541967217885386,0.1641025641025641,True,True,True
home_form_off_5,193,14,112.56658031088082,114.29166666666666,8.304346043185935,7.8122023752832295,3.2553044549548287,0.2664692820133235,True,True,True
visitor_rest_days,173,14,2.8265895953757227,2.9285714285714284,2.5224972577553126,2.0861545523586047,1.0078152027950038,0.1288191577208918,True,True,True
visitor_4in6,232,14,0.23706896551724138,0.7142857142857143,0.4252849293189525,0.45175395145262565,0.995048092724327,0.477216748768473,True,True,True
home_rest_days,174,13,2.9080459770114944,2.769230769230769,2.4407092614720707,1.716608738801646,0.5893666434093463,0.09195402298850575,True,True,False
visitor_3in4,232,14,0.23706896551724138,0.5,0.4252849293189525,0.5,0.30731813626844845,0.2629310344827587,True,True,True
home_games_last3,232,14,1.103448275862069,1.6428571428571428,0.8187386255575011,0.7178482586514923,0.278167257270484,0.23706896551724133,True,False,True
home_4in6,232,14,0.25862068965517243,0.5,0.43787672755863083,0.5,0.2542085939962555,0.24137931034482762,True,False,True
home_3in4,232,14,0.2629310344827586,0.5,0.44022528958316903,0.5,0.24436824022633516,0.23706896551724133,True,False,True
