date,home_team,visitor_team,home_tri,away_tri,home_pts,visitor_pts,pred_margin,pred_total,actual_margin,total_actual,margin_error,total_error
2026-01-13,Miami Heat,Phoenix Suns,MIA,PHX,127,121,,,6,248,,
2026-01-13,Houston Rockets,Chicago Bulls,HOU,CHI,119,113,,,6,232,,
2026-01-13,Milwaukee Bucks,Minnesota Timberwolves,MIL,MIN,106,139,,,-33,245,,
2026-01-13,New Orleans Pelicans,Denver Nuggets,NOP,DEN,116,122,,,-6,238,,
2026-01-13,Oklahoma City Thunder,San Antonio Spurs,OKC,SAS,119,98,,,21,217,,
2026-01-13,Oklahoma City Thunder,San Antonio Spurs,OKC,SAS,119,98,,,21,217,,
2026-01-13,Oklahoma City Thunder,San Antonio Spurs,OKC,SAS,119,98,,,21,217,,
2026-01-13,Oklahoma City Thunder,San Antonio Spurs,OKC,SAS,119,98,,,21,217,,
2026-01-13,Los Angeles Lakers,Atlanta Hawks,LAL,ATL,141,116,,,25,257,,
2026-01-13,Golden State Warriors,Portland Trail Blazers,GSW,POR,119,97,,,22,216,,
2026-01-13,Golden State Warriors,Portland Trail Blazers,GSW,POR,119,97,,,22,216,,
2026-01-13,Golden State Warriors,Portland Trail Blazers,GSW,POR,119,97,,,22,216,,
2026-01-13,Golden State Warriors,Portland Trail Blazers,GSW,POR,119,97,,,22,216,,
