date,home_team,visitor_team,h1_total,q1_total,q2_total,h1_spread,h1_home_spread_price,h1_away_spread_price,q1_spread,q1_home_spread_price,q1_away_spread_price,q2_spread,q2_home_spread_price,q2_away_spread_price
2026-02-26,Indiana Pacers,Charlotte Hornets,111.0,56.5,54.5,7.5,-110,-110,3.5,-105,-115,4.0,-115,-105
2026-02-26,Philadelphia 76ers,Miami Heat,123.5,62.0,61.0,-1.0,-110,-110,-0.5,-110,-110,-0.5,-110,-110
2026-02-26,Orlando Magic,Houston Rockets,104.5,53.0,51.5,1.0,-110,-110,0.5,-110,-110,0.5,-110,-110
2026-02-26,Brooklyn Nets,San Antonio Spurs,115.0,58.5,56.5,7.5,-110,-110,4.0,-115,-105,3.5,-110,-110
2026-02-26,Atlanta Hawks,Washington Wizards,121.0,61.5,59.5,-6.5,-105,-115,-3.0,-115,-105,-3.0,-105,-115
2026-02-26,Chicago Bulls,Portland Trail Blazers,120.5,61.0,59.5,2.0,-110,-110,1.0,-110,-110,1.0,-110,-110
2026-02-26,Dallas Mavericks,Sacramento Kings,120.5,61.0,59.0,-4.0,-110,-110,-2.0,-110,-110,-2.0,-110,-110
2026-02-26,Phoenix Suns,Los Angeles Lakers,113.0,57.0,55.5,2.5,-110,-110,1.5,-115,-105,1.5,-115,-105
2026-02-26,Utah Jazz,New Orleans Pelicans,124.5,63.0,61.0,2.5,-110,-110,1.0,-105,-115,1.0,-105,-115
2026-02-26,Los Angeles Clippers,Minnesota Timberwolves,110.0,55.5,54.0,3.0,-115,-105,1.5,-110,-110,1.5,-110,-110
