date,commence_time,home_team,visitor_team,home_ml,away_ml,home_spread,away_spread,home_spread_price,away_spread_price,total,total_over_price,total_under_price,books_count,books_h2h,books_spreads,books_totals,bookmaker
2026-04-10,2026-04-10T23:10:00Z,Charlotte Hornets,Detroit Pistons,-177.50992060405036,177.50992060405036,-5.5,5.5,-115,-105,225.5,-100.2890674683471,100.28906746834713,11,11,9,6,oddsapi_consensus
2026-04-10,2026-04-11T01:10:00Z,Denver Nuggets,Oklahoma City Thunder,-444.9044012299771,444.9044012299773,-11.5,11.5,-110,-110,231.5,-100.83296230041532,100.83296230041532,11,11,7,11,oddsapi_consensus
2026-04-10,2026-04-11T02:40:00Z,Los Angeles Lakers,Phoenix Suns,127.24307814978384,-127.24307814978384,2.5,-2.5,140,-185,218.5,-100.0,-100.0,11,11,9,6,oddsapi_consensus
2026-04-10,2026-04-11T01:40:00Z,Houston Rockets,Minnesota Timberwolves,-381.16019869873065,381.1601986987304,-10.5,10.5,-110,-110,222.5,100.28906746834713,-100.2890674683471,11,11,10,6,oddsapi_consensus
2026-04-10,2026-04-10T23:40:00Z,New York Knicks,Toronto Raptors,-225.5344821393016,225.5344821393016,-6.5,6.5,-105,-115,219.5,-103.47350490059979,103.47350490059983,11,11,7,5,oddsapi_consensus
2026-04-10,2026-04-10T23:40:00Z,Indiana Pacers,Philadelphia 76ers,732.9060689146608,-732.9060689146602,15.0,-15.0,-105,-115,233.5,-100.24772096710265,100.24772096710265,11,11,8,7,oddsapi_consensus
2026-04-10,2026-04-11T00:10:00Z,San Antonio Spurs,Dallas Mavericks,-980.6183907477455,980.6183907477453,-17.5,17.5,-110,-110,235.5,-100.87051142546247,100.87051142546245,11,11,11,5,oddsapi_consensus
2026-04-10,2026-04-10T23:10:00Z,Atlanta Hawks,Cleveland Cavaliers,-294.63417274165465,294.63417274165465,-8.5,8.5,-110,-110,233.5,-100.1995934664867,100.1995934664867,11,11,9,11,oddsapi_consensus
2026-04-10,2026-04-10T23:40:00Z,Boston Celtics,New Orleans Pelicans,-907.6239151334213,907.6239151334211,-16.5,16.5,-110,-110,224.0,-100.0,-100.0,11,11,10,7,oddsapi_consensus
2026-04-10,2026-04-11T02:10:00Z,Portland Trail Blazers,Los Angeles Clippers,-111.09267175018196,111.092671750182,-1.5,1.5,-135,105,224.5,100.11572734637194,-100.11572734637194,11,11,8,11,oddsapi_consensus
2026-04-10,2026-04-11T01:40:00Z,Utah Jazz,Memphis Grizzlies,-147.58331995646984,147.58331995646986,-4.0,4.0,-105,-115,248.5,-100.43391477913738,100.43391477913738,11,11,9,4,oddsapi_consensus
2026-04-10,2026-04-11T00:10:00Z,Milwaukee Bucks,Brooklyn Nets,-377.09760323333865,377.09760323333865,-9.5,9.5,-110,-110,218.5,-100.62102158049993,100.62102158049991,11,11,8,7,oddsapi_consensus
2026-04-10,2026-04-11T02:10:00Z,Sacramento Kings,Golden State Warriors,388.15939203483254,-388.1593920348325,10.5,-10.5,-110,-110,228.5,-101.26112702913919,101.26112702913922,11,11,9,9,oddsapi_consensus
2026-04-10,2026-04-11T00:10:00Z,Chicago Bulls,Orlando Magic,697.4754466563987,-697.475446656399,14.5,-14.5,-110,-110,243.0,100.3185727938834,-100.3185727938834,11,11,9,4,oddsapi_consensus
2026-04-10,2026-04-10T23:10:00Z,Washington Wizards,Miami Heat,1017.0685630217209,-1017.0685630217207,18.0,-18.0,-110,-110,249.0,-100.0,-100.0,10,10,7,4,oddsapi_consensus
