date,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team
2025-11-24,1642263.0,Reed Sheppard,HOU,ast,UNDER,3.5,128,0.43859649122807015,0.7375290176335352,0.298932526405465,0.6815661602044603,williamhill_us,Caesars,2025-11-25T02:40:00Z,Phoenix Suns,Houston Rockets
2025-11-24,1642263.0,Reed Sheppard,HOU,ast,UNDER,3.5,125,0.4444444444444444,0.7375290176335352,0.29308457318909076,0.6594402896754541,bovada,Bovada,2025-11-25T02:40:00Z,Phoenix Suns,Houston Rockets
2025-11-24,1642263.0,Reed Sheppard,HOU,ast,UNDER,4.5,-130,0.5652173913043478,0.8498396806959052,0.2846222893915574,0.5035625120004477,betonlineag,BetOnline.ag,2025-11-25T02:40:00Z,Phoenix Suns,Houston Rockets
2025-11-24,1642263.0,Reed Sheppard,HOU,ast,UNDER,3.5,120,0.45454545454545453,0.7375290176335352,0.28298356308808065,0.6225638387937774,betmgm,BetMGM,2025-11-25T02:40:00Z,Phoenix Suns,Houston Rockets
2025-11-24,1642263.0,Reed Sheppard,HOU,ast,UNDER,3.5,110,0.47619047619047616,0.7375290176335352,0.261338541443059,0.5488109370304239,betrivers,BetRivers,2025-11-25T02:40:00Z,Phoenix Suns,Houston Rockets
2025-11-24,1631105.0,Jalen Duren,DET,ast,OVER,2.5,145,0.40816326530612246,0.660072633276395,0.2519093679702725,0.6171779515271677,betmgm,BetMGM,2025-11-25T00:10:00Z,Indiana Pacers,Detroit Pistons
2025-11-24,1642263.0,Reed Sheppard,HOU,ast,UNDER,4.5,-152,0.6031746031746031,0.8498396806959052,0.24666507752130207,0.4089447337853166,draftkings,DraftKings,2025-11-25T02:40:00Z,Phoenix Suns,Houston Rockets
2025-11-24,203944.0,Julius Randle,MIN,ast,UNDER,5.5,-110,0.5238095238095238,0.753614279367838,0.22980475555831414,0.4387181697022361,betmgm,BetMGM,2025-11-25T03:10:00Z,Sacramento Kings,Minnesota Timberwolves
2025-11-24,1642263.0,Reed Sheppard,HOU,ast,UNDER,4.5,-165,0.6226415094339622,0.8498396806959052,0.22719817126194297,0.3648940326328175,fanatics,Fanatics,2025-11-25T02:40:00Z,Phoenix Suns,Houston Rockets
2025-11-24,1642263.0,Reed Sheppard,HOU,ast,UNDER,4.5,-170,0.6296296296296297,0.8498396806959052,0.22021005106627556,0.3497453752229083,bovada,Bovada,2025-11-25T02:40:00Z,Phoenix Suns,Houston Rockets
2025-11-24,203944.0,Julius Randle,MIN,ast,UNDER,5.5,-120,0.5454545454545454,0.753614279367838,0.20815973391329257,0.38162617884103633,williamhill_us,Caesars,2025-11-25T03:10:00Z,Sacramento Kings,Minnesota Timberwolves
2025-11-24,203944.0,Julius Randle,MIN,ast,UNDER,5.5,-120,0.5454545454545454,0.753614279367838,0.20815973391329257,0.38162617884103633,fanatics,Fanatics,2025-11-25T03:10:00Z,Sacramento Kings,Minnesota Timberwolves
2025-11-24,1626181.0,Norman Powell,MIA,ast,OVER,2.5,170,0.37037037037037035,0.5776817063619533,0.2073113359915829,0.5597406071772738,bovada,Bovada,2025-11-25T00:40:00Z,Miami Heat,Dallas Mavericks
2025-11-24,1642263.0,Reed Sheppard,HOU,ast,UNDER,4.5,-180,0.6428571428571429,0.8498396806959052,0.2069825378387623,0.3219728366380748,fanduel,FanDuel,2025-11-25T02:40:00Z,Phoenix Suns,Houston Rockets
2025-11-24,1631105.0,Jalen Duren,DET,ast,OVER,2.5,120,0.45454545454545453,0.660072633276395,0.20552717873094045,0.452159793208069,fanatics,Fanatics,2025-11-25T00:10:00Z,Indiana Pacers,Detroit Pistons
2025-11-24,203944.0,Julius Randle,MIN,ast,UNDER,4.5,145,0.40816326530612246,0.6125255148568691,0.20436224955074667,0.5006875113993293,bovada,Bovada,2025-11-25T03:10:00Z,Sacramento Kings,Minnesota Timberwolves
2025-11-24,203944.0,Julius Randle,MIN,ast,UNDER,5.5,-125,0.5555555555555556,0.753614279367838,0.1980587238122824,0.35650570286210836,fanduel,FanDuel,2025-11-25T03:10:00Z,Sacramento Kings,Minnesota Timberwolves
2025-11-24,203944.0,Julius Randle,MIN,ast,UNDER,5.5,-127,0.5594713656387665,0.753614279367838,0.19414291372907144,0.3470113497362144,betonlineag,BetOnline.ag,2025-11-25T03:10:00Z,Sacramento Kings,Minnesota Timberwolves
2025-11-24,203944.0,Julius Randle,MIN,ast,UNDER,5.5,-129,0.5633187772925764,0.753614279367838,0.19029550207526158,0.33781139515685965,draftkings,DraftKings,2025-11-25T03:10:00Z,Sacramento Kings,Minnesota Timberwolves
