date,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,model_prob_raw,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team
2026-01-19,1641729.0,Brice Sensabaugh,UTA,dd,YES,,2500,0.038461538461538464,0.1605839416058394,0.028711585971000545,0.12212240314430092,3.1751824817518237,fanduel,FanDuel,2026-01-19T22:10:00Z,San Antonio Spurs,Utah Jazz
2026-01-19,1641729.0,Brice Sensabaugh,UTA,dd,YES,,2500,0.038461538461538464,0.1605839416058394,0.028711585971000545,0.12212240314430092,3.1751824817518237,draftkings,DraftKings,2026-01-19T22:10:00Z,San Antonio Spurs,Utah Jazz
2026-01-19,1642846.0,Ace Bailey,UTA,dd,YES,,2500,0.038461538461538464,0.1605839416058394,0.02227501646973582,0.12212240314430092,3.1751824817518237,bovada,Bovada,2026-01-19T22:10:00Z,San Antonio Spurs,Utah Jazz
2026-01-19,1630643.0,Jay Huff,IND,dd,YES,,2500,0.038461538461538464,0.1605839416058394,0.010240301094656169,0.12212240314430092,3.1751824817518237,fanatics,Fanatics,2026-01-20T00:10:00Z,Philadelphia 76ers,Indiana Pacers
2026-01-19,203114.0,Khris Middleton,WAS,dd,YES,,2400,0.04,0.1605839416058394,0.030455421675631936,0.12058394160583938,3.0145985401459847,williamhill_us,Caesars,2026-01-19T20:10:00Z,Washington Wizards,Los Angeles Clippers
2026-01-19,1642846.0,Ace Bailey,UTA,dd,YES,,2400,0.04,0.1605839416058394,0.02227501646973582,0.12058394160583938,3.0145985401459847,draftkings,DraftKings,2026-01-19T22:10:00Z,San Antonio Spurs,Utah Jazz
2026-01-19,1641764.0,Brandin Podziemski,GSW,dd,YES,,2400,0.04,0.1605839416058394,0.027421528927889037,0.12058394160583938,3.0145985401459847,draftkings,DraftKings,2026-01-20T03:10:00Z,Golden State Warriors,Miami Heat
2026-01-19,1626181.0,Norman Powell,MIA,dd,YES,,2400,0.04,0.1605839416058394,0.022236472978432634,0.12058394160583938,3.0145985401459847,williamhill_us,Caesars,2026-01-20T03:10:00Z,Golden State Warriors,Miami Heat
2026-01-19,1641854.0,Craig Porter Jr,CLE,dd,YES,,2300,0.041666666666666664,0.1605839416058394,0.04814294868993199,0.11891727493917273,2.8540145985401453,williamhill_us,Caesars,2026-01-19T19:40:00Z,Cleveland Cavaliers,Oklahoma City Thunder
2026-01-19,1627739.0,Kris Dunn,LAC,dd,YES,,2300,0.041666666666666664,0.1605839416058394,0.007304164817409098,0.11891727493917273,2.8540145985401453,williamhill_us,Caesars,2026-01-19T20:10:00Z,Washington Wizards,Los Angeles Clippers
