date,game_id,home,away,side,team,n_sims,player_id,player_name,split_type,split,n,pts_p10,pts_p50,pts_p90,reb_p10,reb_p50,reb_p90,ast_p10,ast_p50,ast_p90,threes_p10,threes_p50,threes_p90,pra_p10,pra_p50,pra_p90
2026-03-26,,CHA,NYK,home,CHA,2000,1641706,Brandon Miller,scenario,close,559,10.0,17.0,26.0,2.0,5.0,8.0,1.0,3.0,5.0,1.0,3.0,5.0,17.0,25.0,35.0
2026-03-26,,CHA,NYK,home,CHA,2000,1641706,Brandon Miller,scenario,medium,605,9.0,17.0,26.0,2.0,5.0,8.0,1.0,3.0,6.0,1.0,3.0,6.0,17.0,25.0,35.0
2026-03-26,,CHA,NYK,home,CHA,2000,1641706,Brandon Miller,scenario,blowout,836,9.0,17.0,27.0,2.0,4.5,8.0,1.0,3.0,5.0,1.0,3.0,6.0,16.0,25.0,35.0
2026-03-26,,CHA,NYK,home,CHA,2000,1630163,LaMelo Ball,scenario,close,559,8.0,16.0,25.0,2.0,4.0,7.0,1.0,3.0,6.0,1.0,2.0,5.0,16.0,24.0,33.0
2026-03-26,,CHA,NYK,home,CHA,2000,1630163,LaMelo Ball,scenario,medium,605,9.0,16.0,25.0,2.0,4.0,7.0,1.0,3.0,6.0,1.0,2.0,5.0,16.0,24.0,33.0
2026-03-26,,CHA,NYK,home,CHA,2000,1630163,LaMelo Ball,scenario,blowout,836,8.0,16.0,25.0,2.0,4.0,7.0,1.0,3.0,6.0,1.0,2.0,5.0,15.0,24.0,34.0
2026-03-26,,CHA,NYK,home,CHA,2000,1642851,Kon Knueppel,scenario,close,559,8.0,15.0,23.0,2.0,4.0,7.0,1.0,3.0,5.0,1.0,2.0,4.0,15.0,22.0,31.0
2026-03-26,,CHA,NYK,home,CHA,2000,1642851,Kon Knueppel,scenario,medium,605,8.0,14.0,22.0,2.0,4.0,7.0,1.0,3.0,5.0,0.0,2.0,4.0,14.0,22.0,30.0
2026-03-26,,CHA,NYK,home,CHA,2000,1642851,Kon Knueppel,scenario,blowout,836,7.0,15.0,23.0,2.0,4.0,7.0,1.0,3.0,5.0,0.0,2.0,4.0,13.0,22.0,31.0
2026-03-26,,CHA,NYK,home,CHA,2000,1628970,Miles Bridges,scenario,close,559,7.0,14.0,21.0,2.0,5.0,8.0,1.0,2.0,4.0,0.0,2.0,4.0,13.0,21.0,29.0
2026-03-26,,CHA,NYK,home,CHA,2000,1628970,Miles Bridges,scenario,medium,605,6.0,13.0,21.0,2.0,5.0,8.0,1.0,2.0,4.0,0.0,2.0,4.0,13.0,20.0,29.0
2026-03-26,,CHA,NYK,home,CHA,2000,1628970,Miles Bridges,scenario,blowout,836,6.0,13.0,21.0,2.0,4.0,7.0,1.0,2.0,4.0,0.0,2.0,4.0,12.0,20.0,29.0
2026-03-26,,CHA,NYK,home,CHA,2000,1629632,Coby White,scenario,close,559,6.0,13.0,21.0,1.0,3.0,6.0,1.0,2.0,5.0,1.0,2.0,4.0,11.0,18.0,28.0
2026-03-26,,CHA,NYK,home,CHA,2000,1629632,Coby White,scenario,medium,605,7.0,13.0,20.0,1.0,3.0,6.0,0.0,2.0,5.0,1.0,2.0,4.0,12.0,19.0,26.600000000000023
2026-03-26,,CHA,NYK,home,CHA,2000,1629632,Coby White,scenario,blowout,836,6.0,14.0,21.0,1.0,3.0,6.0,1.0,2.0,5.0,1.0,2.0,4.0,11.0,20.0,28.0
2026-03-26,,CHA,NYK,home,CHA,2000,1631217,Moussa Diabaté,scenario,close,559,4.0,9.0,15.0,4.0,7.0,11.0,1.0,3.0,5.0,0.0,1.0,2.0,12.0,19.0,27.0
2026-03-26,,CHA,NYK,home,CHA,2000,1631217,Moussa Diabaté,scenario,medium,605,4.0,9.0,15.0,4.0,7.0,11.0,1.0,3.0,5.0,0.0,1.0,2.0,12.0,18.0,26.0
2026-03-26,,CHA,NYK,home,CHA,2000,1631217,Moussa Diabaté,scenario,blowout,836,3.0,8.0,15.0,3.0,7.0,10.0,1.0,2.0,5.0,0.0,1.0,2.0,11.0,18.0,26.0
