date,home_team,visitor_team,h1_total,q1_total,q2_total,h1_spread,h1_home_spread_price,h1_away_spread_price,q1_spread,q1_away_spread_price,q2_spread,q2_away_spread_price,q1_home_spread_price,q2_home_spread_price
2026-04-15,Philadelphia 76ers,Orlando Magic,114.5,58.0,57.0,-0.5,-105,-115,-0.5,-120,-0.5,-120,,
2026-04-15,Los Angeles Clippers,Golden State Warriors,108.0,54.0,53.5,-3.0,-110,-110,-1.5,-110,-1.5,-110,-110.0,-110.0
