date,home_team,visitor_team,commence_time,home_ml,away_ml,home_spread,away_spread,home_spread_price,away_spread_price,total,total_over_price,total_under_price,bookmaker
2025-10-07,Cleveland Cavaliers,Chicago Bulls,2025-10-07T23:00:00+00:00,-320,260,-7.5,7.5,-105,-115,230.5,-110,-110,bovada
2025-10-07,Minnesota Timberwolves,Indiana Pacers,2025-10-08T00:00:00+00:00,-250,210,-6.5,6.5,-115,-105,223.5,-110,-110,bovada
