date,home_team,visitor_team,h1_total,q1_total,q2_total,q3_total,q4_total,h1_spread,h1_home_spread_price,h1_away_spread_price,q1_spread,q1_home_spread_price,q1_away_spread_price,q2_spread,q2_home_spread_price,q2_away_spread_price,q3_spread,q3_away_spread_price,q4_spread,q4_home_spread_price,q4_away_spread_price,q3_home_spread_price
2026-03-26,Detroit Pistons,New Orleans Pelicans,116.0,59.0,57.5,56.0,53.5,-2.0,-110,-110,-1.0,-115,-105,-1.0,-110,-110,-1.5,-120.0,-1.5,105,-125.0,
2026-03-26,Charlotte Hornets,New York Knicks,115.5,58.0,57.5,55.0,53.5,-1.0,-110,-110,-0.5,-110,-110,-0.5,-110,-110,-1.5,-140.0,-1.5,125,-145.0,120.0
2026-03-26,Orlando Magic,Sacramento Kings,119.0,60.0,58.5,56.5,55.5,-9.5,-105,-115,-5.0,-110,-110,-4.5,-110,-110,-3.5,,-2.5,-120,,-120.0
