date,commence_time,home_team,visitor_team,home_ml,away_ml,home_spread,away_spread,home_spread_price,away_spread_price,total,total_over_price,total_under_price,books_count,books_h2h,books_spreads,books_totals,bookmaker
2026-03-10,2026-03-11T00:10:00Z,Milwaukee Bucks,Phoenix Suns,106.34781558057722,-106.34781558057718,1.0,-1.0,-105,-115,217.5,-100.0,-100.0,11,11,7,6,oddsapi_consensus
2026-03-10,2026-03-11T02:10:00Z,Portland Trail Blazers,Charlotte Hornets,136.75163609544884,-136.7516360954489,3.0,-3.0,175,-240,227.5,-101.30838680857356,101.30838680857362,11,11,9,6,oddsapi_consensus
2026-03-10,2026-03-11T03:10:00Z,Los Angeles Lakers,Minnesota Timberwolves,128.19470469751917,-128.19470469751917,2.5,-2.5,135,-180,233.5,-100.06568399298726,100.06568399298726,11,11,10,7,oddsapi_consensus
2026-03-10,2026-03-10T23:40:00Z,Miami Heat,Washington Wizards,-692.1068100594885,692.1068100594885,-15.5,15.5,-115,-105,242.5,-100.15915963711603,100.15915963711603,11,11,11,8,oddsapi_consensus
2026-03-10,2026-03-10T23:40:00Z,Brooklyn Nets,Detroit Pistons,709.6626917145526,-709.6626917145521,14.5,-14.5,-115,-105,217.5,101.05378907441765,-101.05378907441765,11,11,7,7,oddsapi_consensus
2026-03-10,2026-03-10T23:40:00Z,Atlanta Hawks,Dallas Mavericks,-322.7072954672445,322.7072954672444,-9.0,9.0,-115,-105,240.0,-100.0,-100.0,11,11,7,6,oddsapi_consensus
2026-03-10,2026-03-11T02:10:00Z,Golden State Warriors,Chicago Bulls,-213.0829453965156,213.08294539651558,-6.5,6.5,-110,-110,227.5,-100.38580991145663,100.38580991145663,11,11,7,9,oddsapi_consensus
2026-03-10,2026-03-10T23:10:00Z,Philadelphia 76ers,Memphis Grizzlies,-140.7941257850525,140.7941257850525,-3.0,3.0,-240,175,228.0,-100.0,-100.0,11,11,6,6,oddsapi_consensus
2026-03-10,2026-03-11T00:10:00Z,San Antonio Spurs,Boston Celtics,-136.65659471119392,136.65659471119386,-3.5,3.5,-245,180,222.0,-100.3185727938834,100.3185727938834,11,11,7,4,oddsapi_consensus
2026-03-10,2026-03-11T02:10:00Z,Sacramento Kings,Indiana Pacers,-145.03522601705052,145.03522601705043,-3.5,3.5,-245,180,236.5,-100.0,-100.0,11,11,11,6,oddsapi_consensus
2026-03-10,2026-03-11T00:10:00Z,Houston Rockets,Toronto Raptors,-178.55502232104726,178.55502232104726,-5.0,5.0,-115,-105,217.5,-100.24772096710265,100.24772096710265,11,11,9,7,oddsapi_consensus
