date,commence_time,home_team,visitor_team,home_ml,away_ml,home_spread,away_spread,total,bookmaker
2025-11-05,2025-11-06T01:00:00Z,Memphis Grizzlies,Houston Rockets,245.1818181818182,-306.54545454545456,7.5,-7.5,232.5,oddsapi_consensus
2025-11-05,2025-11-06T00:30:00Z,Boston Celtics,Washington Wizards,-611.4545454545455,442.54545454545456,-12.0,12.0,233.0,oddsapi_consensus
2025-11-05,2025-11-06T00:30:00Z,New York Knicks,Minnesota Timberwolves,-165.45454545454547,139.1818181818182,-3.5,3.5,227.5,oddsapi_consensus
2025-11-05,2025-11-06T03:00:00Z,Sacramento Kings,Golden State Warriors,-145.27272727272728,122.27272727272727,-3.0,3.0,225.5,oddsapi_consensus
2025-11-05,2025-11-06T03:00:00Z,Los Angeles Lakers,San Antonio Spurs,-138.36363636363637,116.0,-2.5,2.5,227.5,oddsapi_consensus
2025-11-05,2025-11-06T03:10:00Z,Portland Trail Blazers,Oklahoma City Thunder,165.0909090909091,-198.54545454545453,4.5,-4.5,230.0,oddsapi_consensus
2025-11-05,2025-11-06T00:10:00Z,Cleveland Cavaliers,Philadelphia 76ers,-412.45454545454544,318.8181818181818,-10.0,10.0,235.5,oddsapi_consensus
2025-11-05,2025-11-06T00:00:00Z,Indiana Pacers,Brooklyn Nets,-270.0,218.54545454545453,-6.5,6.5,232.5,oddsapi_consensus
2025-11-05,2025-11-06T01:40:00Z,Dallas Mavericks,New Orleans Pelicans,-293.0,236.27272727272728,-7.5,7.5,227.5,oddsapi_consensus
2025-11-05,2025-11-06T00:00:00Z,Detroit Pistons,Utah Jazz,-474.54545454545456,360.45454545454544,-10.0,10.0,232.5,oddsapi_consensus
2025-11-05,2025-11-06T02:00:00Z,Denver Nuggets,Miami Heat,-402.09090909090907,311.45454545454544,-9.5,9.5,241.5,oddsapi_consensus
