date,home_tri,away_tri,home_pts,visitor_pts
2026-03-08,CLE,BOS,98,109
2026-03-08,LAL,NYK,110,97
2026-03-08,MIA,DET,121,110
2026-03-08,TOR,DAL,122,92
2026-03-08,NOP,WSH,138,118
2026-03-08,MIL,ORL,91,130
2026-03-08,SA,HOU,145,120
2026-03-08,POR,IND,131,111
2026-03-08,SAC,CHI,126,110
2026-03-08,PHX,CHA,111,99
