date,game_id,player_id,player_name,team_abbr,pts,reb,ast,threes,stl,blk,tov,pra
2026-03-20,0022501018,1630552,Jalen Johnson,ATL,14.0,5.0,3.0,2.0,1.0,0.0,4.0,22.0
2026-03-20,0022501018,1630168,Onyeka Okongwu,ATL,6.0,8.0,3.0,1.0,1.0,2.0,0.0,17.0
2026-03-20,0022501018,1629638,Nickeil Alexander-Walker,ATL,21.0,4.0,4.0,1.0,1.0,0.0,3.0,29.0
2026-03-20,0022501018,203468,CJ McCollum,ATL,17.0,2.0,2.0,2.0,1.0,3.0,3.0,21.0
2026-03-20,0022501018,1629216,Gabe Vincent,ATL,6.0,3.0,1.0,0.0,0.0,0.0,0.0,10.0
2026-03-20,0022501018,1631243,Mouhamed Gueye,ATL,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0
2026-03-20,0022501018,1629111,Jock Landale,ATL,6.0,1.0,3.0,0.0,2.0,2.0,0.0,10.0
2026-03-20,0022501018,1642258,Zaccharie Risacher,ATL,16.0,6.0,2.0,3.0,2.0,1.0,1.0,24.0
2026-03-20,0022501018,1630557,Corey Kispert,ATL,2.0,2.0,2.0,0.0,1.0,0.0,0.0,6.0
2026-03-20,0022501018,1627741,Buddy Hield,ATL,2.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0
2026-03-20,0022501018,1631216,Caleb Houstan,ATL,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
2026-03-20,0022501018,1630811,Keaton Wallace,ATL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2026-03-20,0022501019,1642377,Jaylen Wells,MEM,6.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0
2026-03-20,0022501019,1641765,Olivier-Maxence Prosper,MEM,14.0,7.0,2.0,1.0,1.0,0.0,1.0,23.0
2026-03-20,0022501019,1641707,Taylor Hendricks,MEM,12.0,5.0,2.0,0.0,2.0,2.0,0.0,19.0
2026-03-20,0022501019,1642914,Javon Small,MEM,13.0,5.0,2.0,2.0,0.0,0.0,1.0,20.0
2026-03-20,0022501019,1629660,Ty Jerome,MEM,16.0,1.0,7.0,2.0,0.0,0.0,0.0,24.0
2026-03-20,0022501019,1631174,Tyler Burton,MEM,23.0,5.0,2.0,5.0,0.0,0.0,2.0,30.0
2026-03-20,0022501019,1642285,Cam Spencer,MEM,11.0,3.0,5.0,3.0,1.0,0.0,0.0,19.0
2026-03-20,0022501019,1642383,Walter Clayton Jr.,MEM,4.0,3.0,2.0,0.0,0.0,0.0,2.0,9.0
2026-03-20,0022501019,1630610,DeJon Jarreau,MEM,13.0,6.0,2.0,1.0,1.0,1.0,3.0,21.0
2026-03-20,0022501019,1630573,Sam Hauser,BOS,0.0,4.0,1.0,0.0,0.0,1.0,0.0,5.0
2026-03-20,0022501019,1628369,Jayson Tatum,BOS,13.0,9.0,0.0,2.0,0.0,0.0,3.0,22.0
2026-03-20,0022501019,1629674,Neemias Queta,BOS,12.0,11.0,1.0,0.0,0.0,0.0,2.0,24.0
2026-03-20,0022501019,1627759,Jaylen Brown,BOS,30.0,6.0,6.0,2.0,0.0,0.0,1.0,42.0
2026-03-20,0022501019,1628401,Derrick White,BOS,14.0,5.0,3.0,2.0,2.0,1.0,1.0,22.0
2026-03-20,0022501019,1630568,Luka Garza,BOS,22.0,7.0,1.0,1.0,1.0,0.0,1.0,30.0
2026-03-20,0022501019,1630202,Payton Pritchard,BOS,19.0,6.0,3.0,3.0,0.0,0.0,4.0,28.0
2026-03-20,0022501019,1631248,Baylor Scheierman,BOS,2.0,4.0,3.0,0.0,1.0,0.0,0.0,9.0
2026-03-20,0022501019,1642864,Hugo González,BOS,5.0,5.0,1.0,1.0,0.0,0.0,0.0,11.0
2026-03-20,0022501020,1630183,Jaden McDaniels,MIN,16.0,6.0,3.0,0.0,5.0,1.0,1.0,25.0
2026-03-20,0022501020,203944,Julius Randle,MIN,19.0,5.0,4.0,0.0,1.0,0.0,4.0,28.0
2026-03-20,0022501020,203497,Rudy Gobert,MIN,18.0,15.0,1.0,0.0,2.0,1.0,0.0,34.0
2026-03-20,0022501020,1630245,Ayo Dosunmu,MIN,17.0,10.0,8.0,3.0,0.0,0.0,2.0,35.0
2026-03-20,0022501020,1628978,Donte DiVincenzo,MIN,13.0,4.0,2.0,3.0,1.0,2.0,4.0,19.0
2026-03-20,0022501020,1630538,Bones Hyland,MIN,17.0,0.0,0.0,3.0,2.0,0.0,2.0,17.0
2026-03-20,0022501020,203937,Kyle Anderson,MIN,4.0,2.0,2.0,0.0,0.0,1.0,0.0,8.0
2026-03-20,0022501020,1630545,Terrence Shannon Jr.,MIN,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2026-03-20,0022501020,1641739,Toumani Camara,POR,6.0,3.0,0.0,0.0,1.0,0.0,2.0,9.0
2026-03-20,0022501020,203924,Jerami Grant,POR,26.0,5.0,1.0,4.0,3.0,1.0,4.0,32.0
2026-03-20,0022501020,1642270,Donovan Clingan,POR,21.0,12.0,4.0,1.0,1.0,3.0,1.0,37.0
2026-03-20,0022501020,1630166,Deni Avdija,POR,25.0,8.0,5.0,2.0,0.0,0.0,4.0,38.0
2026-03-20,0022501020,201950,Jrue Holiday,POR,12.0,2.0,12.0,1.0,0.0,0.0,0.0,26.0
2026-03-20,0022501020,1630703,Scoot Henderson,POR,11.0,3.0,2.0,0.0,3.0,0.0,3.0,16.0
2026-03-20,0022501020,1629680,Matisse Thybulle,POR,5.0,3.0,0.0,1.0,0.0,1.0,0.0,8.0
2026-03-20,0022501020,1631200,Kris Murray,POR,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0
2026-03-20,0022501020,1629057,Robert Williams III,POR,2.0,12.0,0.0,0.0,0.0,0.0,3.0,14.0
