player,team,plays,ladders
A.J. Green,MIL,"[{'market': 'ast', 'side': 'UNDER', 'line': 2.5, 'price': 115.0, 'edge': 0.081549062221663, 'ev': 0.1753304837765755, 'ev_pct': 17.53304837765755, 'book': 'betonlineag'}]",[]
Ace Bailey,UTA,"[{'market': 'ast', 'side': 'UNDER', 'line': 2.5, 'price': 133.0, 'edge': 0.0998967151730557, 'ev': 0.23275934635322, 'ev_pct': 23.275934635322, 'book': 'williamhill_us'}, {'market': 'ast', 'side': 'UNDER', 'line': 2.5, 'price': 130.0, 'edge': 0.0942986558336267, 'ev': 0.2168869084173416, 'ev_pct': 21.68869084173416, 'book': 'fanduel'}]",[]
Andre Drummond,PHI,[],[]
Anthony Black,ORL,"[{'market': 'pa', 'side': 'UNDER', 'line': 17.5, 'price': 135.0, 'edge': 0.174076224001267, 'ev': 0.4090791264029776, 'ev_pct': 40.90791264029776, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 18.5, 'price': 105.0, 'edge': 0.1120051449596334, 'ev': 0.2296105471672485, 'ev_pct': 22.96105471672485, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 19.5, 'price': -114.0, 'edge': 0.0672017122800119, 'ev': 0.1261505827010749, 'ev_pct': 12.61505827010749, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 19.5, 'price': -120.0, 'edge': 0.0544574471992982, 'ev': 0.0998386531987133, 'ev_pct': 9.98386531987133, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 18.5, 'price': -120.0, 'edge': 0.0543554775538684, 'ev': 0.0996517088487588, 'ev_pct': 9.96517088487588, 'book': 'betmgm'}, {'market': 'pr', 'side': 'UNDER', 'line': 18.5, 'price': 110.0, 'edge': 0.1235811734510448, 'ev': 0.2595204642471941, 'ev_pct': 25.95204642471941, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 18.5, 'price': -108.0, 'edge': 0.0805408804107516, 'ev': 0.1551157696799663, 'ev_pct': 15.511576967996628, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 19.5, 'price': -115.0, 'edge': 0.0650075566258605, 'ev': 0.1215358667353043, 'ev_pct': 12.15358667353043, 'book': 'bovada'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': -105.0, 'edge': 0.0878034556463329, 'ev': 0.1714257943571262, 'ev_pct': 17.14257943571262, 'book': 'bovada'}, {'market': 'reb', 'side': 'UNDER', 'line': 3.5, 'price': 135.0, 'edge': 0.1699663932519621, 'ev': 0.399421024142111, 'ev_pct': 39.9421024142111, 'book': 'bovada'}, {'market': 'reb', 'side': 'UNDER', 'line': 3.5, 'price': 130.0, 'edge': 0.1607156994499269, 'ev': 0.369646108734832, 'ev_pct': 36.9646108734832, 'book': 'fanduel'}, {'market': 'reb', 'side': 'UNDER', 'line': 3.5, 'price': 120.0, 'edge': 0.1409528536001246, 'ev': 0.310096277920274, 'ev_pct': 31.0096277920274, 'book': 'betrivers'}, {'market': 'reb', 'side': 'UNDER', 'line': 3.5, 'price': 116.0, 'edge': 0.1325353451826161, 'ev': 0.2862763455944509, 'ev_pct': 28.62763455944509, 'book': 'williamhill_us'}, {'market': 'reb', 'side': 'UNDER', 'line': 3.5, 'price': 116.0, 'edge': 0.1325353451826161, 'ev': 0.2862763455944509, 'ev_pct': 28.62763455944509, 'book': 'betonlineag'}, {'market': 'reb', 'side': 'UNDER', 'line': 3.5, 'price': 115.0, 'edge': 0.1303820290758117, 'ev': 0.2803213625129951, 'ev_pct': 28.032136251299512, 'book': 'betmgm'}, {'market': 'reb', 'side': 'UNDER', 'line': 3.5, 'price': 109.0, 'edge': 0.117029408624048, 'ev': 0.2445914640242604, 'ev_pct': 24.45914640242604, 'book': 'draftkings'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 114.0, 'edge': 0.0869615606269163, 'ev': 0.1860977397416009, 'ev_pct': 18.609773974160092, 'book': 'fanduel'}]",[]
Ayo Dosunmu,CHI,"[{'market': 'ast', 'side': 'OVER', 'line': 5.5, 'price': 150.0, 'edge': 0.0807526479073025, 'ev': 0.2018816197682564, 'ev_pct': 20.18816197682564, 'book': 'betmgm'}, {'market': 'pa', 'side': 'OVER', 'line': 22.5, 'price': 105.0, 'edge': 0.0681498386494035, 'ev': 0.1397071692312771, 'ev_pct': 13.97071692312771, 'book': 'bovada'}, {'market': 'pr', 'side': 'OVER', 'line': 21.5, 'price': -104.0, 'edge': 0.0647739181872738, 'ev': 0.1270565318288832, 'ev_pct': 12.705653182888321, 'book': 'fanduel'}, {'market': 'pr', 'side': 'OVER', 'line': 21.5, 'price': -105.0, 'edge': 0.0623827178046817, 'ev': 0.1217948299996167, 'ev_pct': 12.179482999961671, 'book': 'bovada'}, {'market': 'ra', 'side': 'OVER', 'line': 9.5, 'price': 110.0, 'edge': 0.0719660963436569, 'ev': 0.1511288023216794, 'ev_pct': 15.11288023216794, 'book': 'betmgm'}, {'market': 'ra', 'side': 'OVER', 'line': 9.5, 'price': 100.0, 'edge': 0.048156572534133, 'ev': 0.0963131450682661, 'ev_pct': 9.63131450682661, 'book': 'bovada'}]",[]
Bam Adebayo,MIA,"[{'market': 'pa', 'side': 'UNDER', 'line': 22.5, 'price': 120.0, 'edge': 0.0362283121412944, 'ev': 0.0797022867108475, 'ev_pct': 7.97022867108475, 'book': 'bovada'}, {'market': 'ra', 'side': 'UNDER', 'line': 12.5, 'price': 130.0, 'edge': 0.1033363270936391, 'ev': 0.2376735523153699, 'ev_pct': 23.76735523153699, 'book': 'bovada'}, {'market': 'reb', 'side': 'UNDER', 'line': 9.5, 'price': 130.0, 'edge': 0.0992210600640083, 'ev': 0.2282084381472192, 'ev_pct': 22.82084381472192, 'book': 'bovada'}]",[]
Baylor Scheierman,BOS,"[{'market': 'threes', 'side': 'UNDER', 'line': 0.5, 'price': 144.0, 'edge': 0.0807893967889801, 'ev': 0.1971261281651114, 'ev_pct': 19.71261281651114, 'book': 'fanduel'}]",[]
Brandin Podziemski,GSW,"[{'market': 'pa', 'side': 'UNDER', 'line': 18.5, 'price': 115.0, 'edge': 0.115789079962065, 'ev': 0.2489465219184398, 'ev_pct': 24.89465219184398, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 19.5, 'price': -108.0, 'edge': 0.0678260493590043, 'ev': 0.1306279469136381, 'ev_pct': 13.06279469136381, 'book': 'draftkings'}, {'market': 'pa', 'side': 'UNDER', 'line': 19.5, 'price': -110.0, 'edge': 0.0632472947802498, 'ev': 0.1207448354895678, 'ev_pct': 12.07448354895678, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 19.5, 'price': 120.0, 'edge': 0.1228075794857707, 'ev': 0.2701766748686955, 'ev_pct': 27.017667486869552, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 20.5, 'price': -104.0, 'edge': 0.0743079861427256, 'ev': 0.1457579728184233, 'ev_pct': 14.575797281842329, 'book': 'fanduel'}, {'market': 'pr', 'side': 'UNDER', 'line': 20.5, 'price': -105.0, 'edge': 0.0719167857601335, 'ev': 0.1404089626745464, 'ev_pct': 14.040896267454638, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 20.5, 'price': -111.0, 'edge': 0.0580455570004525, 'ev': 0.1103388515954548, 'ev_pct': 11.03388515954548, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 9.5, 'price': 130.0, 'edge': 0.1282936290002487, 'ev': 0.295075346700572, 'ev_pct': 29.5075346700572, 'book': 'bovada'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 120.0, 'edge': 0.0947682033191113, 'ev': 0.2084900473020449, 'ev_pct': 20.84900473020449, 'book': 'betonlineag'}]",[]
Brice Sensabaugh,UTA,"[{'market': 'ra', 'side': 'UNDER', 'line': 6.5, 'price': 110.0, 'edge': 0.0427320724349323, 'ev': 0.0897373521133579, 'ev_pct': 8.97373521133579, 'book': 'draftkings'}]",[]
Buddy Hield,GSW,"[{'market': 'pr', 'side': 'OVER', 'line': 14.5, 'price': 115.0, 'edge': 0.1312418124738851, 'ev': 0.282169896818853, 'ev_pct': 28.216989681885302, 'book': 'bovada'}, {'market': 'pr', 'side': 'OVER', 'line': 13.5, 'price': -106.0, 'edge': 0.0827893995815459, 'ev': 0.1608926067339477, 'ev_pct': 16.08926067339477, 'book': 'fanduel'}, {'market': 'pr', 'side': 'OVER', 'line': 13.5, 'price': -115.0, 'edge': 0.0624687854474299, 'ev': 0.116789468445195, 'ev_pct': 11.6789468445195, 'book': 'draftkings'}, {'market': 'pr', 'side': 'OVER', 'line': 13.5, 'price': -115.0, 'edge': 0.0624687854474299, 'ev': 0.116789468445195, 'ev_pct': 11.6789468445195, 'book': 'bovada'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 145.0, 'edge': 0.1489371055066852, 'ev': 0.3648959084913789, 'ev_pct': 36.48959084913789, 'book': 'bovada'}]",[]
