date,commence_time,home_team,visitor_team,home_ml,away_ml,home_spread,away_spread,total,bookmaker
2025-11-07,2025-11-08T00:10:00Z,Washington Wizards,Cleveland Cavaliers,557.4545454545455,-821.7272727272727,13.5,-13.5,240.5,oddsapi_consensus
2025-11-07,2025-11-08T03:10:00Z,Sacramento Kings,Oklahoma City Thunder,404.8181818181818,-549.8181818181819,11.0,-11.0,234.5,oddsapi_consensus
2025-11-07,2025-11-08T00:40:00Z,San Antonio Spurs,Houston Rockets,144.8181818181818,-172.45454545454547,4.5,-4.5,224.0,oddsapi_consensus
2025-11-07,2025-11-08T01:10:00Z,Minnesota Timberwolves,Utah Jazz,-666.0909090909091,473.45454545454544,-12.5,12.5,233.0,oddsapi_consensus
2025-11-07,2025-11-08T01:10:00Z,Milwaukee Bucks,Chicago Bulls,-178.72727272727272,149.9090909090909,-4.5,4.5,240.5,oddsapi_consensus
2025-11-07,2025-11-08T00:10:00Z,Orlando Magic,Boston Celtics,-162.9090909090909,136.9090909090909,-3.5,3.5,226.5,oddsapi_consensus
2025-11-07,2025-11-08T03:10:00Z,Denver Nuggets,Golden State Warriors,-438.1818181818182,334.54545454545456,-10.0,10.0,228.5,oddsapi_consensus
2025-11-07,2025-11-08T00:40:00Z,Brooklyn Nets,Detroit Pistons,366.45454545454544,-485.8181818181818,10.5,-10.5,227.0,oddsapi_consensus
2025-11-07,2025-11-08T00:40:00Z,Atlanta Hawks,Toronto Raptors,-135.27272727272728,113.63636363636364,-2.5,2.5,234.5,oddsapi_consensus
2025-11-07,2025-11-08T01:10:00Z,Miami Heat,Charlotte Hornets,-255.0909090909091,208.0909090909091,-7.0,7.0,235.0,oddsapi_consensus
2025-11-07,2025-11-08T01:10:00Z,Memphis Grizzlies,Dallas Mavericks,-180.1818181818182,150.9090909090909,-4.5,4.5,232.5,oddsapi_consensus
