market,side,home,away,edge,date
ATS,Oklahoma City Thunder,Oklahoma City Thunder,Houston Rockets,1.6239433288574219,2025-10-21
TOTAL,Over,Oklahoma City Thunder,Houston Rockets,7.066680908203125,2025-10-21
