start,end,sort_by,top_n_per_day,top_n_per_game,min_ev,min_edge,bookmaker,dedupe_best_book,include_dd_td,include_stats,exclude_stats,bets_total,bets_graded,wins,losses,pushes,hit_rate,profit,roi_per_bet
2025-12-25,2026-01-23,edge,5,,,0.02,,True,False,"reb,threes",,150,146,59,87,0,0.4041095890410959,10.731343645510215,0.07350235373637133
2025-12-25,2026-01-23,edge,12,,0.5,0.04,,True,False,threes,,202,199,85,114,0,0.4271356783919598,10.690606988325793,0.053721643157416045
2025-12-25,2026-01-23,edge,12,,0.5,,,True,False,threes,,202,199,85,114,0,0.4271356783919598,10.690606988325793,0.053721643157416045
2025-12-25,2026-01-23,edge,12,,0.5,0.02,,True,False,threes,,202,199,85,114,0,0.4271356783919598,10.690606988325793,0.053721643157416045
2025-12-25,2026-01-23,ev,12,,0.5,0.04,,True,False,threes,,202,199,82,117,0,0.4120603015075377,10.641732725456958,0.05347604384651738
2025-12-25,2026-01-23,ev,12,,0.5,0.02,,True,False,threes,,202,199,82,117,0,0.4120603015075377,10.641732725456958,0.05347604384651738
2025-12-25,2026-01-23,ev,12,,0.5,,,True,False,threes,,202,199,82,117,0,0.4120603015075377,10.641732725456958,0.05347604384651738
2025-12-25,2026-01-23,edge,12,,,0.02,,True,False,threes,,356,349,149,200,0,0.4269340974212034,10.289435642862632,0.02948262361851757
2025-12-25,2026-01-23,ev,12,,0.5,0.04,,True,False,,,311,305,110,195,0,0.36065573770491804,10.069999999999991,0.03301639344262292
2025-12-25,2026-01-23,ev,12,,0.5,0.02,,True,False,,,311,305,110,195,0,0.36065573770491804,10.069999999999991,0.03301639344262292
2025-12-25,2026-01-23,ev,12,,0.5,,,True,False,,,311,305,110,195,0,0.36065573770491804,10.069999999999991,0.03301639344262292
2025-12-25,2026-01-23,edge,12,,,0.04,,True,False,threes,,354,347,148,199,0,0.4265129682997118,9.689435642862634,0.02792344565666465
2025-12-25,2026-01-23,edge,5,,0.5,0.02,,True,False,"reb,threes",,130,126,50,76,0,0.3968253968253968,9.061343645510211,0.07191542575801756
2025-12-25,2026-01-23,edge,5,,0.5,0.04,,True,False,"reb,threes",,130,126,50,76,0,0.3968253968253968,9.061343645510211,0.07191542575801756
2025-12-25,2026-01-23,edge,5,,0.5,,,True,False,"reb,threes",,130,126,50,76,0,0.3968253968253968,9.061343645510211,0.07191542575801756
