gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,game_id
0022300609,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (7:41 PM EST),period,start,0,0,1,0022300609
0022300609,4,PT12M00.00S,1,1610612761,TOR,1630567,Barnes,S. Barnes,0,0,0,,0,,,0,h,Jump Ball Barnes vs. Jackson Jr.: Tip to Konchar,Jump Ball,,1,0,2,0022300609
0022300609,7,PT11M37.00S,1,1610612763,MEM,1628991,Jackson Jr.,J. Jackson Jr.,-32,27,4,Made,1,0,2,2,v,Jackson Jr. 4' Layup (2 PTS),Made Shot,Layup Shot,1,2,3,0022300609
0022300609,8,PT11M19.00S,1,1610612761,TOR,1630567,Barnes,S. Barnes,18,4,2,Made,1,2,2,4,h,Barnes 2' Layup (2 PTS) (Trent Jr. 1 AST),Made Shot,Layup Shot,1,2,4,0022300609
0022300609,10,PT11M02.00S,1,1610612763,MEM,1628379,Kennard,L. Kennard,0,0,0,,0,,,0,v,Kennard Bad Pass Turnover (P1.T1),Turnover,Bad Pass,1,0,5,0022300609
0022300609,10,PT11M02.00S,1,1610612761,TOR,1630193,Quickley,I. Quickley,0,0,0,,0,,,0,h,Quickley STEAL (1 STL),,,1,0,6,0022300609
0022300609,13,PT10M50.00S,1,1610612761,TOR,1629007,Porter,J. Porter,15,55,6,Missed,1,,,0,h,MISS Porter 6' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,1,2,7,0022300609
0022300609,14,PT10M45.00S,1,1610612763,MEM,1631246,Williams Jr.,V. Williams Jr.,0,0,0,,0,,,0,v,Williams Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,8,0022300609
0022300609,15,PT10M44.00S,1,1610612761,TOR,1629628,Barrett,R. Barrett,0,0,0,,0,,,0,h,Barrett S.FOUL (P1.T1) (J.Williams),Foul,Shooting,1,0,9,0022300609
0022300609,17,PT10M44.00S,1,1610612763,MEM,1631246,Williams Jr.,V. Williams Jr.,0,0,0,,0,2,3,5,v,Williams Jr. Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,10,0022300609
0022300609,18,PT10M44.00S,1,1610612763,MEM,1631246,Williams Jr.,V. Williams Jr.,0,0,0,,0,,,0,v,MISS Williams Jr. Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,1,0,11,0022300609
0022300609,19,PT10M41.00S,1,1610612763,MEM,1630583,Aldama,S. Aldama,0,0,0,,0,,,0,v,Aldama REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,12,0022300609
0022300609,20,PT10M30.00S,1,1610612763,MEM,1631246,Williams Jr.,V. Williams Jr.,-137,275,31,Made,1,2,6,8,v,Williams Jr. 31' 3PT Jump Shot (4 PTS) (Kennard 1 AST),Made Shot,Jump Shot,1,3,13,0022300609
0022300609,22,PT10M10.00S,1,1610612761,TOR,1629628,Barrett,R. Barrett,0,0,0,,0,,,0,h,Barrett Bad Pass Turnover (P1.T1),Turnover,Bad Pass,1,0,14,0022300609
0022300609,22,PT10M10.00S,1,1610612763,MEM,1628991,Jackson Jr.,J. Jackson Jr.,0,0,0,,0,,,0,v,Jackson Jr. STEAL (1 STL),,,1,0,15,0022300609
0022300609,24,PT10M01.00S,1,1610612763,MEM,1630583,Aldama,S. Aldama,-39,25,5,Missed,1,,,0,v,MISS Aldama 5' Layup,Missed Shot,Layup Shot,1,2,16,0022300609
0022300609,24,PT10M01.00S,1,1610612761,TOR,1630567,Barnes,S. Barnes,0,0,0,,0,,,0,h,Barnes BLOCK (1 BLK),,,1,2,17,0022300609
0022300609,25,PT10M01.00S,1,0,,1610612763,,,0,0,0,,0,,,0,v,Grizzlies Rebound,Rebound,Unknown,1,0,18,0022300609
